K00797	spermidine_synthase	speE
K04047  ferritin-like_protein   ferri
K02437	glycine_cleavage_system_H_protein	gcvH
K00825	putative_2-aminobutyric-CoA_aminotransferase	kat
K00318	proline_dehydrogenase	proDH
K00548	methionine_synthase_II	metH
K00549  methionine_synthase_II  metE
K00122	FDH_formate_dehydrogenase	FDH
K00294	1-pyrroline-5-carboxylate-dehydrogenase	rocA
K18014	3-aminobutyryl-CoA_ammonia-lyase	kal
K22373	lactate_racemase	LarA
K01810	phosphoglucose_isomerase	pgi
K00573	protein-L-isoaspartate_carboxylmethyltransferase	pcm
K03652	DNA-3-methyladenine+glycosylase	alkA
K21929	uracil_DNA_glycosylase_family_4	Udg4
K03652	DNA-3-methylpurine	mpg
K03660	8-oxoguanine_DNA_glycosylase	ogg
K04485	DNA_repair_protein_RadA	Hef
K02327	DNA_polymerase_delta_subunit1	POLD
K03320  urea_transporter    Amt
K16322  inorganic_phosphate_transporter_low PiT
K02036  phsphate_transporter_high    pstB
K13566	nitrilase/omega-amidase	nit2
K01858	inositol-1-phosphate	ipct/dipps
K03316	monovalent_cation_antiporter_CPA1	CPA1
K03455	monovalent_cation_antiporter_CPA2	CPA2
K03407	chemotactic_sensor	CheA
K03412	chemotaxis_family	cheB
K03413	chemotaxis_faimly	cheY
K03704	cold_shock_protein	cspC
K05592	cold-shock	cshA
K07333	archaeal_preflagellin_peptidase	FIaJ
K01997	hydrophobic_amino_acid_uptake_transporter	HAAT
K03294	amino_acid_polyamine-organocation_transporter_family	APC
K18049	methylphosphonate_synthase	mpnS
K15075	DNA_repair	NER_K15075
K03515	DNA_repair	Poly
