Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosomarinus_catalina_strain_SPOT01-contig1_1124	PF02978.14,9.3e-30,99.9
Nitrosomarinus_catalina_strain_SPOT01-contig1_1277	PF01000.21,6.9e-22,74.6
Nitrosomarinus_catalina_strain_SPOT01-contig1_1280	PF00380.14,5.4e-36,120.4
Nitrosomarinus_catalina_strain_SPOT01-contig1_1313	PF01655.13,7.9e-38,125.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_1314	PF01280.15,6.3e-44,146.2
Nitrosomarinus_catalina_strain_SPOT01-contig1_1321	PF00687.16,6.6e-48,159.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_1322	PF00466.15,1.8e-18,63.2
Nitrosomarinus_catalina_strain_SPOT01-contig1_1340	PF01191.14,4.5e-29,96.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_1367	PF01194.12,4.2e-30,100.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_1458	PF01200.13,7.6e-29,96.2
Nitrosomarinus_catalina_strain_SPOT01-contig1_1527	PF01984.15,8.2e-26,87.0
Nitrosomarinus_catalina_strain_SPOT01-contig1_1528	PF01090.14,2.1e-48,160.2
Nitrosomarinus_catalina_strain_SPOT01-contig1_154	PF13685.1,4.1e-20,69.0
Nitrosomarinus_catalina_strain_SPOT01-contig1_1573	PF01496.14,1.6e-54,181.9
Nitrosomarinus_catalina_strain_SPOT01-contig1_1599	PF02006.11,5e-64,211.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_1611	PF13685.1,5.9e-67,222.4
Nitrosomarinus_catalina_strain_SPOT01-contig1_1640	PF13656.1,5.3e-19,64.3
Nitrosomarinus_catalina_strain_SPOT01-contig1_193	PF01866.12,4.4e-79,262.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_196	PF00368.13,6e-83,275.4
Nitrosomarinus_catalina_strain_SPOT01-contig1_242	PF01015.13,1.6e-63,210.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_342	PF01269.12,6.2e-90,297.0
Nitrosomarinus_catalina_strain_SPOT01-contig1_343	PF01798.13,9.1e-51,168.0
Nitrosomarinus_catalina_strain_SPOT01-contig1_350	PF01157.13,8.1e-15,51.4
Nitrosomarinus_catalina_strain_SPOT01-contig1_351	PF03874.11,3.9e-14,49.6
Nitrosomarinus_catalina_strain_SPOT01-contig1_352	PF04919.7,9.1e-53,175.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_403	PF01198.14,1.2e-24,82.7
Nitrosomarinus_catalina_strain_SPOT01-contig1_412	PF00827.12,3.9e-47,157.1
Nitrosomarinus_catalina_strain_SPOT01-contig1_430	PF04019.7,5.6e-35,116.2
Nitrosomarinus_catalina_strain_SPOT01-contig1_502	PF13685.1,9.4e-19,64.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_527	PF01990.12,3.6e-15,53.0
Nitrosomarinus_catalina_strain_SPOT01-contig1_67	PF04104.9,6e-26,88.1
Nitrosomarinus_catalina_strain_SPOT01-contig1_736	PF00410.14,4.1e-22,75.3
Nitrosomarinus_catalina_strain_SPOT01-contig1_739	PF00900.15,1.9e-19,66.0
Nitrosomarinus_catalina_strain_SPOT01-contig1_74	PF01092.14,1.4e-21,73.3
Nitrosomarinus_catalina_strain_SPOT01-contig1_743	PF01868.11,1.9e-26,88.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_79	PF07541.7,3.9e-23,78.2
Nitrosomarinus_catalina_strain_SPOT01-contig1_97	PF01025.14,1.9e-38,128.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_977	PF01269.12,9.5e-06,21.5
