locus_tag	ftype	length_bp	gene	EC_number	COG	product
PFLLHNAF_00001	gene	459				
PFLLHNAF_00001	CDS	459				hypothetical protein
PFLLHNAF_00002	gene	1479	rtcB			
PFLLHNAF_00002	CDS	1479	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
PFLLHNAF_00003	gene	1356	purB			
PFLLHNAF_00003	CDS	1356	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
PFLLHNAF_00004	gene	2397				
PFLLHNAF_00004	CDS	2397				hypothetical protein
PFLLHNAF_00005	gene	3531	smc_1			
PFLLHNAF_00005	CDS	3531	smc_1		COG1196	Chromosome partition protein Smc
PFLLHNAF_00006	gene	996	ddpF			
PFLLHNAF_00006	CDS	996	ddpF		COG1124	putative D,D-dipeptide transport ATP-binding protein DdpF
PFLLHNAF_00007	gene	564				
PFLLHNAF_00007	CDS	564				hypothetical protein
PFLLHNAF_00008	gene	435				
PFLLHNAF_00008	CDS	435				hypothetical protein
PFLLHNAF_00009	gene	696	gph_1			
PFLLHNAF_00009	CDS	696	gph_1	3.1.3.18		Phosphoglycolate phosphatase
PFLLHNAF_00010	gene	564				
PFLLHNAF_00010	CDS	564				hypothetical protein
PFLLHNAF_00011	gene	519				
PFLLHNAF_00011	CDS	519				hypothetical protein
PFLLHNAF_00012	gene	165				
PFLLHNAF_00012	CDS	165				hypothetical protein
PFLLHNAF_00013	gene	1320	glyA			
PFLLHNAF_00013	CDS	1320	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
PFLLHNAF_00014	gene	537	napF			
PFLLHNAF_00014	CDS	537	napF			Ferredoxin-type protein NapF
PFLLHNAF_00015	gene	339				
PFLLHNAF_00015	CDS	339				hypothetical protein
PFLLHNAF_00016	gene	2004	GATB			
PFLLHNAF_00016	CDS	2004	GATB	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial
PFLLHNAF_00017	gene	1575				
PFLLHNAF_00017	CDS	1575				hypothetical protein
PFLLHNAF_00018	gene	675				
PFLLHNAF_00018	CDS	675				hypothetical protein
PFLLHNAF_00019	gene	267				
PFLLHNAF_00019	CDS	267				hypothetical protein
PFLLHNAF_00020	gene	1047				
PFLLHNAF_00020	CDS	1047				hypothetical protein
PFLLHNAF_00021	gene	606	hisB			
PFLLHNAF_00021	CDS	606	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
PFLLHNAF_00022	gene	630	hisH			
PFLLHNAF_00022	CDS	630	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
PFLLHNAF_00023	gene	717	hisA			
PFLLHNAF_00023	CDS	717	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
PFLLHNAF_00024	gene	804	hisF			
PFLLHNAF_00024	CDS	804	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
PFLLHNAF_00025	gene	288	acyP			
PFLLHNAF_00025	CDS	288	acyP	3.6.1.7	COG1254	Acylphosphatase
PFLLHNAF_00026	gene	1359	lysA			
PFLLHNAF_00026	CDS	1359	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
PFLLHNAF_00027	gene	2175	ftsH_1			
PFLLHNAF_00027	CDS	2175	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
PFLLHNAF_00028	gene	732				
PFLLHNAF_00028	CDS	732				hypothetical protein
PFLLHNAF_00029	gene	690	nth			
PFLLHNAF_00029	CDS	690	nth	4.2.99.18	COG0177	Endonuclease III
PFLLHNAF_00030	gene	759				
PFLLHNAF_00030	CDS	759				hypothetical protein
PFLLHNAF_00031	gene	1161	sat			
PFLLHNAF_00031	CDS	1161	sat	2.7.7.4	COG2046	Sulfate adenylyltransferase
PFLLHNAF_00032	gene	750	cysH			
PFLLHNAF_00032	CDS	750	cysH	1.8.4.10		Thioredoxin-dependent 5'-adenylylsulfate reductase
PFLLHNAF_00033	gene	1317				
PFLLHNAF_00033	CDS	1317				hypothetical protein
PFLLHNAF_00034	gene	261				
PFLLHNAF_00034	CDS	261				hypothetical protein
PFLLHNAF_00035	gene	564				
PFLLHNAF_00035	CDS	564				hypothetical protein
PFLLHNAF_00036	gene	429				
PFLLHNAF_00036	CDS	429				hypothetical protein
PFLLHNAF_00037	gene	360				
PFLLHNAF_00037	CDS	360				hypothetical protein
PFLLHNAF_00038	gene	330				
PFLLHNAF_00038	CDS	330				hypothetical protein
PFLLHNAF_00039	gene	336				
PFLLHNAF_00039	CDS	336				hypothetical protein
PFLLHNAF_00040	gene	492				
PFLLHNAF_00040	CDS	492				hypothetical protein
PFLLHNAF_00041	gene	531				
PFLLHNAF_00041	CDS	531				hypothetical protein
PFLLHNAF_00042	gene	459				
PFLLHNAF_00042	CDS	459				hypothetical protein
PFLLHNAF_00043	gene	882				
PFLLHNAF_00043	CDS	882				hypothetical protein
PFLLHNAF_00044	gene	2151	pat			
PFLLHNAF_00044	CDS	2151	pat	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase Pat
PFLLHNAF_00045	gene	1374	dapE_1			
PFLLHNAF_00045	CDS	1374	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
PFLLHNAF_00046	gene	906				
PFLLHNAF_00046	CDS	906				hypothetical protein
