      2 1.A.11.1.4	ammonia
      1 1.A.11.2.3	ammonia|methylamine
      2 1.A.11.2.7	ammonium|tetramethylammonium
      1 1.A.1.13.10	potassium(1+)|rubidium(1+)
      1 1.A.1.13.7	potassium(1+)
      1 1.A.1.13.8	potassium(1+)
      1 1.A.115.1.1	ion
      1 1.A.1.24.5	potassium(1+)
      2 1.A.1.5.31	potassium(1+)|inorganic cation
      3 1.A.22.1.11	ion
      2 1.A.23.4.1	ion
      3 1.A.23.4.6	ion
      1 1.A.23.7.2	ion
      2 1.A.26.1.2	calcium(2+)|magnesium(2+)|manganese(2+)
      1 1.A.26.3.1	magnesium(2+)
      1 1.A.35.3.1	calcium(2+)|magnesium(2+)|nickel(2+)
      1 1.A.72.3.2	mercury(2+)
      1 1.A.8.10.16	water
      1 1.A.8.8.22	water
      1 1.A.9.8.3	ion
      1 1.B.18.2.2	exopolysaccharide
      1 1.B.42.1.2	lipopolysaccharide
      1 1.C.126.1.4	magnesium(2+)
      2 1.I.3.1.1	molecule|macromolecule
      4 1.R.1.1.1	lipid
      2 2.A.108.2.3	iron(2+)
      1 2.A.108.2.4	iron atom
      1 2.A.108.2.9	iron atom
      1 2.A.1.1.115	metabolite
      1 2.A.1.1.117	glucose
      1 2.A.1.1.122	glucitol
      3 2.A.1.1.15	UDP-sugar
      1 2.A.1.1.1	D-fucopyranose|2-deoxy-D-galactopyranose|2-deoxy-D-glucopyranose|aldehydo-D-xylose|galactose|D-galactopyranose
      1 2.A.1.12.1	N-glycoloyl-beta-neuraminic acid|N-acetyl-beta-neuraminic acid
      1 2.A.113.1.12	cobalt(2+)|nickel(2+)
      1 2.A.1.13.13	monocarboxylic acid anion
      1 2.A.1.14.25	D-mannuronate
      1 2.A.1.14.2	galacturonate|D-glucuronate|D-glucopyranose
      2 2.A.1.15.4	cis,cis-muconate
      1 2.A.1.19.37	organic cation|amine
      1 2.A.1.21.22	macrolide|erythromycin A
      1 2.A.1.2.24	chloramphenicol|fluoroquinolone antibiotic
      1 2.A.123.2.3	UDP-sugar
      1 2.A.123.2.6	glucose
      1 2.A.123.2.8	UDP-sugar
      1 2.A.1.2.34	colistin|fluoroquinolone antibiotic
      1 2.A.1.2.39	tetracycline
      1 2.A.1.2.41	tetracycline|tetracycline
      2 2.A.1.2.49	tetracycline|tetracycline
      1 2.A.1.2.55	peptide|dipeptide|arabinose|drug
      1 2.A.1.2.70	tetracycline|drug
      1 2.A.1.2.95	chloramphenicol|fluoroquinolone antibiotic
      1 2.A.1.3.10	hydron|drug
      1 2.A.1.3.19	paraquat
      1 2.A.1.3.33	actinomycin D|novobiocin|streptomycin
      2 2.A.1.3.49	spectinomycin|tetracycline|drug
      1 2.A.1.3.50	3,6-diamino-10-methylacridinium chloride|ethidium bromide|tetraphenylphosphonium|norfloxacin|puromycin|drug
      1 2.A.1.3.5	hydron|pristinamycin IA|pristinamycin IIA|rifamycin SV
      5 2.A.1.3.64	cholate
     13 2.A.1.3.70	arenecarbaldehyde|aromatic compound
      3 2.A.1.3.72	riboflavin|riboflavin
      2 2.A.14.1.2	glycolate|lactate
      1 2.A.1.4.6	D-glucopyranose 6-phosphate
      1 2.A.1.49.1	sphingosine 1-phosphate
      1 2.A.1.53.11	alpha-amino acid
      1 2.A.1.6.10	metabolite
      1 2.A.1.6.13	acetate|chloroacetate
      2 2.A.16.4.5	anion
      3 2.A.1.82.4	nicotinic acid
      2 2.A.1.9.11	phosphate(3-)
      1 2.A.1.9.12	phosphate(3-)
      1 2.A.19.5.4	calcium(2+)|sodium(1+)
      1 2.A.1.9.9	phosphate(3-)
      3 2.A.20.1.4	phosphate(3-)
