Gene Id	Top hits (Family id,e-value,bitscore)
F-contig261_2	TIGR00006,2.9e-112,373.3
F-contig1373_2	TIGR00020,1.7e-123,410.4
F-contig71_10	TIGR00021,1.8e-62,208.8
F-contig1714_2	TIGR00037,3.4e-36,122.1
F-contig12_3	TIGR00042,1.5e-48,162.8
F-contig412_1	TIGR00054,6e-87,290.4
F-contig1849_1	TIGR00054,9.8e-77,256.8
F-contig1626_1	TIGR00083,9.9e-68,226.9
F-contig550_1	TIGR00092,6.9e-108,359.2
F-contig824_1	TIGR00194,3e-111,371.1
F-contig55_3	TIGR00240,2.8e-51,171.5
F-contig1680_2	TIGR00264,3.6e-36,122.2
F-contig79_7	TIGR00279,1.4e-51,172.8
F-contig35_2	TIGR00283,1.4e-38,129.9
F-contig1347_2	TIGR00291,5.6e-66,220.5
F-contig34_7	TIGR00293,2.2e-20,71.3
F-contig554_2	TIGR00307,4.1e-26,89.8
F-contig48_2	TIGR00308,5.8e-83,277.5
F-contig345_2	TIGR00323,1.8e-37,127.0
F-contig108_4	TIGR00324,8.9e-30,102.1
F-contig79_8	TIGR00324,8.6e-24,82.6
F-contig1468_2	TIGR00335,3.6e-34,116.8
F-contig82_10	TIGR00336,1.5e-37,127.2
F-contig327_1	TIGR00337,3.3e-195,647.9
F-contig668_1	TIGR00344,2e-139,464.5
F-contig1793_1	TIGR00362,1.2e-139,464.3
F-contig83_5	TIGR00373,2.3e-32,110.0
F-contig1809_1	TIGR00382,6.3e-62,208.1
F-contig1033_2	TIGR00396,1e-100,336.4
F-contig21_7	TIGR00405,1.5e-37,127.0
F-contig54_5	TIGR00408,8.2e-181,600.2
F-contig529_1	TIGR00414,2.3e-135,450.1
F-contig1734_1	TIGR00425,3.3e-102,340.1
F-contig893_1	TIGR00432,2.6e-85,285.3
F-contig345_1	TIGR00442,4.8e-87,290.8
F-contig1713_1	TIGR00456,6.6e-78,260.6
F-contig111_1	TIGR00456,4.4e-65,218.3
F-contig1224_2	TIGR00460,5.8e-90,299.8
F-contig7_2	TIGR00468,1.2e-104,348.3
F-contig98_1	TIGR00468,6e-104,346.0
F-contig98_2	TIGR00471,1.1e-143,477.9
F-contig623_3	TIGR00472,2e-94,315.6
F-contig4_8	TIGR00522,4.5e-55,185.0
F-contig40_3	TIGR00631,1.3e-275,914.0
F-contig110_5	TIGR00631,2.7e-213,708.1
F-contig1454_1	TIGR00631,2.1e-130,434.2
F-contig1362_1	TIGR00658,1.1e-129,430.2
F-contig3_5	TIGR00658,3.7e-123,408.8
F-contig1039_2	TIGR00663,1.3e-80,269.3
F-contig938_2	TIGR00663,2.2e-66,222.5
F-contig1054_1	TIGR00663,2.7e-44,149.8
F-contig55_2	TIGR00670,1.3e-104,347.8
F-contig700_1	TIGR00936,9.3e-146,484.1
F-contig467_2	TIGR00967,3.4e-80,268.1
F-contig69_1	TIGR01008,1.2e-57,193.0
F-contig936_4	TIGR01012,2.6e-86,286.3
F-contig1616_1	TIGR01017,4e-62,207.7
F-contig3_3	TIGR01020,1e-72,242.2
F-contig69_3	TIGR01025,1.8e-52,174.9
F-contig1345_3	TIGR01029,1.7e-51,172.4
F-contig69_2	TIGR01038,2.2e-52,175.2
F-contig509_1	TIGR01052,4.6e-106,353.3
F-contig158_3	TIGR01060,4.7e-106,353.2
F-contig942_1	TIGR01066,5.2e-51,170.4
F-contig1752_1	TIGR01087,1.5e-106,355.3
F-contig3_2	TIGR01309,2e-36,123.6
F-contig1369_1	TIGR01391,1e-133,444.5
F-contig1415_1	TIGR01391,2.2e-118,393.9
F-contig1616_2	TIGR02027,7.5e-74,246.8
F-contig77_2	TIGR02258,1.7e-44,150.0
F-contig52_1	TIGR02258,1.8e-20,71.8
F-contig91_5	TIGR02338,1.6e-30,103.6
F-contig1646_2	TIGR03594,6e-83,277.4
F-contig1416_2	TIGR03632,8.9e-55,182.4
F-contig890_2	TIGR03653,4.8e-55,184.2
F-contig1098_3	TIGR03665,9.1e-42,140.9
F-contig77_1	TIGR03671,1.7e-69,232.8
F-contig69_5	TIGR03672,1.3e-80,268.7
F-contig71_4	TIGR03677,4.7e-48,160.2
F-contig10_6	TIGR03680,6.4e-163,540.9
