locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPDPPLNH_00001	gene	585				
HPDPPLNH_00001	CDS	585				hypothetical protein
HPDPPLNH_00002	gene	1005				
HPDPPLNH_00002	CDS	1005				hypothetical protein
HPDPPLNH_00003	gene	729				
HPDPPLNH_00003	CDS	729				hypothetical protein
HPDPPLNH_00004	gene	591				
HPDPPLNH_00004	CDS	591				hypothetical protein
HPDPPLNH_00005	gene	177				
HPDPPLNH_00005	CDS	177				hypothetical protein
HPDPPLNH_00006	gene	198				
HPDPPLNH_00006	CDS	198				hypothetical protein
HPDPPLNH_00007	gene	585	ybeM			
HPDPPLNH_00007	CDS	585	ybeM	3.5.1.128		Deaminated glutathione amidase
HPDPPLNH_00008	gene	528				
HPDPPLNH_00008	CDS	528				hypothetical protein
HPDPPLNH_00009	gene	582				
HPDPPLNH_00009	CDS	582				hypothetical protein
HPDPPLNH_00010	gene	417				
HPDPPLNH_00010	CDS	417				hypothetical protein
HPDPPLNH_00011	gene	213				
HPDPPLNH_00011	CDS	213				hypothetical protein
HPDPPLNH_00012	gene	1128				
HPDPPLNH_00012	CDS	1128				hypothetical protein
HPDPPLNH_00013	gene	321				
HPDPPLNH_00013	CDS	321				hypothetical protein
HPDPPLNH_00014	gene	717				
HPDPPLNH_00014	CDS	717				hypothetical protein
HPDPPLNH_00015	gene	1923				
HPDPPLNH_00015	CDS	1923				hypothetical protein
HPDPPLNH_00016	gene	420	nrdZ			
HPDPPLNH_00016	CDS	420	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
HPDPPLNH_00017	gene	276				
HPDPPLNH_00017	CDS	276				hypothetical protein
HPDPPLNH_00018	gene	273				
HPDPPLNH_00018	CDS	273				hypothetical protein
HPDPPLNH_00019	gene	276				
HPDPPLNH_00019	CDS	276				hypothetical protein
HPDPPLNH_00020	gene	76				
HPDPPLNH_00020	tRNA	76				tRNA-Gly(tcc)
HPDPPLNH_00021	gene	303				
