Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosopelagicus_sp_REDSEA-S31_B2-contig36_9	TIGR00021,5e-63,208.6
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_37	TIGR00064,2.5e-89,295.5
Nitrosopelagicus_sp_REDSEA-S31_B2-contig64_6	TIGR00111,2e-58,194.6
Nitrosopelagicus_sp_REDSEA-S31_B2-contig64_15	TIGR00134,6.1e-189,625.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig80_25	TIGR00194,1.8e-143,475.5
Nitrosopelagicus_sp_REDSEA-S31_B2-contig11_8	TIGR00240,8e-53,174.5
Nitrosopelagicus_sp_REDSEA-S31_B2-contig70_7	TIGR00279,9.8e-51,168.1
Nitrosopelagicus_sp_REDSEA-S31_B2-contig15_17	TIGR00283,2.5e-38,127.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig7_46	TIGR00291,1.1e-63,211.0
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_36	TIGR00293,1.6e-24,82.8
Nitrosopelagicus_sp_REDSEA-S31_B2-contig16_7	TIGR00307,2.7e-26,88.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig7_31	TIGR00308,2.5e-81,270.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig84_23	TIGR00324,5.1e-31,104.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig70_6	TIGR00324,1.2e-17,60.6
Nitrosopelagicus_sp_REDSEA-S31_B2-contig77_19	TIGR00335,3.9e-40,134.5
Nitrosopelagicus_sp_REDSEA-S31_B2-contig5_39	TIGR00336,4.9e-40,133.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig73_1	TIGR00337,2.9e-208,688.9
Nitrosopelagicus_sp_REDSEA-S31_B2-contig12_40	TIGR00337,1.2e-142,472.5
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_19	TIGR03683,2.1e-255,846.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig58_16	TIGR00373,6.1e-35,116.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig77_16	TIGR00389,8.6e-157,519.3
Nitrosopelagicus_sp_REDSEA-S31_B2-contig80_17	TIGR00392,2.7e-203,673.8
Nitrosopelagicus_sp_REDSEA-S31_B2-contig13_3	TIGR00398,1.1e-157,522.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_27	TIGR00405,2e-37,124.7
Nitrosopelagicus_sp_REDSEA-S31_B2-contig45_10	TIGR00408,5.2e-123,407.7
Nitrosopelagicus_sp_REDSEA-S31_B2-contig39_15	TIGR00414,5.8e-163,539.0
Nitrosopelagicus_sp_REDSEA-S31_B2-contig65_7	TIGR00422,9.3e-197,652.0
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_48	TIGR00425,1.3e-110,365.8
Nitrosopelagicus_sp_REDSEA-S31_B2-contig13_7	TIGR00435,1.8e-153,508.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig36_23	TIGR00442,2.2e-90,299.8
Nitrosopelagicus_sp_REDSEA-S31_B2-contig47_10	TIGR00448,3.1e-54,179.5
Nitrosopelagicus_sp_REDSEA-S31_B2-contig84_14	TIGR00456,4.5e-114,378.1
Nitrosopelagicus_sp_REDSEA-S31_B2-contig84_7	TIGR00458,8.1e-138,456.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig12_20	TIGR00458,2.2e-136,451.5
Nitrosopelagicus_sp_REDSEA-S31_B2-contig8_15	TIGR00463,5.3e-130,430.8
Nitrosopelagicus_sp_REDSEA-S31_B2-contig65_18	TIGR00468,4.7e-103,341.1
Nitrosopelagicus_sp_REDSEA-S31_B2-contig65_17	TIGR00471,4.2e-142,470.6
Nitrosopelagicus_sp_REDSEA-S31_B2-contig36_20	TIGR00491,1.4e-198,657.3
Nitrosopelagicus_sp_REDSEA-S31_B2-contig63_18	TIGR00501,2.1e-90,299.5
Nitrosopelagicus_sp_REDSEA-S31_B2-contig75_5	TIGR00521,4.2e-116,384.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig67_13	TIGR00522,2e-58,194.0
Nitrosopelagicus_sp_REDSEA-S31_B2-contig14_17	TIGR00549,6e-68,225.5
Nitrosopelagicus_sp_REDSEA-S31_B2-contig80_27	TIGR00631,5.2e-289,956.3
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_38	TIGR00658,1.2e-122,405.1
Nitrosopelagicus_sp_REDSEA-S31_B2-contig11_7	TIGR00670,2e-108,358.3
Nitrosopelagicus_sp_REDSEA-S31_B2-contig7_30	TIGR00729,4e-61,202.9
Nitrosopelagicus_sp_REDSEA-S31_B2-contig65_4	TIGR00928,6.3e-127,420.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig13_4	TIGR00936,6.5e-164,541.9
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_12	TIGR00982,4.4e-68,223.6
Nitrosopelagicus_sp_REDSEA-S31_B2-contig86_51	TIGR01008,5.1e-60,198.8
Nitrosopelagicus_sp_REDSEA-S31_B2-contig14_16	TIGR01012,3.2e-65,215.6
Nitrosopelagicus_sp_REDSEA-S31_B2-contig14_8	TIGR01018,3.4e-50,166.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_40	TIGR01020,2.2e-72,239.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig86_53	TIGR01025,3.3e-49,162.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_13	TIGR01028,1.9e-60,200.0
Nitrosopelagicus_sp_REDSEA-S31_B2-contig86_52	TIGR01038,6.3e-52,171.8
Nitrosopelagicus_sp_REDSEA-S31_B2-contig84_29	TIGR01046,1.2e-40,134.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig26_13	TIGR01052,2.7e-140,464.3
Nitrosopelagicus_sp_REDSEA-S31_B2-contig14_15	TIGR01060,1.1e-104,346.7
Nitrosopelagicus_sp_REDSEA-S31_B2-contig7_49	TIGR01077,4.5e-40,133.5
Nitrosopelagicus_sp_REDSEA-S31_B2-contig86_46	TIGR01080,3.3e-26,88.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_58	TIGR01213,9.3e-42,139.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig20_4	TIGR01302,2e-94,313.3
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_41	TIGR01309,8.4e-35,116.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig4_11	TIGR01952,1.6e-43,144.7
Nitrosopelagicus_sp_REDSEA-S31_B2-contig10_10	TIGR02076,3.6e-70,232.3
Nitrosopelagicus_sp_REDSEA-S31_B2-contig64_14	TIGR02153,2.8e-146,483.6
Nitrosopelagicus_sp_REDSEA-S31_B2-contig7_23	TIGR02236,3.3e-121,400.6
Nitrosopelagicus_sp_REDSEA-S31_B2-contig68_10	TIGR02258,1.6e-46,154.7
Nitrosopelagicus_sp_REDSEA-S31_B2-contig7_40	TIGR02338,4.8e-30,100.1
Nitrosopelagicus_sp_REDSEA-S31_B2-contig68_14	TIGR02651,2.6e-97,321.8
Nitrosopelagicus_sp_REDSEA-S31_B2-contig86_56	TIGR03626,2e-100,332.1
Nitrosopelagicus_sp_REDSEA-S31_B2-contig48_4	TIGR03628,3.7e-57,188.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig86_41	TIGR03653,6.2e-56,185.2
Nitrosopelagicus_sp_REDSEA-S31_B2-contig26_12	TIGR03665,6.2e-61,201.4
Nitrosopelagicus_sp_REDSEA-S31_B2-contig68_9	TIGR03671,2.6e-109,361.9
Nitrosopelagicus_sp_REDSEA-S31_B2-contig13_9	TIGR03674,6.9e-129,426.0
Nitrosopelagicus_sp_REDSEA-S31_B2-contig36_16	TIGR03677,9.2e-47,154.1
