locus_tag	ftype	length_bp	gene	EC_number	COG	product
IGNEIHIN_00001	gene	759				
IGNEIHIN_00001	CDS	759				hypothetical protein
IGNEIHIN_00002	gene	1647	nrdZ			
IGNEIHIN_00002	CDS	1647	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
IGNEIHIN_00003	gene	528				
IGNEIHIN_00003	CDS	528				hypothetical protein
IGNEIHIN_00004	gene	231				
IGNEIHIN_00004	CDS	231				hypothetical protein
IGNEIHIN_00005	gene	138				
IGNEIHIN_00005	CDS	138				hypothetical protein
IGNEIHIN_00006	gene	642	ntpD_1			
IGNEIHIN_00006	CDS	642	ntpD_1			V-type sodium ATPase subunit D
IGNEIHIN_00007	gene	1413	ntpB_1			
IGNEIHIN_00007	CDS	1413	ntpB_1			V-type sodium ATPase subunit B
IGNEIHIN_00008	gene	489	atpA_1			
IGNEIHIN_00008	CDS	489	atpA_1	7.1.2.2	COG1155	V-type ATP synthase alpha chain
IGNEIHIN_00009	gene	1257	atpA_2			
IGNEIHIN_00009	CDS	1257	atpA_2	7.1.2.2	COG1155	V-type ATP synthase alpha chain
IGNEIHIN_00010	gene	612	atpE_1			
IGNEIHIN_00010	CDS	612	atpE_1			V-type proton ATPase subunit E
IGNEIHIN_00011	gene	297	atpF_1			
IGNEIHIN_00011	CDS	297	atpF_1			V-type ATP synthase subunit F
IGNEIHIN_00012	gene	330				
IGNEIHIN_00012	CDS	330				hypothetical protein
IGNEIHIN_00013	gene	528	gpt_1			
IGNEIHIN_00013	CDS	528	gpt_1	2.4.2.22		Xanthine phosphoribosyltransferase
IGNEIHIN_00014	gene	954	arcC2_1			
IGNEIHIN_00014	CDS	954	arcC2_1	2.7.2.2		Carbamate kinase 2
IGNEIHIN_00015	gene	1377	atzA_1			
IGNEIHIN_00015	CDS	1377	atzA_1	3.8.1.8		Atrazine chlorohydrolase
IGNEIHIN_00016	gene	1935				
IGNEIHIN_00016	CDS	1935				hypothetical protein
IGNEIHIN_00017	gene	750				
IGNEIHIN_00017	CDS	750				hypothetical protein
IGNEIHIN_00018	gene	309				
IGNEIHIN_00018	CDS	309				hypothetical protein
IGNEIHIN_00019	gene	561	rutD			
IGNEIHIN_00019	CDS	561	rutD	3.5.1.-		Putative aminoacrylate hydrolase RutD
IGNEIHIN_00020	gene	399				
IGNEIHIN_00020	CDS	399				hypothetical protein
IGNEIHIN_00021	gene	621				
IGNEIHIN_00021	CDS	621				hypothetical protein
IGNEIHIN_00022	gene	219				
IGNEIHIN_00022	CDS	219				hypothetical protein
IGNEIHIN_00023	gene	426				
IGNEIHIN_00023	CDS	426				hypothetical protein
IGNEIHIN_00024	gene	393				
IGNEIHIN_00024	CDS	393				hypothetical protein
IGNEIHIN_00025	gene	441	ddn			
IGNEIHIN_00025	CDS	441	ddn	1.-.-.-		Deazaflavin-dependent nitroreductase
IGNEIHIN_00026	gene	165				
IGNEIHIN_00026	CDS	165				hypothetical protein
IGNEIHIN_00027	gene	213				
IGNEIHIN_00027	CDS	213				hypothetical protein
IGNEIHIN_00028	gene	270				
IGNEIHIN_00028	CDS	270				hypothetical protein
IGNEIHIN_00029	gene	153				
IGNEIHIN_00029	CDS	153				hypothetical protein
IGNEIHIN_00030	gene	129				
IGNEIHIN_00030	CDS	129				hypothetical protein
IGNEIHIN_00031	gene	894				
IGNEIHIN_00031	CDS	894				hypothetical protein
IGNEIHIN_00032	gene	795	trmI			
IGNEIHIN_00032	CDS	795	trmI	2.1.1.220	COG2519	tRNA (adenine(58)-N(1))-methyltransferase TrmI
IGNEIHIN_00033	gene	615				
IGNEIHIN_00033	CDS	615				hypothetical protein
IGNEIHIN_00034	gene	603				
