locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNMFCPDG_00001	gene	858				
KNMFCPDG_00001	CDS	858				hypothetical protein
KNMFCPDG_00002	gene	717				
KNMFCPDG_00002	CDS	717				hypothetical protein
KNMFCPDG_00003	gene	492				
KNMFCPDG_00003	CDS	492				hypothetical protein
KNMFCPDG_00004	gene	1527				
KNMFCPDG_00004	CDS	1527				hypothetical protein
KNMFCPDG_00005	gene	1356				
KNMFCPDG_00005	CDS	1356		1.6.99.-	COG1252	NADH dehydrogenase-like protein
KNMFCPDG_00006	gene	651				
KNMFCPDG_00006	CDS	651				hypothetical protein
KNMFCPDG_00007	gene	498				
KNMFCPDG_00007	CDS	498				hypothetical protein
KNMFCPDG_00008	gene	2142	ftsH_1			
KNMFCPDG_00008	CDS	2142	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
KNMFCPDG_00009	gene	219				
KNMFCPDG_00009	CDS	219				hypothetical protein
KNMFCPDG_00010	gene	435				
KNMFCPDG_00010	CDS	435				hypothetical protein
KNMFCPDG_00011	gene	921				
KNMFCPDG_00011	CDS	921				hypothetical protein
KNMFCPDG_00012	gene	192				
KNMFCPDG_00012	CDS	192				hypothetical protein
KNMFCPDG_00013	gene	381	crcB			
KNMFCPDG_00013	CDS	381	crcB			Putative fluoride ion transporter CrcB
KNMFCPDG_00014	gene	228				
KNMFCPDG_00014	CDS	228				hypothetical protein
KNMFCPDG_00015	gene	273				
KNMFCPDG_00015	CDS	273				hypothetical protein
KNMFCPDG_00016	gene	480				
KNMFCPDG_00016	CDS	480				hypothetical protein
KNMFCPDG_00017	gene	231				
KNMFCPDG_00017	CDS	231				hypothetical protein
KNMFCPDG_00018	gene	300				
KNMFCPDG_00018	CDS	300				hypothetical protein
KNMFCPDG_00019	gene	945				
KNMFCPDG_00019	CDS	945				hypothetical protein
KNMFCPDG_00020	gene	906				
KNMFCPDG_00020	CDS	906				hypothetical protein
KNMFCPDG_00021	gene	1476	nhaP2			
KNMFCPDG_00021	CDS	1476	nhaP2			K(+)/H(+) antiporter NhaP2
KNMFCPDG_00022	gene	543				
KNMFCPDG_00022	CDS	543				hypothetical protein
KNMFCPDG_00023	gene	540	cysC			
KNMFCPDG_00023	CDS	540	cysC	2.7.1.25	COG0529	putative adenylyl-sulfate kinase
KNMFCPDG_00024	gene	816	cysQ			
KNMFCPDG_00024	CDS	816	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
KNMFCPDG_00025	gene	210				
KNMFCPDG_00025	CDS	210				hypothetical protein
KNMFCPDG_00026	gene	744	bacC			
KNMFCPDG_00026	CDS	744	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
KNMFCPDG_00027	gene	429				
KNMFCPDG_00027	CDS	429				hypothetical protein
KNMFCPDG_00028	gene	552				
KNMFCPDG_00028	CDS	552				hypothetical protein
KNMFCPDG_00029	gene	648				
KNMFCPDG_00029	CDS	648				hypothetical protein
KNMFCPDG_00030	gene	1410				
KNMFCPDG_00030	CDS	1410				hypothetical protein
KNMFCPDG_00031	gene	471				
KNMFCPDG_00031	CDS	471				hypothetical protein
KNMFCPDG_00032	gene	642				
KNMFCPDG_00032	CDS	642				hypothetical protein
KNMFCPDG_00033	gene	261				
KNMFCPDG_00033	CDS	261				hypothetical protein
KNMFCPDG_00034	gene	1008				
KNMFCPDG_00034	CDS	1008				hypothetical protein
KNMFCPDG_00035	gene	351				
KNMFCPDG_00035	CDS	351				hypothetical protein
KNMFCPDG_00036	gene	195				
KNMFCPDG_00036	CDS	195				hypothetical protein
KNMFCPDG_00037	gene	714	queE			
KNMFCPDG_00037	CDS	714	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
KNMFCPDG_00038	gene	558	folE			
KNMFCPDG_00038	CDS	558	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
KNMFCPDG_00039	gene	255				
KNMFCPDG_00039	CDS	255				hypothetical protein
KNMFCPDG_00040	gene	675	queC			
KNMFCPDG_00040	CDS	675	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
KNMFCPDG_00041	gene	924	thrB_1			
KNMFCPDG_00041	CDS	924	thrB_1	2.7.1.39	COG0083	Homoserine kinase
KNMFCPDG_00042	gene	843				
KNMFCPDG_00042	CDS	843				hypothetical protein
KNMFCPDG_00043	gene	153				
KNMFCPDG_00043	CDS	153				hypothetical protein
KNMFCPDG_00044	gene	1017				
KNMFCPDG_00044	CDS	1017				hypothetical protein
KNMFCPDG_00045	gene	795				
KNMFCPDG_00045	CDS	795		1.-.-.-		putative oxidoreductase
KNMFCPDG_00046	gene	402				
KNMFCPDG_00046	CDS	402				hypothetical protein
KNMFCPDG_00047	gene	312				
KNMFCPDG_00047	CDS	312				hypothetical protein
KNMFCPDG_00048	gene	1236				
KNMFCPDG_00048	CDS	1236				hypothetical protein
KNMFCPDG_00049	gene	1116	thiI			
KNMFCPDG_00049	CDS	1116	thiI	2.8.1.4		tRNA sulfurtransferase
KNMFCPDG_00050	gene	726	cysH			
KNMFCPDG_00050	CDS	726	cysH	1.8.4.10		Thioredoxin-dependent 5'-adenylylsulfate reductase
KNMFCPDG_00051	gene	1143	sat			
KNMFCPDG_00051	CDS	1143	sat	2.7.7.4	COG2046	Sulfate adenylyltransferase
KNMFCPDG_00052	gene	666				
KNMFCPDG_00052	CDS	666				hypothetical protein
KNMFCPDG_00053	gene	657	nth			
KNMFCPDG_00053	CDS	657	nth	4.2.99.18	COG0177	Endonuclease III
KNMFCPDG_00054	gene	1155				
KNMFCPDG_00054	CDS	1155				hypothetical protein
KNMFCPDG_00055	gene	387				
KNMFCPDG_00055	CDS	387				hypothetical protein
KNMFCPDG_00056	gene	1959				
KNMFCPDG_00056	CDS	1959				hypothetical protein
KNMFCPDG_00057	gene	477				
KNMFCPDG_00057	CDS	477				hypothetical protein
KNMFCPDG_00058	gene	591	cbiT			
KNMFCPDG_00058	CDS	591	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
KNMFCPDG_00059	gene	723	cbiL			
KNMFCPDG_00059	CDS	723	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
KNMFCPDG_00060	gene	771	cbiF			
KNMFCPDG_00060	CDS	771	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
KNMFCPDG_00061	gene	756	murI			
KNMFCPDG_00061	CDS	756	murI	5.1.1.3		Glutamate racemase
KNMFCPDG_00062	gene	651				
KNMFCPDG_00062	CDS	651				hypothetical protein
KNMFCPDG_00063	gene	801				
KNMFCPDG_00063	CDS	801				hypothetical protein
KNMFCPDG_00064	gene	195				
KNMFCPDG_00064	CDS	195				hypothetical protein
KNMFCPDG_00065	gene	576				
KNMFCPDG_00065	CDS	576				hypothetical protein
KNMFCPDG_00066	gene	1152	arnC_1			
KNMFCPDG_00066	CDS	1152	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
KNMFCPDG_00067	gene	6891				
KNMFCPDG_00067	CDS	6891				hypothetical protein
KNMFCPDG_00068	gene	1458	glyQS			
