Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosoarchaeum-Baikal-G1-C1-contig1_127	PF04019.7,2.5e-33,110.7
Nitrosoarchaeum-Baikal-G1-C1-contig1_197	PF13685.1,9.6e-20,67.6
Nitrosoarchaeum-Baikal-G1-C1-contig1_221	PF01990.12,1.3e-14,51.1
Nitrosoarchaeum-Baikal-G1-C1-contig1_40	PF01090.14,1.6e-48,160.4
Nitrosoarchaeum-Baikal-G1-C1-contig1_41	PF01984.15,1.2e-25,86.3
Nitrosoarchaeum-Baikal-G1-C1-contig1_95	PF01866.12,9.4e-83,274.6
Nitrosoarchaeum-Baikal-G1-C1-contig1_98	PF00368.13,1.4e-81,270.7
Nitrosoarchaeum-Baikal-G1-C1-contig2_191	PF01000.21,1.1e-25,86.6
Nitrosoarchaeum-Baikal-G1-C1-contig2_194	PF00380.14,3.8e-36,120.7
Nitrosoarchaeum-Baikal-G1-C1-contig2_228	PF01655.13,4.7e-36,119.9
Nitrosoarchaeum-Baikal-G1-C1-contig2_229	PF01280.15,5.6e-42,139.7
Nitrosoarchaeum-Baikal-G1-C1-contig2_235	PF00687.16,3.2e-43,144.3
Nitrosoarchaeum-Baikal-G1-C1-contig2_236	PF00466.15,6e-19,64.5
Nitrosoarchaeum-Baikal-G1-C1-contig2_252	PF01191.14,2.9e-29,97.2
Nitrosoarchaeum-Baikal-G1-C1-contig2_275	PF01194.12,3e-29,97.6
Nitrosoarchaeum-Baikal-G1-C1-contig2_361	PF01200.13,1.3e-29,98.5
Nitrosoarchaeum-Baikal-G1-C1-contig2_91	PF02978.14,2.8e-30,101.3
Nitrosoarchaeum-Baikal-G1-C1-contig3_48	PF00410.14,9.7e-23,77.1
Nitrosoarchaeum-Baikal-G1-C1-contig3_51	PF00900.15,5.1e-23,77.3
Nitrosoarchaeum-Baikal-G1-C1-contig3_55	PF01868.11,5.3e-24,80.4
Nitrosoarchaeum-Baikal-G1-C1-contig5_19	PF01025.14,2.1e-37,124.9
Nitrosoarchaeum-Baikal-G1-C1-contig5_38	PF07541.7,1.1e-24,83.0
Nitrosoarchaeum-Baikal-G1-C1-contig5_44	PF01092.14,2.6e-20,69.0
Nitrosoarchaeum-Baikal-G1-C1-contig5_51	PF04104.9,4e-28,95.1
Nitrosoarchaeum-Baikal-G1-C1-contig6_22	PF00827.12,1.8e-44,148.2
Nitrosoarchaeum-Baikal-G1-C1-contig6_31	PF01198.14,1.6e-25,85.3
Nitrosoarchaeum-Baikal-G1-C1-contig6_79	PF04919.7,5.5e-48,159.7
Nitrosoarchaeum-Baikal-G1-C1-contig6_80	PF03874.11,5.8e-14,48.8
Nitrosoarchaeum-Baikal-G1-C1-contig6_81	PF01157.13,6.3e-13,45.1
Nitrosoarchaeum-Baikal-G1-C1-contig6_88	PF01798.13,1.8e-49,163.6
Nitrosoarchaeum-Baikal-G1-C1-contig7_24	PF01984.15,2.7e-07,27.2
Nitrosoarchaeum-Baikal-G1-C1-contig7_65	PF01015.13,3.7e-65,215.6
Nitrosoarchaeum-Baikal-G1-C1-contig8_23	PF13656.1,4.7e-18,61.1
Nitrosoarchaeum-Baikal-G1-C1-contig8_55	PF13685.1,9.6e-68,224.8
Nitrosoarchaeum-Baikal-G1-C1-contig8_64	PF02006.11,6.1e-69,227.6
Nitrosoarchaeum-Baikal-G1-C1-contig9_2	PF01269.12,2.9e-85,281.5
