Gene Id	Top hits (Family id,e-value,bitscore)
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig36_3	TIGR00037,1.7e-36,121.2
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig1_7	TIGR00042,5.2e-48,159.1
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig9_4	TIGR00064,1.7e-90,299.3
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig126_3	TIGR00111,1.7e-57,191.5
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig4_12	TIGR00134,2.5e-188,623.4
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig182_2	TIGR00134,1.3e-107,356.8
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig160_4	TIGR00134,1.2e-76,254.5
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig11_2	TIGR00194,4.1e-144,477.6
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig138_5	TIGR00240,3.4e-52,172.5
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig94_5	TIGR00264,5.3e-29,97.1
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig14_12	TIGR00279,9.7e-51,168.1
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig40_7	TIGR00291,1.1e-63,211.0
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig9_3	TIGR00293,1.6e-24,82.8
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig86_5	TIGR00307,2.7e-26,88.4
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig41_1	TIGR00308,1.5e-68,228.1
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig2_11	TIGR00324,6.1e-31,103.9
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig14_13	TIGR00324,1.4e-17,60.4
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig122_1	TIGR00335,4.2e-24,81.8
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig154_2	TIGR00336,9.1e-34,113.0
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig57_3	TIGR00337,5.7e-228,754.0
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig48_2	TIGR03683,1.9e-255,846.5
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig3_14	TIGR00389,1.2e-156,518.8
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig10_1	TIGR00392,9.8e-200,662.0
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig70_7	TIGR00405,1.9e-37,124.7
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig191_3	TIGR00414,4e-157,519.7
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig9_14	TIGR00425,1.3e-110,365.8
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig21_6	TIGR00432,8.7e-125,413.7
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig131_4	TIGR00435,2.1e-153,508.0
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig125_4	TIGR00442,1.4e-98,326.8
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig116_1	TIGR00448,1.5e-48,161.0
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig2_2	TIGR00456,1e-113,376.9
Candidatus_Nitrosopelagicus_sp_Isolate_GoM-contig8_4	TIGR00458,5.2e-136,450.2
