Gene Id	Top hits (Family id,e-value,bitscore)
F-contig1099_3	PF01868.11,3.4e-24,82.8
F-contig10_5	PF01092.14,1.9e-20,71.3
F-contig1104_1	PF07541.7,1.1e-24,84.8
F-contig116_6	PF01990.12,9.8e-16,56.5
F-contig1201_1	PF00827.12,1.6e-36,124.1
F-contig1217_3	PF01015.13,5.2e-48,161.5
F-contig1322_2	PF00900.15,3.7e-23,79.5
F-contig1347_3	PF01000.21,1.5e-08,33.3
F-contig1377_2	PF04104.9,8.4e-20,69.6
F-contig1482_3	PF01194.12,2.9e-21,73.8
F-contig1534_4	PF01990.12,2.2e-09,36.1
F-contig1616_2	PF01000.21,5.9e-22,76.5
F-contig1985_1	PF01025.14,1.8e-06,26.1
F-contig201_2	PF02006.11,7.5e-43,144.5
F-contig21_3	PF00466.15,2.3e-18,64.5
F-contig21_4	PF00687.16,2.3e-45,153.1
F-contig310_1	PF01866.12,2.8e-17,61.4
F-contig34_2	PF01280.15,3.4e-44,148.7
F-contig34_3	PF01655.13,1e-37,127.1
F-contig375_2	PF04019.7,2.9e-36,122.0
F-contig388_1	PF01269.12,5.6e-56,187.5
F-contig388_2	PF01798.13,5.3e-50,167.1
F-contig45_4	PF01090.14,1e-49,166.1
F-contig45_5	PF01984.15,4.8e-26,89.4
F-contig5_5	PF13656.1,5.4e-16,56.3
F-contig66_3	PF01198.14,1.4e-23,80.9
F-contig70_1	PF01496.14,1.6e-59,200.1
F-contig71_3	PF01200.13,2.6e-31,105.7
F-contig740_2	PF01157.13,8.9e-15,52.8
F-contig740_3	PF03874.11,1.2e-12,46.3
F-contig76_3	PF13685.1,3.7e-17,61.0
F-contig864_1	PF00368.13,3.4e-27,93.6
F-contig890_3	PF00410.14,6.8e-22,76.2
F-contig90_2	PF01191.14,4.5e-29,98.4
F-contig942_2	PF00380.14,1e-43,146.9
