locus_tag	ftype	length_bp	gene	EC_number	COG	product
DFECLBEL_00001	gene	543				
DFECLBEL_00001	CDS	543				hypothetical protein
DFECLBEL_00002	gene	162				
DFECLBEL_00002	CDS	162				hypothetical protein
DFECLBEL_00003	gene	966	btuF			
DFECLBEL_00003	CDS	966	btuF		COG0614	Vitamin B12-binding protein
DFECLBEL_00004	gene	981				
DFECLBEL_00004	CDS	981				hypothetical protein
DFECLBEL_00005	gene	483				
DFECLBEL_00005	CDS	483		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
DFECLBEL_00006	gene	777				
DFECLBEL_00006	CDS	777				hypothetical protein
DFECLBEL_00007	gene	312				
DFECLBEL_00007	CDS	312				hypothetical protein
DFECLBEL_00008	gene	198				
DFECLBEL_00008	CDS	198				hypothetical protein
DFECLBEL_00009	gene	1380				
DFECLBEL_00009	CDS	1380				hypothetical protein
DFECLBEL_00010	gene	366				
DFECLBEL_00010	CDS	366				hypothetical protein
DFECLBEL_00011	gene	186				
DFECLBEL_00011	CDS	186				hypothetical protein
DFECLBEL_00012	gene	909				
DFECLBEL_00012	CDS	909				hypothetical protein
DFECLBEL_00013	gene	1347	phr			
DFECLBEL_00013	CDS	1347	phr	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
DFECLBEL_00014	gene	96				
DFECLBEL_00014	CDS	96				hypothetical protein
DFECLBEL_00015	gene	408				
DFECLBEL_00015	CDS	408				hypothetical protein
DFECLBEL_00016	gene	366				
DFECLBEL_00016	CDS	366				hypothetical protein
DFECLBEL_00017	gene	885				
DFECLBEL_00017	CDS	885				hypothetical protein
DFECLBEL_00018	gene	1335	hpnE			
DFECLBEL_00018	CDS	1335	hpnE	1.17.8.1	COG2907	Hydroxysqualene dehydroxylase
DFECLBEL_00019	gene	390				
DFECLBEL_00019	CDS	390				hypothetical protein
DFECLBEL_00020	gene	186				
DFECLBEL_00020	CDS	186				hypothetical protein
DFECLBEL_00021	gene	186				
DFECLBEL_00021	CDS	186				hypothetical protein
DFECLBEL_00022	gene	414				
DFECLBEL_00022	CDS	414				hypothetical protein
DFECLBEL_00023	gene	90				
DFECLBEL_00023	CDS	90				hypothetical protein
DFECLBEL_00024	gene	399				
DFECLBEL_00024	CDS	399				hypothetical protein
DFECLBEL_00025	gene	414	yccU			
DFECLBEL_00025	CDS	414	yccU		COG1832	putative protein YccU
DFECLBEL_00026	gene	519				
DFECLBEL_00026	CDS	519				hypothetical protein
DFECLBEL_00027	gene	1008	birA			
DFECLBEL_00027	CDS	1008	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
DFECLBEL_00028	gene	363				
DFECLBEL_00028	CDS	363				hypothetical protein
DFECLBEL_00029	gene	1422				
DFECLBEL_00029	CDS	1422				hypothetical protein
DFECLBEL_00030	gene	912				
DFECLBEL_00030	CDS	912				hypothetical protein
DFECLBEL_00031	gene	297				
DFECLBEL_00031	CDS	297				hypothetical protein
DFECLBEL_00032	gene	426	gpt			
DFECLBEL_00032	CDS	426	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
DFECLBEL_00033	gene	393				
DFECLBEL_00033	CDS	393				hypothetical protein
DFECLBEL_00034	gene	609				
DFECLBEL_00034	CDS	609				hypothetical protein
DFECLBEL_00035	gene	1065	phaC			
DFECLBEL_00035	CDS	1065	phaC	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
DFECLBEL_00036	gene	426				
DFECLBEL_00036	CDS	426				hypothetical protein
DFECLBEL_00037	gene	426				
DFECLBEL_00037	CDS	426				hypothetical protein
DFECLBEL_00038	gene	204				
DFECLBEL_00038	CDS	204				hypothetical protein
DFECLBEL_00039	gene	198				
DFECLBEL_00039	CDS	198				hypothetical protein
DFECLBEL_00040	gene	138				
DFECLBEL_00040	CDS	138				hypothetical protein
DFECLBEL_00041	gene	378				
DFECLBEL_00041	CDS	378				hypothetical protein
DFECLBEL_00042	gene	135				
DFECLBEL_00042	CDS	135				hypothetical protein
DFECLBEL_00043	gene	834	eryG			
DFECLBEL_00043	CDS	834	eryG	2.1.1.254		Erythromycin 3''-O-methyltransferase
DFECLBEL_00044	gene	132				
DFECLBEL_00044	CDS	132				hypothetical protein
DFECLBEL_00045	gene	486				
DFECLBEL_00045	CDS	486				hypothetical protein
DFECLBEL_00046	gene	282	zraS_1			
DFECLBEL_00046	CDS	282	zraS_1	2.7.13.3		Sensor protein ZraS
DFECLBEL_00047	gene	198				
DFECLBEL_00047	CDS	198				hypothetical protein
DFECLBEL_00048	gene	192				
DFECLBEL_00048	CDS	192				hypothetical protein
DFECLBEL_00049	gene	1323				
DFECLBEL_00049	rRNA	1323				23S ribosomal RNA (partial)
DFECLBEL_00050	gene	1513				
DFECLBEL_00050	rRNA	1513				23S ribosomal RNA (partial)
DFECLBEL_00051	gene	1465				
DFECLBEL_00051	rRNA	1465				16S ribosomal RNA
DFECLBEL_00052	gene	1305	hemL_1			
DFECLBEL_00052	CDS	1305	hemL_1	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
DFECLBEL_00053	gene	363				
DFECLBEL_00053	CDS	363				hypothetical protein
DFECLBEL_00054	gene	822	cpoB			
DFECLBEL_00054	CDS	822	cpoB			Cell division coordinator CpoB
DFECLBEL_00055	gene	717				
DFECLBEL_00055	CDS	717				hypothetical protein
DFECLBEL_00056	gene	381				
DFECLBEL_00056	CDS	381				hypothetical protein
DFECLBEL_00057	gene	456				
DFECLBEL_00057	CDS	456				hypothetical protein
DFECLBEL_00058	gene	408				
DFECLBEL_00058	CDS	408				hypothetical protein
DFECLBEL_00059	gene	678	dnaJ_1			
DFECLBEL_00059	CDS	678	dnaJ_1			Chaperone protein DnaJ
DFECLBEL_00060	gene	297				
DFECLBEL_00060	CDS	297				hypothetical protein
DFECLBEL_00061	gene	168				
DFECLBEL_00061	CDS	168				hypothetical protein
DFECLBEL_00062	gene	564				
DFECLBEL_00062	CDS	564				hypothetical protein
DFECLBEL_00063	gene	135				
DFECLBEL_00063	CDS	135				hypothetical protein
DFECLBEL_00064	gene	150				
DFECLBEL_00064	CDS	150				hypothetical protein
DFECLBEL_00065	gene	213				
DFECLBEL_00065	CDS	213				hypothetical protein
DFECLBEL_00066	gene	336				
DFECLBEL_00066	CDS	336				hypothetical protein
DFECLBEL_00067	gene	309	lodB			
DFECLBEL_00067	CDS	309	lodB	1.-.-.-	COG0644	Putative FAD-dependent oxidoreductase LodB
DFECLBEL_00068	gene	270				
DFECLBEL_00068	CDS	270				hypothetical protein
DFECLBEL_00069	gene	2097	lodA			
DFECLBEL_00069	CDS	2097	lodA	1.4.3.20		L-lysine 6-oxidase
DFECLBEL_00070	gene	453				
