Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosopumilus_salaria_BD31-contig101_15	PF01025.14,1.1e-39,132.8
Nitrosopumilus_salaria_BD31-contig102_6	PF07541.7,1.4e-23,80.0
Nitrosopumilus_salaria_BD31-contig108_33	PF00368.13,9.1e-84,278.4
Nitrosopumilus_salaria_BD31-contig108_36	PF01866.12,7.4e-83,275.5
Nitrosopumilus_salaria_BD31-contig116_4	PF00410.14,2.9e-23,79.3
Nitrosopumilus_salaria_BD31-contig116_7	PF00900.15,2.1e-22,75.8
Nitrosopumilus_salaria_BD31-contig126_14	PF01025.14,2.9e-50,167.2
Nitrosopumilus_salaria_BD31-contig130_26	PF01090.14,3.7e-49,162.9
Nitrosopumilus_salaria_BD31-contig130_27	PF01984.15,1.3e-26,89.9
Nitrosopumilus_salaria_BD31-contig135_10	PF01194.12,8.4e-30,99.8
Nitrosopumilus_salaria_BD31-contig14_9	PF01015.13,1.3e-65,217.6
Nitrosopumilus_salaria_BD31-contig150_16	PF01000.21,7.6e-27,90.9
Nitrosopumilus_salaria_BD31-contig150_19	PF00380.14,7e-36,120.4
Nitrosopumilus_salaria_BD31-contig153_8	PF01269.12,1e-87,290.0
Nitrosopumilus_salaria_BD31-contig156_1	PF01868.11,6.4e-19,64.6
Nitrosopumilus_salaria_BD31-contig161_10	PF01198.14,1.6e-23,79.3
Nitrosopumilus_salaria_BD31-contig161_22	PF00827.12,2.1e-45,151.8
Nitrosopumilus_salaria_BD31-contig30_19	PF04019.7,4.7e-31,103.9
Nitrosopumilus_salaria_BD31-contig35_1	PF13685.1,2.7e-18,63.4
Nitrosopumilus_salaria_BD31-contig45_7	PF01200.13,7.2e-30,99.8
Nitrosopumilus_salaria_BD31-contig66_9	PF13656.1,6e-19,64.5
Nitrosopumilus_salaria_BD31-contig74_9	PF02978.14,1.1e-31,106.3
Nitrosopumilus_salaria_BD31-contig75_18	PF13685.1,6.7e-67,222.6
Nitrosopumilus_salaria_BD31-contig75_29	PF02006.11,2.6e-65,216.3
Nitrosopumilus_salaria_BD31-contig75_59	PF01496.14,9.9e-57,189.5
Nitrosopumilus_salaria_BD31-contig8_2	PF01191.14,6.9e-29,96.5
Nitrosopumilus_salaria_BD31-contig90_29	PF13685.1,1.4e-18,64.3
Nitrosopumilus_salaria_BD31-contig90_60	PF01990.12,1.3e-15,54.8
Nitrosopumilus_salaria_BD31-contig95_6	PF01798.13,5e-51,169.1
Nitrosopumilus_salaria_BD31-contig96_10	PF03874.11,1.6e-14,51.1
Nitrosopumilus_salaria_BD31-contig96_11	PF01157.13,2.7e-14,50.0
Nitrosopumilus_salaria_BD31-contig96_9	PF04919.7,4.9e-53,176.7
Nitrosopumilus_salaria_BD31-contig97_1	PF01092.14,4.9e-16,55.7
