Gene Id	Top hits (Family id,e-value,bitscore)
AAA799-O18-contig13_12	TIGR00064,1e-90,299.1
AAA799-O18-contig2_22	TIGR00111,3.5e-57,189.6
AAA799-O18-contig2_31	TIGR00240,7.8e-49,160.7
AAA799-O18-contig1_79	TIGR00279,2.5e-52,172.3
AAA799-O18-contig1_98	TIGR00291,1.5e-64,212.9
AAA799-O18-contig13_11	TIGR00293,5.1e-22,73.7
AAA799-O18-contig39_3	TIGR00307,6.5e-27,89.5
AAA799-O18-contig1_5	TIGR00308,3e-77,255.8
AAA799-O18-contig3_23	TIGR00324,2.2e-30,101.1
AAA799-O18-contig1_78	TIGR00324,3.3e-23,77.8
AAA799-O18-contig4_9	TIGR00337,1e-221,732.4
AAA799-O18-contig8_12	TIGR03683,7.4e-252,833.7
AAA799-O18-contig6_26	TIGR00392,6.1e-204,675.0
AAA799-O18-contig42_6	TIGR00405,2e-32,107.5
AAA799-O18-contig13_22	TIGR00425,8.8e-78,256.9
AAA799-O18-contig3_36	TIGR00458,7.2e-143,471.9
AAA799-O18-contig10_6	TIGR00501,8.8e-87,286.6
AAA799-O18-contig7_3	TIGR00522,4.3e-60,198.6
AAA799-O18-contig13_13	TIGR00658,1.2e-119,394.3
AAA799-O18-contig2_30	TIGR00670,5.6e-107,352.7
AAA799-O18-contig1_4	TIGR00729,8.2e-58,191.2
AAA799-O18-contig13_18	TIGR00967,4e-79,261.7
AAA799-O18-contig8_6	TIGR00982,6.7e-68,222.1
AAA799-O18-contig25_16	TIGR01008,2.4e-62,205.5
AAA799-O18-contig13_15	TIGR01020,5.4e-71,233.7
AAA799-O18-contig25_18	TIGR01025,3.4e-49,161.4
AAA799-O18-contig8_7	TIGR01028,4.1e-70,230.6
AAA799-O18-contig25_17	TIGR01038,7.3e-53,173.8
AAA799-O18-contig3_16	TIGR01046,3e-41,135.2
AAA799-O18-contig1_18	TIGR01052,2.3e-139,460.2
AAA799-O18-contig1_102	TIGR01077,7.6e-45,148.1
AAA799-O18-contig25_11	TIGR01080,5.1e-30,99.6
AAA799-O18-contig30_7	TIGR01213,4.6e-50,165.8
AAA799-O18-contig17_6	TIGR01302,1.1e-164,543.9
AAA799-O18-contig13_16	TIGR01309,2.9e-38,126.7
AAA799-O18-contig8_5	TIGR01952,5.8e-43,141.9
AAA799-O18-contig21_5	TIGR02236,1e-124,411.3
AAA799-O18-contig9_9	TIGR02258,3.6e-45,149.4
AAA799-O18-contig1_89	TIGR02338,2.1e-30,100.3
AAA799-O18-contig8_3	TIGR02390,0.0,1213.9
AAA799-O18-contig9_6	TIGR02651,1.9e-99,327.8
AAA799-O18-contig25_22	TIGR03626,5e-95,313.4
AAA799-O18-contig1_52	TIGR03628,1.3e-56,185.5
AAA799-O18-contig1_19	TIGR03665,6.1e-61,200.5
AAA799-O18-contig8_2	TIGR03670,1.1e-239,791.9
AAA799-O18-contig9_10	TIGR03671,1.4e-109,361.9
