locus_tag	ftype	length_bp	gene	EC_number	COG	product
GLHMLAAA_00001	gene	537				
GLHMLAAA_00001	CDS	537				hypothetical protein
GLHMLAAA_00002	gene	831				
GLHMLAAA_00002	CDS	831				hypothetical protein
GLHMLAAA_00003	gene	219				
GLHMLAAA_00003	CDS	219				hypothetical protein
GLHMLAAA_00004	gene	837				
GLHMLAAA_00004	CDS	837				hypothetical protein
GLHMLAAA_00005	gene	777				
GLHMLAAA_00005	CDS	777				hypothetical protein
GLHMLAAA_00006	gene	651	psd_1			
GLHMLAAA_00006	CDS	651	psd_1	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
GLHMLAAA_00007	gene	285				
GLHMLAAA_00007	CDS	285				hypothetical protein
GLHMLAAA_00008	gene	216				
GLHMLAAA_00008	CDS	216				hypothetical protein
GLHMLAAA_00009	gene	567				
GLHMLAAA_00009	CDS	567				hypothetical protein
GLHMLAAA_00010	gene	312				
GLHMLAAA_00010	CDS	312				hypothetical protein
GLHMLAAA_00011	gene	303				
GLHMLAAA_00011	CDS	303				hypothetical protein
GLHMLAAA_00012	gene	444				
GLHMLAAA_00012	CDS	444				hypothetical protein
GLHMLAAA_00013	gene	597				
GLHMLAAA_00013	CDS	597				hypothetical protein
GLHMLAAA_00014	gene	210				
GLHMLAAA_00014	CDS	210				hypothetical protein
GLHMLAAA_00015	gene	249				
GLHMLAAA_00015	CDS	249				hypothetical protein
GLHMLAAA_00016	gene	780	bcrA			
GLHMLAAA_00016	CDS	780	bcrA			Bacitracin transport ATP-binding protein BcrA
GLHMLAAA_00017	gene	303	rocA			
GLHMLAAA_00017	CDS	303	rocA	1.2.1.88		1-pyrroline-5-carboxylate dehydrogenase
GLHMLAAA_00018	gene	858	speB_1			
GLHMLAAA_00018	CDS	858	speB_1	3.5.3.11	COG0010	Agmatinase
GLHMLAAA_00019	gene	228				
GLHMLAAA_00019	CDS	228				hypothetical protein
GLHMLAAA_00020	gene	228	dppB_1			
GLHMLAAA_00020	CDS	228	dppB_1		COG0601	Dipeptide transport system permease protein DppB
GLHMLAAA_00021	gene	669				
GLHMLAAA_00021	CDS	669				hypothetical protein
GLHMLAAA_00022	gene	189				
GLHMLAAA_00022	CDS	189				hypothetical protein
GLHMLAAA_00023	gene	504	fadJ_1			
GLHMLAAA_00023	CDS	504	fadJ_1	5.1.2.3		Fatty acid oxidation complex subunit alpha
GLHMLAAA_00024	gene	255				
GLHMLAAA_00024	CDS	255				hypothetical protein
GLHMLAAA_00025	gene	240				
GLHMLAAA_00025	CDS	240				hypothetical protein
GLHMLAAA_00026	gene	126				
GLHMLAAA_00026	CDS	126				hypothetical protein
GLHMLAAA_00027	gene	114				
GLHMLAAA_00027	CDS	114				hypothetical protein
GLHMLAAA_00028	gene	1872				
GLHMLAAA_00028	CDS	1872				hypothetical protein
GLHMLAAA_00029	gene	276				
GLHMLAAA_00029	CDS	276				hypothetical protein
GLHMLAAA_00030	gene	195				
GLHMLAAA_00030	CDS	195				hypothetical protein
GLHMLAAA_00031	gene	174				
GLHMLAAA_00031	CDS	174				hypothetical protein
GLHMLAAA_00032	gene	906				
GLHMLAAA_00032	CDS	906				hypothetical protein
GLHMLAAA_00033	gene	1437				
GLHMLAAA_00033	CDS	1437				hypothetical protein
GLHMLAAA_00034	gene	396	epi			
GLHMLAAA_00034	CDS	396	epi	5.1.99.-	COG0346	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
GLHMLAAA_00035	gene	1368	bhbA_1			
GLHMLAAA_00035	CDS	1368	bhbA_1	5.4.99.2		Methylmalonyl-CoA mutase
