locus_tag	ftype	length_bp	gene	EC_number	COG	product
GGFHDHHI_00001	gene	795	ycfH			
GGFHDHHI_00001	CDS	795	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
GGFHDHHI_00002	gene	333				
GGFHDHHI_00002	CDS	333				hypothetical protein
GGFHDHHI_00003	gene	771				
GGFHDHHI_00003	CDS	771				hypothetical protein
GGFHDHHI_00004	gene	522				
GGFHDHHI_00004	CDS	522				hypothetical protein
GGFHDHHI_00005	gene	90				
GGFHDHHI_00005	CDS	90				hypothetical protein
GGFHDHHI_00006	gene	288				
GGFHDHHI_00006	CDS	288				hypothetical protein
GGFHDHHI_00007	gene	642				
GGFHDHHI_00007	CDS	642				hypothetical protein
GGFHDHHI_00008	gene	210				
GGFHDHHI_00008	CDS	210				hypothetical protein
GGFHDHHI_00009	gene	279				
GGFHDHHI_00009	CDS	279				hypothetical protein
GGFHDHHI_00010	gene	462				
GGFHDHHI_00010	CDS	462				hypothetical protein
GGFHDHHI_00011	gene	1002	purA			
GGFHDHHI_00011	CDS	1002	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
GGFHDHHI_00012	gene	660				
GGFHDHHI_00012	CDS	660				hypothetical protein
GGFHDHHI_00013	gene	741	pyrF			
GGFHDHHI_00013	CDS	741	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
GGFHDHHI_00014	gene	423				
GGFHDHHI_00014	CDS	423				hypothetical protein
GGFHDHHI_00015	gene	639				
GGFHDHHI_00015	CDS	639		2.5.1.68	COG0020	(2Z,6E)-farnesyl diphosphate synthase
GGFHDHHI_00016	gene	1152				
GGFHDHHI_00016	CDS	1152				hypothetical protein
GGFHDHHI_00017	gene	540				
GGFHDHHI_00017	CDS	540				hypothetical protein
GGFHDHHI_00018	gene	423				
GGFHDHHI_00018	CDS	423				hypothetical protein
GGFHDHHI_00019	gene	297				
GGFHDHHI_00019	CDS	297				hypothetical protein
GGFHDHHI_00020	gene	312				
GGFHDHHI_00020	CDS	312				hypothetical protein
GGFHDHHI_00021	gene	795				
GGFHDHHI_00021	CDS	795				hypothetical protein
GGFHDHHI_00022	gene	567				
GGFHDHHI_00022	CDS	567				hypothetical protein
GGFHDHHI_00023	gene	1839	TOP6B			
GGFHDHHI_00023	CDS	1839	TOP6B	5.6.2.2		DNA topoisomerase 6 subunit B
GGFHDHHI_00024	gene	1104	TOP6A			
GGFHDHHI_00024	CDS	1104	TOP6A	5.6.2.2		DNA topoisomerase 6 subunit A
GGFHDHHI_00025	gene	471				
GGFHDHHI_00025	CDS	471				hypothetical protein
GGFHDHHI_00026	gene	1191	sasA_1			
GGFHDHHI_00026	CDS	1191	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
GGFHDHHI_00027	gene	195				
GGFHDHHI_00027	CDS	195				hypothetical protein
GGFHDHHI_00028	gene	354				
GGFHDHHI_00028	CDS	354				hypothetical protein
GGFHDHHI_00029	gene	399				
GGFHDHHI_00029	CDS	399				hypothetical protein
GGFHDHHI_00030	gene	285				
GGFHDHHI_00030	CDS	285				hypothetical protein
GGFHDHHI_00031	gene	789	mtnP			
GGFHDHHI_00031	CDS	789	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
GGFHDHHI_00032	gene	513	apt			
GGFHDHHI_00032	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
GGFHDHHI_00033	gene	2142				
GGFHDHHI_00033	CDS	2142				hypothetical protein
GGFHDHHI_00034	gene	2088				
GGFHDHHI_00034	CDS	2088				hypothetical protein
GGFHDHHI_00035	gene	435				
GGFHDHHI_00035	CDS	435				hypothetical protein
GGFHDHHI_00036	gene	630				
GGFHDHHI_00036	CDS	630				hypothetical protein
GGFHDHHI_00037	gene	597	rlmE			
GGFHDHHI_00037	CDS	597	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
GGFHDHHI_00038	gene	1137	trm1			
GGFHDHHI_00038	CDS	1137	trm1	2.1.1.215	COG1867	tRNA (guanine(26)-N(2)/guanine(27)-N(2))-dimethyltransferase
GGFHDHHI_00039	gene	624	rnhB			
GGFHDHHI_00039	CDS	624	rnhB	3.1.26.4	COG0164	Ribonuclease HII
GGFHDHHI_00040	gene	681				
GGFHDHHI_00040	CDS	681				hypothetical protein
GGFHDHHI_00041	gene	1503				
GGFHDHHI_00041	CDS	1503				hypothetical protein
GGFHDHHI_00042	gene	909	pyrD			
GGFHDHHI_00042	CDS	909	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
GGFHDHHI_00043	gene	813	pyrK			
GGFHDHHI_00043	CDS	813	pyrK			Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
GGFHDHHI_00044	gene	1731				
GGFHDHHI_00044	CDS	1731				hypothetical protein
GGFHDHHI_00045	gene	183				
GGFHDHHI_00045	CDS	183				hypothetical protein
GGFHDHHI_00046	gene	159				
GGFHDHHI_00046	CDS	159				hypothetical protein
GGFHDHHI_00047	gene	189				
GGFHDHHI_00047	CDS	189				hypothetical protein
GGFHDHHI_00048	gene	381	crcB			
GGFHDHHI_00048	CDS	381	crcB			Putative fluoride ion transporter CrcB
GGFHDHHI_00049	gene	210				
GGFHDHHI_00049	CDS	210				hypothetical protein
GGFHDHHI_00050	gene	132				
GGFHDHHI_00050	CDS	132				hypothetical protein
GGFHDHHI_00051	gene	375				
GGFHDHHI_00051	CDS	375				hypothetical protein
GGFHDHHI_00052	gene	999	recA			
GGFHDHHI_00052	CDS	999	recA			Protein RecA
GGFHDHHI_00053	gene	303				
GGFHDHHI_00053	CDS	303				hypothetical protein
GGFHDHHI_00054	gene	327				
GGFHDHHI_00054	CDS	327				hypothetical protein
GGFHDHHI_00055	gene	567				
GGFHDHHI_00055	CDS	567				hypothetical protein
GGFHDHHI_00056	gene	702	rsmA			
GGFHDHHI_00056	CDS	702	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
GGFHDHHI_00057	gene	528	prmC			
GGFHDHHI_00057	CDS	528	prmC	2.1.1.297		Release factor glutamine methyltransferase
GGFHDHHI_00058	gene	1035	hicd_1			
GGFHDHHI_00058	CDS	1035	hicd_1	1.1.1.87	COG0473	Homoisocitrate dehydrogenase
GGFHDHHI_00059	gene	747	cpdA			
GGFHDHHI_00059	CDS	747	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
GGFHDHHI_00060	gene	85				
GGFHDHHI_00060	tRNA	85				tRNA-Ser(gct)
GGFHDHHI_00061	gene	312				
GGFHDHHI_00061	CDS	312				hypothetical protein
GGFHDHHI_00062	gene	507				
GGFHDHHI_00062	CDS	507				hypothetical protein
GGFHDHHI_00063	gene	645	cheB_1			
GGFHDHHI_00063	CDS	645	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
GGFHDHHI_00064	gene	228				
GGFHDHHI_00064	CDS	228				hypothetical protein
GGFHDHHI_00065	gene	171				
GGFHDHHI_00065	CDS	171				hypothetical protein
GGFHDHHI_00066	gene	822				
GGFHDHHI_00066	CDS	822				hypothetical protein
GGFHDHHI_00067	gene	1200				
GGFHDHHI_00067	CDS	1200				hypothetical protein
GGFHDHHI_00068	gene	474				
GGFHDHHI_00068	CDS	474				hypothetical protein
GGFHDHHI_00069	gene	867				
GGFHDHHI_00069	CDS	867				hypothetical protein
GGFHDHHI_00070	gene	690				
GGFHDHHI_00070	CDS	690				hypothetical protein
GGFHDHHI_00071	gene	129				
GGFHDHHI_00071	CDS	129				hypothetical protein
GGFHDHHI_00072	gene	198				
GGFHDHHI_00072	CDS	198				hypothetical protein
GGFHDHHI_00073	gene	1086	ccr_1			
GGFHDHHI_00073	CDS	1086	ccr_1	1.3.1.85	COG0604	Crotonyl-CoA carboxylase/reductase
GGFHDHHI_00074	gene	375				
GGFHDHHI_00074	CDS	375				hypothetical protein
GGFHDHHI_00075	gene	540				
GGFHDHHI_00075	CDS	540				hypothetical protein
GGFHDHHI_00076	gene	1566				
GGFHDHHI_00076	CDS	1566				hypothetical protein
GGFHDHHI_00077	gene	828				
GGFHDHHI_00077	CDS	828				hypothetical protein
GGFHDHHI_00078	gene	573				
GGFHDHHI_00078	CDS	573				hypothetical protein
GGFHDHHI_00079	gene	498				
GGFHDHHI_00079	CDS	498				hypothetical protein
GGFHDHHI_00080	gene	390				
GGFHDHHI_00080	CDS	390				hypothetical protein
