Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosopelagicus_brevis_U25-contig10_18	TIGR00021,1.7e-61,203.6
Nitrosopelagicus_brevis_U25-contig2_62	TIGR00037,1.8e-35,117.9
Nitrosopelagicus_brevis_U25-contig12_24	TIGR00042,9.5e-49,161.6
Nitrosopelagicus_brevis_U25-contig6_12	TIGR00064,5.6e-91,300.9
Nitrosopelagicus_brevis_U25-contig16_7	TIGR00111,6.7e-57,189.6
Nitrosopelagicus_brevis_U25-contig5_4	TIGR00134,2.2e-182,603.8
Nitrosopelagicus_brevis_U25-contig27_2	TIGR00240,1.6e-51,170.3
Nitrosopelagicus_brevis_U25-contig21_13	TIGR00264,2e-30,101.7
Nitrosopelagicus_brevis_U25-contig2_27	TIGR00279,4.9e-49,162.6
Nitrosopelagicus_brevis_U25-contig7_4	TIGR00283,2.5e-39,130.4
Nitrosopelagicus_brevis_U25-contig2_50	TIGR00291,8.7e-62,204.8
Nitrosopelagicus_brevis_U25-contig6_13	TIGR00293,4.3e-24,81.4
Nitrosopelagicus_brevis_U25-contig2_67	TIGR00307,1.2e-26,89.6
Nitrosopelagicus_brevis_U25-contig4_22	TIGR00308,1.1e-82,274.7
Nitrosopelagicus_brevis_U25-contig10_32	TIGR00323,1.4e-48,161.4
Nitrosopelagicus_brevis_U25-contig24_11	TIGR00324,4.9e-29,97.7
Nitrosopelagicus_brevis_U25-contig2_26	TIGR00324,7.2e-19,64.6
Nitrosopelagicus_brevis_U25-contig5_54	TIGR00335,1.7e-39,132.4
Nitrosopelagicus_brevis_U25-contig6_46	TIGR00336,4.2e-40,133.6
Nitrosopelagicus_brevis_U25-contig1_213	TIGR00337,3.2e-228,754.8
Nitrosopelagicus_brevis_U25-contig6_29	TIGR03683,1.2e-255,847.2
Nitrosopelagicus_brevis_U25-contig21_8	TIGR00373,2.2e-30,101.6
Nitrosopelagicus_brevis_U25-contig5_57	TIGR00389,2.4e-122,405.6
Nitrosopelagicus_brevis_U25-contig3_68	TIGR00392,3e-206,683.6
Nitrosopelagicus_brevis_U25-contig9_45	TIGR00398,4.3e-158,523.5
Nitrosopelagicus_brevis_U25-contig6_21	TIGR00405,4.8e-37,123.4
Nitrosopelagicus_brevis_U25-contig7_39	TIGR00408,2.5e-181,599.9
Nitrosopelagicus_brevis_U25-contig2_158	TIGR00414,9.8e-162,534.9
Nitrosopelagicus_brevis_U25-contig2_127	TIGR00422,2e-198,657.6
Nitrosopelagicus_brevis_U25-contig6_1	TIGR00425,1.6e-111,368.7
Nitrosopelagicus_brevis_U25-contig10_3	TIGR00432,1.4e-125,416.4
Nitrosopelagicus_brevis_U25-contig9_41	TIGR00435,6.6e-154,509.6
Nitrosopelagicus_brevis_U25-contig10_31	TIGR00442,6.2e-99,327.9
Nitrosopelagicus_brevis_U25-contig31_3	TIGR00448,1.9e-54,180.3
Nitrosopelagicus_brevis_U25-contig24_2	TIGR00456,6.8e-113,374.2
Nitrosopelagicus_brevis_U25-contig30_3	TIGR00458,1.9e-136,451.7
Nitrosopelagicus_brevis_U25-contig12_14	TIGR00463,6.1e-131,433.9
Nitrosopelagicus_brevis_U25-contig2_137	TIGR00468,3.8e-103,341.4
Nitrosopelagicus_brevis_U25-contig2_136	TIGR00471,1.3e-136,452.5
Nitrosopelagicus_brevis_U25-contig1_20	TIGR00490,1.9e-247,819.2
Nitrosopelagicus_brevis_U25-contig10_28	TIGR00491,1.1e-199,661.0
Nitrosopelagicus_brevis_U25-contig3_3	TIGR00501,1.1e-87,290.6
Nitrosopelagicus_brevis_U25-contig8_39	TIGR00521,6.7e-115,380.5
Nitrosopelagicus_brevis_U25-contig4_55	TIGR00522,3.5e-59,196.5
Nitrosopelagicus_brevis_U25-contig12_3	TIGR00549,8.9e-65,215.2
Nitrosopelagicus_brevis_U25-contig3_79	TIGR00631,7e-291,962.5
Nitrosopelagicus_brevis_U25-contig6_11	TIGR00658,1.7e-119,394.8
Nitrosopelagicus_brevis_U25-contig27_1	TIGR00670,1.5e-108,358.8
Nitrosopelagicus_brevis_U25-contig4_23	TIGR00729,4.9e-59,196.1
Nitrosopelagicus_brevis_U25-contig2_124	TIGR00928,2e-122,405.3
Nitrosopelagicus_brevis_U25-contig9_44	TIGR00936,2.6e-164,543.2
Nitrosopelagicus_brevis_U25-contig6_6	TIGR00967,9.2e-82,271.4
Nitrosopelagicus_brevis_U25-contig6_35	TIGR00982,7.8e-65,213.1
Nitrosopelagicus_brevis_U25-contig1_135	TIGR01008,8.8e-61,201.3
Nitrosopelagicus_brevis_U25-contig12_2	TIGR01012,1.1e-63,210.6
Nitrosopelagicus_brevis_U25-contig22_7	TIGR01018,1.2e-48,161.4
Nitrosopelagicus_brevis_U25-contig6_9	TIGR01020,1e-73,243.5
Nitrosopelagicus_brevis_U25-contig1_137	TIGR01025,2e-48,159.9
Nitrosopelagicus_brevis_U25-contig6_34	TIGR01028,2.2e-61,203.0
Nitrosopelagicus_brevis_U25-contig1_136	TIGR01038,2.8e-50,166.4
