Gene Id	Top hits (Family id,e-value,bitscore)
HM45_Bin1-contig205_4	TIGR00021,1.1e-62,209.2
HM45_Bin1-contig74_2	TIGR00037,6.8e-38,127.4
HM45_Bin1-contig260_4	TIGR00037,2.9e-36,122.1
HM45_Bin1-contig124_2	TIGR00037,2e-35,119.4
HM45_Bin1-contig263_4	TIGR00037,3.6e-35,118.6
HM45_Bin1-contig51_3	TIGR00042,6.5e-49,163.8
HM45_Bin1-contig29_6	TIGR00111,2.5e-57,192.7
HM45_Bin1-contig53_5	TIGR00111,6.1e-49,165.1
HM45_Bin1-contig563_2	TIGR00134,3.2e-198,657.8
HM45_Bin1-contig462_3	TIGR00134,6.6e-164,544.4
HM45_Bin1-contig353_2	TIGR00134,2.2e-96,321.4
HM45_Bin1-contig285_3	TIGR00134,7.3e-82,273.4
HM45_Bin1-contig149_1	TIGR00194,1e-120,402.1
HM45_Bin1-contig1067_2	TIGR00240,1.1e-51,172.5
HM45_Bin1-contig588_2	TIGR00264,5.5e-28,95.5
HM45_Bin1-contig772_1	TIGR00283,1.3e-17,62.0
HM45_Bin1-contig976_4	TIGR00291,5.7e-69,230.0
HM45_Bin1-contig978_1	TIGR00293,9.4e-22,75.4
HM45_Bin1-contig553_3	TIGR00307,3.1e-27,93.2
HM45_Bin1-contig194_2	TIGR00308,3.3e-77,258.3
HM45_Bin1-contig1040_2	TIGR00323,3e-56,188.1
HM45_Bin1-contig407_3	TIGR00324,1.8e-30,104.1
HM45_Bin1-contig771_1	TIGR00324,6.7e-30,102.2
HM45_Bin1-contig849_4	TIGR00324,4e-25,86.6
HM45_Bin1-contig595_3	TIGR00324,2.1e-21,74.5
HM45_Bin1-contig396_1	TIGR00335,1.4e-36,124.5
HM45_Bin1-contig581_2	TIGR00336,4.9e-39,131.8
HM45_Bin1-contig126_9	TIGR00336,4.1e-28,96.2
HM45_Bin1-contig542_1	TIGR00337,1.9e-122,407.5
HM45_Bin1-contig843_1	TIGR03683,2.7e-251,834.5
HM45_Bin1-contig105_3	TIGR00373,1.6e-31,107.0
HM45_Bin1-contig866_3	TIGR00373,3.6e-31,105.8
HM45_Bin1-contig252_2	TIGR00389,6.4e-157,521.4
HM45_Bin1-contig180_2	TIGR00392,2.7e-202,672.2
HM45_Bin1-contig198_1	TIGR00392,2.4e-200,665.8
HM45_Bin1-contig994_1	TIGR00398,7.3e-106,352.9
HM45_Bin1-contig560_8	TIGR00405,1.7e-35,120.1
HM45_Bin1-contig543_5	TIGR00414,1.3e-165,549.4
