locus_tag	ftype	length_bp	gene	EC_number	COG	product
KOJMHIFG_00001	gene	74				
KOJMHIFG_00001	tRNA	74				tRNA-Gly(gcc)
KOJMHIFG_00002	gene	276				
KOJMHIFG_00002	CDS	276				hypothetical protein
KOJMHIFG_00003	gene	501				
KOJMHIFG_00003	CDS	501				hypothetical protein
KOJMHIFG_00004	gene	570				
KOJMHIFG_00004	CDS	570				hypothetical protein
KOJMHIFG_00005	gene	165				
KOJMHIFG_00005	CDS	165				hypothetical protein
KOJMHIFG_00006	gene	429				
KOJMHIFG_00006	CDS	429				hypothetical protein
KOJMHIFG_00007	gene	612				
KOJMHIFG_00007	CDS	612				hypothetical protein
KOJMHIFG_00008	gene	1326	nhaP2_1			
KOJMHIFG_00008	CDS	1326	nhaP2_1		COG3263	K(+)/H(+) antiporter NhaP2
KOJMHIFG_00009	gene	132				
KOJMHIFG_00009	CDS	132				hypothetical protein
KOJMHIFG_00010	gene	77				
KOJMHIFG_00010	tRNA	77				tRNA-Glu(ctc)
KOJMHIFG_00011	gene	888				
KOJMHIFG_00011	CDS	888				hypothetical protein
KOJMHIFG_00012	gene	171				
KOJMHIFG_00012	CDS	171				hypothetical protein
KOJMHIFG_00013	gene	1314				
KOJMHIFG_00013	CDS	1314				hypothetical protein
KOJMHIFG_00014	gene	684				
KOJMHIFG_00014	CDS	684				hypothetical protein
KOJMHIFG_00015	gene	549				
KOJMHIFG_00015	CDS	549				hypothetical protein
KOJMHIFG_00016	gene	648				
KOJMHIFG_00016	CDS	648				hypothetical protein
KOJMHIFG_00017	gene	318				
KOJMHIFG_00017	CDS	318				hypothetical protein
KOJMHIFG_00018	gene	447				
KOJMHIFG_00018	CDS	447				hypothetical protein
KOJMHIFG_00019	gene	1002	drrA			
KOJMHIFG_00019	CDS	1002	drrA	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
KOJMHIFG_00020	gene	780				
KOJMHIFG_00020	CDS	780				hypothetical protein
KOJMHIFG_00021	gene	5625				
KOJMHIFG_00021	CDS	5625				hypothetical protein
KOJMHIFG_00022	gene	1278	hemL_1			
