locus_tag	ftype	length_bp	gene	EC_number	COG	product
BGDFGHOM_00001	gene	186				
BGDFGHOM_00001	CDS	186				hypothetical protein
BGDFGHOM_00002	gene	837				
BGDFGHOM_00002	CDS	837				hypothetical protein
BGDFGHOM_00003	gene	882				
BGDFGHOM_00003	CDS	882				hypothetical protein
BGDFGHOM_00004	gene	1059				
BGDFGHOM_00004	CDS	1059				hypothetical protein
BGDFGHOM_00005	gene	444				
BGDFGHOM_00005	CDS	444				hypothetical protein
BGDFGHOM_00006	gene	645				
BGDFGHOM_00006	CDS	645				hypothetical protein
BGDFGHOM_00007	gene	561				
BGDFGHOM_00007	CDS	561				hypothetical protein
BGDFGHOM_00008	gene	360				
BGDFGHOM_00008	CDS	360				hypothetical protein
BGDFGHOM_00009	gene	1524				
BGDFGHOM_00009	CDS	1524				hypothetical protein
BGDFGHOM_00010	gene	168				
BGDFGHOM_00010	CDS	168				hypothetical protein
BGDFGHOM_00011	gene	888				
BGDFGHOM_00011	CDS	888				hypothetical protein
BGDFGHOM_00012	gene	76				
BGDFGHOM_00012	tRNA	76				tRNA-Glu(ctc)
BGDFGHOM_00013	gene	684				
BGDFGHOM_00013	CDS	684				hypothetical protein
BGDFGHOM_00014	gene	573				
BGDFGHOM_00014	CDS	573				hypothetical protein
BGDFGHOM_00015	gene	516				
BGDFGHOM_00015	CDS	516				hypothetical protein
BGDFGHOM_00016	gene	267				
BGDFGHOM_00016	CDS	267				hypothetical protein
BGDFGHOM_00017	gene	74				
BGDFGHOM_00017	tRNA	74				tRNA-Gly(gcc)
BGDFGHOM_00018	gene	432				
BGDFGHOM_00018	CDS	432				hypothetical protein
BGDFGHOM_00019	gene	1323	magA			
BGDFGHOM_00019	CDS	1323	magA		COG0475	Iron transporter MagA
BGDFGHOM_00020	gene	108				
BGDFGHOM_00020	CDS	108				hypothetical protein
BGDFGHOM_00021	gene	639				
BGDFGHOM_00021	CDS	639				hypothetical protein
BGDFGHOM_00022	gene	2031				
BGDFGHOM_00022	CDS	2031				hypothetical protein
BGDFGHOM_00023	gene	954				
BGDFGHOM_00023	CDS	954				hypothetical protein
BGDFGHOM_00024	gene	816	nadK_1			
BGDFGHOM_00024	CDS	816	nadK_1	2.7.1.23		NAD kinase
BGDFGHOM_00025	gene	480				
BGDFGHOM_00025	CDS	480				hypothetical protein
BGDFGHOM_00026	gene	687				
BGDFGHOM_00026	CDS	687				hypothetical protein
BGDFGHOM_00027	gene	378				
BGDFGHOM_00027	CDS	378				hypothetical protein
BGDFGHOM_00028	gene	246				
BGDFGHOM_00028	CDS	246				hypothetical protein
BGDFGHOM_00029	gene	198				
BGDFGHOM_00029	CDS	198				hypothetical protein
BGDFGHOM_00030	gene	819	rph_1			
BGDFGHOM_00030	CDS	819	rph_1	2.7.7.56		Ribonuclease PH
BGDFGHOM_00031	gene	738	rph_2			
BGDFGHOM_00031	CDS	738	rph_2	2.7.7.56	COG0689	Ribonuclease PH
BGDFGHOM_00032	gene	687				
BGDFGHOM_00032	CDS	687				hypothetical protein
BGDFGHOM_00033	gene	669				
BGDFGHOM_00033	CDS	669				hypothetical protein
BGDFGHOM_00034	gene	690				
BGDFGHOM_00034	CDS	690				hypothetical protein
BGDFGHOM_00035	gene	630				
BGDFGHOM_00035	CDS	630				hypothetical protein
BGDFGHOM_00036	gene	321				
BGDFGHOM_00036	CDS	321				hypothetical protein
BGDFGHOM_00037	gene	591				
BGDFGHOM_00037	CDS	591				hypothetical protein
BGDFGHOM_00038	gene	465	rpsI			
BGDFGHOM_00038	CDS	465	rpsI		COG0103	30S ribosomal protein S9
BGDFGHOM_00039	gene	390				
BGDFGHOM_00039	CDS	390				hypothetical protein
BGDFGHOM_00040	gene	483	DmdB			
BGDFGHOM_00040	CDS	483	DmdB	4.2.1.85		2,3-dimethylmalate dehydratase small subunit
BGDFGHOM_00041	gene	1272	dmdA			
BGDFGHOM_00041	CDS	1272	dmdA	4.2.1.85		2,3-dimethylmalate dehydratase large subunit
BGDFGHOM_00042	gene	762	fbiB_1			
BGDFGHOM_00042	CDS	762	fbiB_1	6.3.2.34		Bifunctional F420 biosynthesis protein FbiB
BGDFGHOM_00043	gene	594				
BGDFGHOM_00043	CDS	594				hypothetical protein
BGDFGHOM_00044	gene	555				
BGDFGHOM_00044	CDS	555				hypothetical protein
BGDFGHOM_00045	gene	435				
BGDFGHOM_00045	CDS	435				hypothetical protein
BGDFGHOM_00046	gene	966				
BGDFGHOM_00046	CDS	966				hypothetical protein
BGDFGHOM_00047	gene	1908				
BGDFGHOM_00047	CDS	1908				hypothetical protein
BGDFGHOM_00048	gene	159				
BGDFGHOM_00048	CDS	159				hypothetical protein
BGDFGHOM_00049	gene	261				
BGDFGHOM_00049	CDS	261				hypothetical protein
BGDFGHOM_00050	gene	1293	lhgD			
BGDFGHOM_00050	CDS	1293	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
BGDFGHOM_00051	gene	420				
BGDFGHOM_00051	CDS	420				hypothetical protein
BGDFGHOM_00052	gene	1146				
BGDFGHOM_00052	CDS	1146				IS1595 family transposase ISCco3
BGDFGHOM_00053	gene	888				
BGDFGHOM_00053	CDS	888				hypothetical protein
BGDFGHOM_00054	gene	453				
BGDFGHOM_00054	CDS	453				hypothetical protein
BGDFGHOM_00055	gene	1014	truB			
BGDFGHOM_00055	CDS	1014	truB	5.4.99.25		tRNA pseudouridine synthase B
BGDFGHOM_00056	gene	561	cmk			
BGDFGHOM_00056	CDS	561	cmk	2.7.4.25		Cytidylate kinase
BGDFGHOM_00057	gene	642				
BGDFGHOM_00057	CDS	642				hypothetical protein
BGDFGHOM_00058	gene	591				
BGDFGHOM_00058	CDS	591				hypothetical protein
BGDFGHOM_00059	gene	1434	secY			
BGDFGHOM_00059	CDS	1434	secY			Protein translocase subunit SecY
BGDFGHOM_00060	gene	492				
BGDFGHOM_00060	CDS	492				hypothetical protein
BGDFGHOM_00061	gene	468				
BGDFGHOM_00061	CDS	468				hypothetical protein
BGDFGHOM_00062	gene	696				
BGDFGHOM_00062	CDS	696				hypothetical protein
BGDFGHOM_00063	gene	423				
BGDFGHOM_00063	CDS	423				hypothetical protein
BGDFGHOM_00064	gene	912	argF			
BGDFGHOM_00064	CDS	912	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
BGDFGHOM_00065	gene	1515	ftsY			
BGDFGHOM_00065	CDS	1515	ftsY			Signal recognition particle receptor FtsY
BGDFGHOM_00066	gene	420	pfdA			
BGDFGHOM_00066	CDS	420	pfdA			Prefoldin subunit alpha
BGDFGHOM_00067	gene	621	sodA			
BGDFGHOM_00067	CDS	621	sodA	1.15.1.1		Superoxide dismutase [Mn]
BGDFGHOM_00068	gene	2070				
BGDFGHOM_00068	CDS	2070				hypothetical protein
BGDFGHOM_00069	gene	1596	pckA			
BGDFGHOM_00069	CDS	1596	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
BGDFGHOM_00070	gene	405				
BGDFGHOM_00070	CDS	405				hypothetical protein
BGDFGHOM_00071	gene	462				
BGDFGHOM_00071	CDS	462				hypothetical protein
BGDFGHOM_00072	gene	294	ogt			
BGDFGHOM_00072	CDS	294	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
BGDFGHOM_00073	gene	777				
BGDFGHOM_00073	CDS	777				hypothetical protein
BGDFGHOM_00074	gene	180				
BGDFGHOM_00074	CDS	180				hypothetical protein
BGDFGHOM_00075	gene	603				
BGDFGHOM_00075	CDS	603				hypothetical protein
BGDFGHOM_00076	gene	483	rplK			
BGDFGHOM_00076	CDS	483	rplK		COG0080	50S ribosomal protein L11
BGDFGHOM_00077	gene	462	lrp_1			
BGDFGHOM_00077	CDS	462	lrp_1		COG1522	Leucine-responsive regulatory protein
BGDFGHOM_00078	gene	654	rplA			
BGDFGHOM_00078	CDS	654	rplA		COG0081	50S ribosomal protein L1
BGDFGHOM_00079	gene	975				
BGDFGHOM_00079	CDS	975				hypothetical protein
BGDFGHOM_00080	gene	108				
BGDFGHOM_00080	CDS	108				hypothetical protein
BGDFGHOM_00081	gene	873				
BGDFGHOM_00081	CDS	873				hypothetical protein
BGDFGHOM_00082	gene	666	tal			
BGDFGHOM_00082	CDS	666	tal	2.2.1.2	COG0176	Transaldolase
BGDFGHOM_00083	gene	975	aptB			
BGDFGHOM_00083	CDS	975	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
BGDFGHOM_00084	gene	1668	dxs			
BGDFGHOM_00084	CDS	1668	dxs	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
BGDFGHOM_00085	gene	384				
BGDFGHOM_00085	CDS	384				hypothetical protein
BGDFGHOM_00086	gene	1230				
BGDFGHOM_00086	CDS	1230				hypothetical protein
BGDFGHOM_00087	gene	612				
BGDFGHOM_00087	CDS	612				hypothetical protein
BGDFGHOM_00088	gene	112				
BGDFGHOM_00088	rRNA	112				5S ribosomal RNA
BGDFGHOM_00089	gene	1776	btuD			
BGDFGHOM_00089	CDS	1776	btuD	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BGDFGHOM_00090	gene	837				
BGDFGHOM_00090	CDS	837				hypothetical protein
BGDFGHOM_00091	gene	225				
BGDFGHOM_00091	CDS	225				hypothetical protein
BGDFGHOM_00092	gene	480	ypeA			
BGDFGHOM_00092	CDS	480	ypeA	2.3.1.-		Acetyltransferase YpeA
BGDFGHOM_00093	gene	1086				
BGDFGHOM_00093	CDS	1086				hypothetical protein
BGDFGHOM_00094	gene	1083				
BGDFGHOM_00094	CDS	1083				hypothetical protein
BGDFGHOM_00095	gene	609	pyrE			
BGDFGHOM_00095	CDS	609	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
BGDFGHOM_00096	gene	564				
BGDFGHOM_00096	CDS	564				hypothetical protein
BGDFGHOM_00097	gene	74				
BGDFGHOM_00097	tRNA	74				tRNA-Met(cat)
BGDFGHOM_00098	gene	636				
BGDFGHOM_00098	CDS	636		1.-.-.-	COG5424	putative oxidoreductase CT_610
BGDFGHOM_00099	gene	76				
BGDFGHOM_00099	tRNA	76				tRNA-Glu(ttc)
BGDFGHOM_00100	gene	861				
BGDFGHOM_00100	CDS	861				hypothetical protein
BGDFGHOM_00101	gene	1305	nuoN			
BGDFGHOM_00101	CDS	1305	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
BGDFGHOM_00102	gene	225				
BGDFGHOM_00102	CDS	225				hypothetical protein
BGDFGHOM_00103	gene	2073	ndhB			
BGDFGHOM_00103	CDS	2073	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
BGDFGHOM_00104	gene	1551	mrpA			
BGDFGHOM_00104	CDS	1551	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
BGDFGHOM_00105	gene	306	nuoK			
BGDFGHOM_00105	CDS	306	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
BGDFGHOM_00106	gene	516				
BGDFGHOM_00106	CDS	516				hypothetical protein
BGDFGHOM_00107	gene	498	nuoI			
BGDFGHOM_00107	CDS	498	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
BGDFGHOM_00108	gene	1311	ndhA			
BGDFGHOM_00108	CDS	1311	ndhA	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic
BGDFGHOM_00109	gene	1155	nqo4			
BGDFGHOM_00109	CDS	1155	nqo4	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit 4
BGDFGHOM_00110	gene	543	nuoC			
BGDFGHOM_00110	CDS	543	nuoC	7.1.1.-	COG0852	NADH-quinone oxidoreductase subunit C
BGDFGHOM_00111	gene	558	ndhK			
BGDFGHOM_00111	CDS	558	ndhK	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
BGDFGHOM_00112	gene	375	ndhC			
BGDFGHOM_00112	CDS	375	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
BGDFGHOM_00113	gene	474	bcp_1			
BGDFGHOM_00113	CDS	474	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
BGDFGHOM_00114	gene	513				
BGDFGHOM_00114	CDS	513				hypothetical protein
BGDFGHOM_00115	gene	1491	cfiB			
BGDFGHOM_00115	CDS	1491	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
BGDFGHOM_00116	gene	1548	pccB			
BGDFGHOM_00116	CDS	1548	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
BGDFGHOM_00117	gene	321				
BGDFGHOM_00117	CDS	321				hypothetical protein
BGDFGHOM_00118	gene	1161	ruvB			
BGDFGHOM_00118	CDS	1161	ruvB	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
BGDFGHOM_00119	gene	1116				
BGDFGHOM_00119	CDS	1116				hypothetical protein
BGDFGHOM_00120	gene	801	cysQ			
BGDFGHOM_00120	CDS	801	cysQ	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
BGDFGHOM_00121	gene	78				
BGDFGHOM_00121	tRNA	78				tRNA-Asp(gtc)
BGDFGHOM_00122	gene	77				
BGDFGHOM_00122	tRNA	77				tRNA-Lys(ttt)
BGDFGHOM_00123	gene	171				
BGDFGHOM_00123	CDS	171				hypothetical protein
BGDFGHOM_00124	gene	918	ilvE_1			
BGDFGHOM_00124	CDS	918	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
BGDFGHOM_00125	gene	1416				
BGDFGHOM_00125	CDS	1416				hypothetical protein
BGDFGHOM_00126	gene	77				
BGDFGHOM_00126	tRNA	77				tRNA-Val(tac)
BGDFGHOM_00127	gene	492	cysC			
BGDFGHOM_00127	CDS	492	cysC	2.7.1.25	COG0529	putative adenylyl-sulfate kinase
BGDFGHOM_00128	gene	882				
BGDFGHOM_00128	CDS	882				hypothetical protein
BGDFGHOM_00129	gene	453				
BGDFGHOM_00129	CDS	453				hypothetical protein
BGDFGHOM_00130	gene	357				
BGDFGHOM_00130	CDS	357				hypothetical protein
BGDFGHOM_00131	gene	2103	FCS1			
BGDFGHOM_00131	CDS	2103	FCS1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
BGDFGHOM_00132	gene	1527	abfD			
BGDFGHOM_00132	CDS	1527	abfD	4.2.1.120		4-hydroxybutyryl-CoA dehydratase/vinylacetyl-CoA-Delta-isomerase
BGDFGHOM_00133	gene	726				
BGDFGHOM_00133	CDS	726				hypothetical protein
BGDFGHOM_00134	gene	771				
BGDFGHOM_00134	CDS	771				hypothetical protein
BGDFGHOM_00135	gene	333	trxA			
BGDFGHOM_00135	CDS	333	trxA			Thioredoxin 1
BGDFGHOM_00136	gene	531				
BGDFGHOM_00136	CDS	531				hypothetical protein
BGDFGHOM_00137	gene	360				
BGDFGHOM_00137	CDS	360				hypothetical protein
BGDFGHOM_00138	gene	75				
BGDFGHOM_00138	tRNA	75				tRNA-Ala(cgc)
BGDFGHOM_00139	gene	1398				
BGDFGHOM_00139	CDS	1398		3.5.2.-		D-hydantoinase
BGDFGHOM_00140	gene	675	rpiA			
BGDFGHOM_00140	CDS	675	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
BGDFGHOM_00141	gene	861				
BGDFGHOM_00141	CDS	861				hypothetical protein
BGDFGHOM_00142	gene	189				
BGDFGHOM_00142	CDS	189				hypothetical protein
BGDFGHOM_00143	gene	231				
BGDFGHOM_00143	CDS	231				hypothetical protein
BGDFGHOM_00144	gene	807	mftE			
BGDFGHOM_00144	CDS	807	mftE	3.5.-.-	COG1402	Putative mycofactocin system creatinine amidohydrolase family protein MftE
BGDFGHOM_00145	gene	843	purU			
BGDFGHOM_00145	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
BGDFGHOM_00146	gene	88				
BGDFGHOM_00146	tRNA	88				tRNA-Leu(tag)
BGDFGHOM_00147	gene	1359	algC_1			
BGDFGHOM_00147	CDS	1359	algC_1	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
BGDFGHOM_00148	gene	1839				
BGDFGHOM_00148	CDS	1839				hypothetical protein
BGDFGHOM_00149	gene	441				
BGDFGHOM_00149	CDS	441				hypothetical protein
BGDFGHOM_00150	gene	2316	valS_1			
BGDFGHOM_00150	CDS	2316	valS_1	6.1.1.9		Valine--tRNA ligase
BGDFGHOM_00151	gene	282	phhB			
BGDFGHOM_00151	CDS	282	phhB	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
BGDFGHOM_00152	gene	756	asnB_1			
BGDFGHOM_00152	CDS	756	asnB_1	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
BGDFGHOM_00153	gene	1362	purB			
BGDFGHOM_00153	CDS	1362	purB	4.3.2.2		Adenylosuccinate lyase
BGDFGHOM_00154	gene	648	fabG			
BGDFGHOM_00154	CDS	648	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
BGDFGHOM_00155	gene	1449	rtcB			
BGDFGHOM_00155	CDS	1449	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
BGDFGHOM_00156	gene	414				
BGDFGHOM_00156	CDS	414				hypothetical protein
BGDFGHOM_00157	gene	312				
BGDFGHOM_00157	CDS	312				hypothetical protein
BGDFGHOM_00158	gene	564				
BGDFGHOM_00158	CDS	564				hypothetical protein
BGDFGHOM_00159	gene	594				
BGDFGHOM_00159	CDS	594				hypothetical protein
BGDFGHOM_00160	gene	264				
BGDFGHOM_00160	CDS	264				hypothetical protein
BGDFGHOM_00161	gene	240				
BGDFGHOM_00161	CDS	240				hypothetical protein
BGDFGHOM_00162	gene	906	thiL			
BGDFGHOM_00162	CDS	906	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
BGDFGHOM_00163	gene	1299	algC_2			
BGDFGHOM_00163	CDS	1299	algC_2	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
BGDFGHOM_00164	gene	74				
BGDFGHOM_00164	tRNA	74				tRNA-Thr(cgt)
BGDFGHOM_00165	gene	174				
BGDFGHOM_00165	CDS	174				hypothetical protein
BGDFGHOM_00166	gene	207				
BGDFGHOM_00166	CDS	207				hypothetical protein
BGDFGHOM_00167	gene	282				
BGDFGHOM_00167	CDS	282				hypothetical protein
BGDFGHOM_00168	gene	588				
BGDFGHOM_00168	CDS	588				hypothetical protein
BGDFGHOM_00169	gene	201				
BGDFGHOM_00169	CDS	201				hypothetical protein
BGDFGHOM_00170	gene	1755				
BGDFGHOM_00170	CDS	1755				hypothetical protein
BGDFGHOM_00171	gene	75				
BGDFGHOM_00171	tRNA	75				tRNA-Cys(gca)
BGDFGHOM_00172	gene	222				
BGDFGHOM_00172	CDS	222				hypothetical protein
BGDFGHOM_00173	gene	756	dtd3			
BGDFGHOM_00173	CDS	756	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
BGDFGHOM_00174	gene	432				
BGDFGHOM_00174	CDS	432				hypothetical protein
BGDFGHOM_00175	gene	777				
BGDFGHOM_00175	CDS	777				hypothetical protein
BGDFGHOM_00176	gene	519				
BGDFGHOM_00176	CDS	519				hypothetical protein
BGDFGHOM_00177	gene	423				
BGDFGHOM_00177	CDS	423		2.7.7.87	COG0009	Putative threonylcarbamoyl-AMP synthase
BGDFGHOM_00178	gene	180	ywlC			
BGDFGHOM_00178	CDS	180	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
BGDFGHOM_00179	gene	288				
BGDFGHOM_00179	CDS	288				hypothetical protein
BGDFGHOM_00180	gene	639				
BGDFGHOM_00180	CDS	639				hypothetical protein
BGDFGHOM_00181	gene	210				
BGDFGHOM_00181	CDS	210				hypothetical protein
BGDFGHOM_00182	gene	279				
BGDFGHOM_00182	CDS	279				hypothetical protein
BGDFGHOM_00183	gene	471				
BGDFGHOM_00183	CDS	471				hypothetical protein
BGDFGHOM_00184	gene	1005	purA			
BGDFGHOM_00184	CDS	1005	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
BGDFGHOM_00185	gene	666				
BGDFGHOM_00185	CDS	666				hypothetical protein
BGDFGHOM_00186	gene	741	pyrF			
BGDFGHOM_00186	CDS	741	pyrF			Orotidine 5'-phosphate decarboxylase
BGDFGHOM_00187	gene	420				
BGDFGHOM_00187	CDS	420				hypothetical protein
BGDFGHOM_00188	gene	762				
BGDFGHOM_00188	CDS	762		2.5.1.68	COG0020	(2Z,6E)-farnesyl diphosphate synthase
BGDFGHOM_00189	gene	1140				
BGDFGHOM_00189	CDS	1140				hypothetical protein
BGDFGHOM_00190	gene	501				
BGDFGHOM_00190	CDS	501				hypothetical protein
BGDFGHOM_00191	gene	153				
BGDFGHOM_00191	CDS	153				hypothetical protein
BGDFGHOM_00192	gene	423				
BGDFGHOM_00192	CDS	423				hypothetical protein
BGDFGHOM_00193	gene	294				
BGDFGHOM_00193	CDS	294				hypothetical protein
BGDFGHOM_00194	gene	312				
BGDFGHOM_00194	CDS	312				hypothetical protein
BGDFGHOM_00195	gene	570				
BGDFGHOM_00195	CDS	570				hypothetical protein
BGDFGHOM_00196	gene	1842	TOP6B			
BGDFGHOM_00196	CDS	1842	TOP6B	5.6.2.2		DNA topoisomerase 6 subunit B
BGDFGHOM_00197	gene	1068	TOP6A			
BGDFGHOM_00197	CDS	1068	TOP6A	5.6.2.2		DNA topoisomerase 6 subunit A
BGDFGHOM_00198	gene	1056	rlmN			
BGDFGHOM_00198	CDS	1056	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
BGDFGHOM_00199	gene	462				
BGDFGHOM_00199	CDS	462				hypothetical protein
BGDFGHOM_00200	gene	369				
BGDFGHOM_00200	CDS	369				hypothetical protein
BGDFGHOM_00201	gene	432				
BGDFGHOM_00201	CDS	432				hypothetical protein
BGDFGHOM_00202	gene	243				
BGDFGHOM_00202	CDS	243				hypothetical protein
BGDFGHOM_00203	gene	807	mtnP			
BGDFGHOM_00203	CDS	807	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
BGDFGHOM_00204	gene	513	apt			
BGDFGHOM_00204	CDS	513	apt	2.4.2.7		Adenine phosphoribosyltransferase
BGDFGHOM_00205	gene	2145				
BGDFGHOM_00205	CDS	2145				hypothetical protein
BGDFGHOM_00206	gene	2079				
BGDFGHOM_00206	CDS	2079				hypothetical protein
BGDFGHOM_00207	gene	348				
BGDFGHOM_00207	CDS	348				hypothetical protein
BGDFGHOM_00208	gene	594	rlmE			
BGDFGHOM_00208	CDS	594	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
BGDFGHOM_00209	gene	993	drrA			
