locus_tag	ftype	length_bp	gene	EC_number	COG	product
JNCGLAOM_00001	gene	171				
JNCGLAOM_00001	CDS	171				hypothetical protein
JNCGLAOM_00002	gene	222				
JNCGLAOM_00002	CDS	222				hypothetical protein
JNCGLAOM_00003	gene	930	pyrB			
JNCGLAOM_00003	CDS	930	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
JNCGLAOM_00004	gene	495	pyrI			
JNCGLAOM_00004	CDS	495	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
JNCGLAOM_00005	gene	1554				
JNCGLAOM_00005	CDS	1554				hypothetical protein
JNCGLAOM_00006	gene	507				
JNCGLAOM_00006	CDS	507				hypothetical protein
JNCGLAOM_00007	gene	1713	frdA			
JNCGLAOM_00007	CDS	1713	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
JNCGLAOM_00008	gene	816				
JNCGLAOM_00008	CDS	816				hypothetical protein
JNCGLAOM_00009	gene	285	phhB			
JNCGLAOM_00009	CDS	285	phhB	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
JNCGLAOM_00010	gene	210				
JNCGLAOM_00010	CDS	210				hypothetical protein
JNCGLAOM_00011	gene	243				
JNCGLAOM_00011	CDS	243				hypothetical protein
JNCGLAOM_00012	gene	279				
JNCGLAOM_00012	CDS	279				hypothetical protein
JNCGLAOM_00013	gene	1026				
JNCGLAOM_00013	CDS	1026				hypothetical protein
JNCGLAOM_00014	gene	525				
JNCGLAOM_00014	CDS	525				hypothetical protein
JNCGLAOM_00015	gene	741				
JNCGLAOM_00015	CDS	741				hypothetical protein
JNCGLAOM_00016	gene	1050				
JNCGLAOM_00016	CDS	1050				hypothetical protein
JNCGLAOM_00017	gene	477				
JNCGLAOM_00017	CDS	477				hypothetical protein
JNCGLAOM_00018	gene	684				
JNCGLAOM_00018	CDS	684				hypothetical protein
JNCGLAOM_00019	gene	336	eno			
JNCGLAOM_00019	CDS	336	eno	4.2.1.11	COG0148	Enolase
JNCGLAOM_00020	gene	624				
JNCGLAOM_00020	CDS	624				hypothetical protein
JNCGLAOM_00021	gene	480				
JNCGLAOM_00021	CDS	480				hypothetical protein
JNCGLAOM_00022	gene	951				
JNCGLAOM_00022	CDS	951				hypothetical protein
JNCGLAOM_00023	gene	774				
JNCGLAOM_00023	CDS	774				hypothetical protein
JNCGLAOM_00024	gene	972				
JNCGLAOM_00024	CDS	972				hypothetical protein
JNCGLAOM_00025	gene	351				
JNCGLAOM_00025	CDS	351				hypothetical protein
JNCGLAOM_00026	gene	753				
JNCGLAOM_00026	CDS	753				hypothetical protein
JNCGLAOM_00027	gene	399	ureA			
JNCGLAOM_00027	CDS	399	ureA	3.5.1.5		Urease subunit gamma
JNCGLAOM_00028	gene	1119	gbuA			
JNCGLAOM_00028	CDS	1119	gbuA	3.5.3.7	COG0010	Guanidinobutyrase
JNCGLAOM_00029	gene	1080	asd2			
