locus_tag	ftype	length_bp	gene	EC_number	COG	product
ICPKAJPI_00001	gene	1017	hicd			
ICPKAJPI_00001	CDS	1017	hicd	1.1.1.87	COG0473	Homoisocitrate dehydrogenase
ICPKAJPI_00002	gene	1347	leuA_1			
ICPKAJPI_00002	CDS	1347	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
ICPKAJPI_00003	gene	1407	ftsH_1			
ICPKAJPI_00003	CDS	1407	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
ICPKAJPI_00004	gene	225				
ICPKAJPI_00004	CDS	225				hypothetical protein
ICPKAJPI_00005	gene	1059				
ICPKAJPI_00005	CDS	1059				hypothetical protein
ICPKAJPI_00006	gene	225	kynB_1			
ICPKAJPI_00006	CDS	225	kynB_1	3.5.1.9	COG1878	Kynurenine formamidase
ICPKAJPI_00007	gene	1143				
ICPKAJPI_00007	CDS	1143				hypothetical protein
ICPKAJPI_00008	gene	360				
ICPKAJPI_00008	CDS	360				hypothetical protein
ICPKAJPI_00009	gene	474				
ICPKAJPI_00009	CDS	474				hypothetical protein
ICPKAJPI_00010	gene	645				
ICPKAJPI_00010	CDS	645				hypothetical protein
ICPKAJPI_00011	gene	954				
ICPKAJPI_00011	CDS	954				hypothetical protein
ICPKAJPI_00012	gene	327				
ICPKAJPI_00012	CDS	327				hypothetical protein
ICPKAJPI_00013	gene	132				
ICPKAJPI_00013	CDS	132				hypothetical protein
ICPKAJPI_00014	gene	402	divK_1			
ICPKAJPI_00014	CDS	402	divK_1			Polar-differentiation response regulator DivK
ICPKAJPI_00015	gene	73				
ICPKAJPI_00015	tRNA	73				tRNA-Ala(cgc)
ICPKAJPI_00016	gene	477				
ICPKAJPI_00016	CDS	477				hypothetical protein
ICPKAJPI_00017	gene	75				
ICPKAJPI_00017	tRNA	75				tRNA-Lys(ctt)
ICPKAJPI_00018	gene	657				
ICPKAJPI_00018	CDS	657				hypothetical protein
ICPKAJPI_00019	gene	1242				
ICPKAJPI_00019	CDS	1242				hypothetical protein
ICPKAJPI_00020	gene	144				
ICPKAJPI_00020	CDS	144				hypothetical protein
ICPKAJPI_00021	gene	927	thrB_1			
ICPKAJPI_00021	CDS	927	thrB_1	2.7.1.39	COG0083	Homoserine kinase
ICPKAJPI_00022	gene	759				
ICPKAJPI_00022	CDS	759				hypothetical protein
ICPKAJPI_00023	gene	303				
ICPKAJPI_00023	CDS	303				hypothetical protein
ICPKAJPI_00024	gene	546				
ICPKAJPI_00024	CDS	546				hypothetical protein
ICPKAJPI_00025	gene	111				
ICPKAJPI_00025	CDS	111				hypothetical protein
ICPKAJPI_00026	gene	270				
ICPKAJPI_00026	CDS	270				hypothetical protein
ICPKAJPI_00027	gene	783				
ICPKAJPI_00027	CDS	783				hypothetical protein
ICPKAJPI_00028	gene	543				
ICPKAJPI_00028	CDS	543				hypothetical protein
ICPKAJPI_00029	gene	783	gluD_1			
ICPKAJPI_00029	CDS	783	gluD_1	1.4.1.2		NAD-specific glutamate dehydrogenase
ICPKAJPI_00030	gene	378				
ICPKAJPI_00030	CDS	378				hypothetical protein
ICPKAJPI_00031	gene	684				
ICPKAJPI_00031	CDS	684				hypothetical protein
ICPKAJPI_00032	gene	300				
ICPKAJPI_00032	CDS	300				hypothetical protein
ICPKAJPI_00033	gene	204	ureB_1			
ICPKAJPI_00033	CDS	204	ureB_1	3.5.1.5	COG0804	Urease subunit beta
ICPKAJPI_00034	gene	252				
