locus_tag	ftype	length_bp	gene	EC_number	COG	product
DADKGGNN_00001	gene	411				
DADKGGNN_00001	CDS	411				hypothetical protein
DADKGGNN_00002	gene	438				
DADKGGNN_00002	CDS	438				hypothetical protein
DADKGGNN_00003	gene	477				
DADKGGNN_00003	CDS	477				hypothetical protein
DADKGGNN_00004	gene	450				
DADKGGNN_00004	CDS	450				hypothetical protein
DADKGGNN_00005	gene	273				
DADKGGNN_00005	CDS	273				hypothetical protein
DADKGGNN_00006	gene	1029				
DADKGGNN_00006	CDS	1029				hypothetical protein
DADKGGNN_00007	gene	252				
DADKGGNN_00007	CDS	252				hypothetical protein
DADKGGNN_00008	gene	336				
DADKGGNN_00008	CDS	336				hypothetical protein
DADKGGNN_00009	gene	549				
DADKGGNN_00009	CDS	549				hypothetical protein
DADKGGNN_00010	gene	429	rssB_1			
DADKGGNN_00010	CDS	429	rssB_1			Regulator of RpoS
DADKGGNN_00011	gene	300				
DADKGGNN_00011	CDS	300				hypothetical protein
DADKGGNN_00012	gene	153				
DADKGGNN_00012	CDS	153				hypothetical protein
DADKGGNN_00013	gene	792				
DADKGGNN_00013	CDS	792				hypothetical protein
DADKGGNN_00014	gene	1509				
DADKGGNN_00014	CDS	1509				hypothetical protein
DADKGGNN_00015	gene	369	ogt			
DADKGGNN_00015	CDS	369	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
DADKGGNN_00016	gene	168				
DADKGGNN_00016	CDS	168				hypothetical protein
DADKGGNN_00017	gene	306				
DADKGGNN_00017	CDS	306				hypothetical protein
DADKGGNN_00018	gene	1005	pknD_1			
DADKGGNN_00018	CDS	1005	pknD_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PknD
DADKGGNN_00019	gene	1851	sasA_1			
DADKGGNN_00019	CDS	1851	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
DADKGGNN_00020	gene	663				
DADKGGNN_00020	CDS	663				hypothetical protein
DADKGGNN_00021	gene	255	tatC_1			
DADKGGNN_00021	CDS	255	tatC_1			Sec-independent protein translocase protein TatC
DADKGGNN_00022	gene	519	tatC_2			
DADKGGNN_00022	CDS	519	tatC_2		COG0805	Sec-independent protein translocase protein TatC
DADKGGNN_00023	gene	996	moaA1			
DADKGGNN_00023	CDS	996	moaA1	4.1.99.22	COG2896	GTP 3',8-cyclase 1
DADKGGNN_00024	gene	1746	msrP_1			
DADKGGNN_00024	CDS	1746	msrP_1	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
DADKGGNN_00025	gene	909	moaC			
DADKGGNN_00025	CDS	909	moaC			Cyclic pyranopterin monophosphate synthase
DADKGGNN_00026	gene	1293				
DADKGGNN_00026	CDS	1293				hypothetical protein
DADKGGNN_00027	gene	147				
DADKGGNN_00027	CDS	147				hypothetical protein
DADKGGNN_00028	gene	546				
DADKGGNN_00028	CDS	546				hypothetical protein
DADKGGNN_00029	gene	270	moaD			
DADKGGNN_00029	CDS	270	moaD			Molybdopterin synthase sulfur carrier subunit
DADKGGNN_00030	gene	417				
DADKGGNN_00030	CDS	417				hypothetical protein
DADKGGNN_00031	gene	1170	btuD_1			
DADKGGNN_00031	CDS	1170	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DADKGGNN_00032	gene	834				
DADKGGNN_00032	CDS	834				hypothetical protein
DADKGGNN_00033	gene	252				
DADKGGNN_00033	CDS	252				hypothetical protein
DADKGGNN_00034	gene	1227				
DADKGGNN_00034	CDS	1227				hypothetical protein
DADKGGNN_00035	gene	225				
DADKGGNN_00035	CDS	225				hypothetical protein
DADKGGNN_00036	gene	1587	nanT			
DADKGGNN_00036	CDS	1587	nanT			Sialic acid transporter NanT
DADKGGNN_00037	gene	549	slyA			
DADKGGNN_00037	CDS	549	slyA			Transcriptional regulator SlyA
DADKGGNN_00038	gene	1125	hflX_1			
DADKGGNN_00038	CDS	1125	hflX_1		COG2262	GTPase HflX
DADKGGNN_00039	gene	258				
DADKGGNN_00039	CDS	258				hypothetical protein
DADKGGNN_00040	gene	513				
DADKGGNN_00040	CDS	513			COG3039	IS5 family transposase ISThar1
DADKGGNN_00041	gene	381				
DADKGGNN_00041	CDS	381			COG3039	IS5 family transposase ISThar1
DADKGGNN_00042	gene	1098				
DADKGGNN_00042	CDS	1098				hypothetical protein
DADKGGNN_00043	gene	654				
DADKGGNN_00043	CDS	654				hypothetical protein
