Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosarchaeum_limnium_BG20-contig10_35	PF01496.14,2.1e-52,175.5
Nitrosarchaeum_limnium_BG20-contig10_61	PF02006.11,4e-21,72.7
Nitrosarchaeum_limnium_BG20-contig10_75	PF13685.1,3.9e-69,230.2
Nitrosarchaeum_limnium_BG20-contig118_2	PF04104.9,9e-26,88.2
Nitrosarchaeum_limnium_BG20-contig119_2	PF04104.9,1.5e-28,97.2
Nitrosarchaeum_limnium_BG20-contig122_24	PF04019.7,3e-33,111.3
Nitrosarchaeum_limnium_BG20-contig125_1	PF01198.14,6.4e-25,84.2
Nitrosarchaeum_limnium_BG20-contig13_5	PF01191.14,1.2e-29,99.2
Nitrosarchaeum_limnium_BG20-contig151_3	PF01655.13,1.4e-34,116.0
Nitrosarchaeum_limnium_BG20-contig151_4	PF01280.15,5.8e-42,140.4
Nitrosarchaeum_limnium_BG20-contig155_2	PF01092.14,1.1e-19,67.9
Nitrosarchaeum_limnium_BG20-contig174_28	PF01194.12,2e-30,102.1
Nitrosarchaeum_limnium_BG20-contig186_11	PF01000.21,2.1e-25,86.6
Nitrosarchaeum_limnium_BG20-contig186_8	PF00380.14,5e-36,121.1
Nitrosarchaeum_limnium_BG20-contig200_3	PF07541.7,2.6e-24,82.7
Nitrosarchaeum_limnium_BG20-contig238_2	PF01025.14,4.9e-38,127.8
Nitrosarchaeum_limnium_BG20-contig239_32	PF00410.14,1.3e-21,74.3
Nitrosarchaeum_limnium_BG20-contig241_6	PF01090.14,2.6e-49,163.7
Nitrosarchaeum_limnium_BG20-contig241_7	PF01984.15,4.8e-24,81.9
Nitrosarchaeum_limnium_BG20-contig258_1	PF00900.15,4.2e-23,78.3
Nitrosarchaeum_limnium_BG20-contig258_5	PF01868.11,2.1e-25,85.7
Nitrosarchaeum_limnium_BG20-contig282_2	PF13685.1,8.8e-20,68.5
Nitrosarchaeum_limnium_BG20-contig287_26	PF01015.13,2.6e-65,216.9
Nitrosarchaeum_limnium_BG20-contig306_6	PF07541.7,1.4e-24,83.5
Nitrosarchaeum_limnium_BG20-contig315_1	PF02978.14,1.4e-30,103.1
Nitrosarchaeum_limnium_BG20-contig34_1	PF01798.13,4.1e-51,169.7
Nitrosarchaeum_limnium_BG20-contig34_10	PF04919.7,1.7e-52,175.3
Nitrosarchaeum_limnium_BG20-contig34_32	PF00466.15,1.3e-18,64.2
Nitrosarchaeum_limnium_BG20-contig34_33	PF00687.16,1.7e-43,146.0
Nitrosarchaeum_limnium_BG20-contig34_8	PF01157.13,1.3e-14,51.3
Nitrosarchaeum_limnium_BG20-contig34_9	PF03874.11,1.6e-14,51.4
Nitrosarchaeum_limnium_BG20-contig38_1	PF01866.12,1.8e-11,41.3
Nitrosarchaeum_limnium_BG20-contig46_1	PF01866.12,1e-43,147.2
Nitrosarchaeum_limnium_BG20-contig47_1	PF01866.12,3e-43,145.7
Nitrosarchaeum_limnium_BG20-contig55_1	PF00368.13,2.8e-21,73.0
Nitrosarchaeum_limnium_BG20-contig60_1	PF00368.13,4.1e-50,167.9
Nitrosarchaeum_limnium_BG20-contig67_10	PF00827.12,7.9e-45,150.2
Nitrosarchaeum_limnium_BG20-contig70_5	PF01990.12,7.2e-16,55.9
Nitrosarchaeum_limnium_BG20-contig91_5	PF01269.12,7.8e-87,287.4
Nitrosarchaeum_limnium_BG20-contig92_10	PF01200.13,8.3e-30,99.9
Nitrosarchaeum_limnium_BG20-contig9_3	PF13656.1,3.6e-18,62.3
