locus_tag	ftype	length_bp	gene	EC_number	COG	product
NJKJBOEC_00001	gene	1203				
NJKJBOEC_00001	CDS	1203				hypothetical protein
NJKJBOEC_00002	gene	1446				
NJKJBOEC_00002	CDS	1446				hypothetical protein
NJKJBOEC_00003	gene	507				
NJKJBOEC_00003	CDS	507				hypothetical protein
NJKJBOEC_00004	gene	888				
NJKJBOEC_00004	CDS	888				hypothetical protein
NJKJBOEC_00005	gene	690				
NJKJBOEC_00005	CDS	690				hypothetical protein
NJKJBOEC_00006	gene	711				
NJKJBOEC_00006	CDS	711				hypothetical protein
NJKJBOEC_00007	gene	990				
NJKJBOEC_00007	CDS	990				hypothetical protein
NJKJBOEC_00008	gene	717				
NJKJBOEC_00008	CDS	717				hypothetical protein
NJKJBOEC_00009	gene	492				
NJKJBOEC_00009	CDS	492				hypothetical protein
NJKJBOEC_00010	gene	1533				
NJKJBOEC_00010	CDS	1533				hypothetical protein
NJKJBOEC_00011	gene	1356				
NJKJBOEC_00011	CDS	1356		1.6.99.-	COG1252	NADH dehydrogenase-like protein
NJKJBOEC_00012	gene	651				
NJKJBOEC_00012	CDS	651				hypothetical protein
NJKJBOEC_00013	gene	498				
NJKJBOEC_00013	CDS	498				hypothetical protein
NJKJBOEC_00014	gene	2136	ftsH_1			
NJKJBOEC_00014	CDS	2136	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
NJKJBOEC_00015	gene	219				
NJKJBOEC_00015	CDS	219				hypothetical protein
NJKJBOEC_00016	gene	435				
NJKJBOEC_00016	CDS	435				hypothetical protein
NJKJBOEC_00017	gene	921				
NJKJBOEC_00017	CDS	921				hypothetical protein
NJKJBOEC_00018	gene	192				
NJKJBOEC_00018	CDS	192				hypothetical protein
NJKJBOEC_00019	gene	300	crcB_1			
NJKJBOEC_00019	CDS	300	crcB_1		COG0239	Putative fluoride ion transporter CrcB
NJKJBOEC_00020	gene	228				
NJKJBOEC_00020	CDS	228				hypothetical protein
NJKJBOEC_00021	gene	273				
NJKJBOEC_00021	CDS	273				hypothetical protein
NJKJBOEC_00022	gene	228				
NJKJBOEC_00022	CDS	228				hypothetical protein
NJKJBOEC_00023	gene	300				
NJKJBOEC_00023	CDS	300				hypothetical protein
NJKJBOEC_00024	gene	945				
NJKJBOEC_00024	CDS	945				hypothetical protein
NJKJBOEC_00025	gene	906				
NJKJBOEC_00025	CDS	906				hypothetical protein
NJKJBOEC_00026	gene	1482	nhaP2			
NJKJBOEC_00026	CDS	1482	nhaP2			K(+)/H(+) antiporter NhaP2
NJKJBOEC_00027	gene	543				
NJKJBOEC_00027	CDS	543				hypothetical protein
NJKJBOEC_00028	gene	516	cysC			
NJKJBOEC_00028	CDS	516	cysC	2.7.1.25	COG0529	putative adenylyl-sulfate kinase
NJKJBOEC_00029	gene	816	cysQ_1			
NJKJBOEC_00029	CDS	816	cysQ_1	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
NJKJBOEC_00030	gene	207				
NJKJBOEC_00030	CDS	207				hypothetical protein
NJKJBOEC_00031	gene	744	bacC			
NJKJBOEC_00031	CDS	744	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
NJKJBOEC_00032	gene	432				
NJKJBOEC_00032	CDS	432				hypothetical protein
NJKJBOEC_00033	gene	552				
NJKJBOEC_00033	CDS	552				hypothetical protein
NJKJBOEC_00034	gene	648				
NJKJBOEC_00034	CDS	648				hypothetical protein
NJKJBOEC_00035	gene	471				
NJKJBOEC_00035	CDS	471				hypothetical protein
NJKJBOEC_00036	gene	642				
NJKJBOEC_00036	CDS	642				hypothetical protein
NJKJBOEC_00037	gene	261				
NJKJBOEC_00037	CDS	261				hypothetical protein
NJKJBOEC_00038	gene	1008				
NJKJBOEC_00038	CDS	1008				hypothetical protein
NJKJBOEC_00039	gene	351				
NJKJBOEC_00039	CDS	351				hypothetical protein
NJKJBOEC_00040	gene	195				
NJKJBOEC_00040	CDS	195				hypothetical protein
NJKJBOEC_00041	gene	714	queE			
NJKJBOEC_00041	CDS	714	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
NJKJBOEC_00042	gene	558	folE			
NJKJBOEC_00042	CDS	558	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
NJKJBOEC_00043	gene	255				
NJKJBOEC_00043	CDS	255				hypothetical protein
NJKJBOEC_00044	gene	675	queC			
NJKJBOEC_00044	CDS	675	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
NJKJBOEC_00045	gene	924	thrB_1			
NJKJBOEC_00045	CDS	924	thrB_1	2.7.1.39		Homoserine kinase
NJKJBOEC_00046	gene	759				
NJKJBOEC_00046	CDS	759				hypothetical protein
NJKJBOEC_00047	gene	153				
NJKJBOEC_00047	CDS	153				hypothetical protein
NJKJBOEC_00048	gene	1017				
NJKJBOEC_00048	CDS	1017				hypothetical protein
NJKJBOEC_00049	gene	795				
NJKJBOEC_00049	CDS	795		1.-.-.-		putative oxidoreductase
NJKJBOEC_00050	gene	402				
NJKJBOEC_00050	CDS	402				hypothetical protein
NJKJBOEC_00051	gene	312				
NJKJBOEC_00051	CDS	312				hypothetical protein
NJKJBOEC_00052	gene	1236				
NJKJBOEC_00052	CDS	1236				hypothetical protein
NJKJBOEC_00053	gene	1116	thiI_1			
NJKJBOEC_00053	CDS	1116	thiI_1	2.8.1.4		tRNA sulfurtransferase
NJKJBOEC_00054	gene	726	cysH			
NJKJBOEC_00054	CDS	726	cysH	1.8.4.10		Thioredoxin-dependent 5'-adenylylsulfate reductase
NJKJBOEC_00055	gene	1143	sat			
NJKJBOEC_00055	CDS	1143	sat	2.7.7.4	COG2046	Sulfate adenylyltransferase
NJKJBOEC_00056	gene	666				
NJKJBOEC_00056	CDS	666				hypothetical protein
NJKJBOEC_00057	gene	657	nth			
NJKJBOEC_00057	CDS	657	nth	4.2.99.18	COG0177	Endonuclease III
NJKJBOEC_00058	gene	1155				
NJKJBOEC_00058	CDS	1155				hypothetical protein
NJKJBOEC_00059	gene	387				
NJKJBOEC_00059	CDS	387				hypothetical protein
NJKJBOEC_00060	gene	1956				
NJKJBOEC_00060	CDS	1956				hypothetical protein
NJKJBOEC_00061	gene	474				
NJKJBOEC_00061	CDS	474				hypothetical protein
NJKJBOEC_00062	gene	591	cbiT			
NJKJBOEC_00062	CDS	591	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
NJKJBOEC_00063	gene	723	cbiL			
NJKJBOEC_00063	CDS	723	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
NJKJBOEC_00064	gene	771	cbiF			
NJKJBOEC_00064	CDS	771	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
NJKJBOEC_00065	gene	756	murI			
NJKJBOEC_00065	CDS	756	murI	5.1.1.3	COG0796	Glutamate racemase
NJKJBOEC_00066	gene	651				
NJKJBOEC_00066	CDS	651				hypothetical protein
NJKJBOEC_00067	gene	1173	arnC_1			
NJKJBOEC_00067	CDS	1173	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
NJKJBOEC_00068	gene	267				
NJKJBOEC_00068	CDS	267				hypothetical protein
NJKJBOEC_00069	gene	381				
NJKJBOEC_00069	CDS	381				hypothetical protein
NJKJBOEC_00070	gene	1545	ubiB			
NJKJBOEC_00070	CDS	1545	ubiB	2.7.-.-		protein kinase UbiB
NJKJBOEC_00071	gene	381				
NJKJBOEC_00071	CDS	381				hypothetical protein
NJKJBOEC_00072	gene	123				
NJKJBOEC_00072	CDS	123				hypothetical protein
NJKJBOEC_00073	gene	582	tmk			
NJKJBOEC_00073	CDS	582	tmk	2.7.4.9	COG0125	Thymidylate kinase
NJKJBOEC_00074	gene	1236				
NJKJBOEC_00074	CDS	1236				hypothetical protein
NJKJBOEC_00075	gene	684	pyrH			
NJKJBOEC_00075	CDS	684	pyrH	2.7.4.22		Uridylate kinase
NJKJBOEC_00076	gene	351				
NJKJBOEC_00076	CDS	351				hypothetical protein
NJKJBOEC_00077	gene	552				
NJKJBOEC_00077	CDS	552				hypothetical protein
NJKJBOEC_00078	gene	111				
NJKJBOEC_00078	CDS	111				hypothetical protein
NJKJBOEC_00079	gene	645				
NJKJBOEC_00079	CDS	645				hypothetical protein
NJKJBOEC_00080	gene	237				
NJKJBOEC_00080	CDS	237				hypothetical protein
NJKJBOEC_00081	gene	1038	atpC			
NJKJBOEC_00081	CDS	1038	atpC			V-type ATP synthase subunit C
NJKJBOEC_00082	gene	666				
NJKJBOEC_00082	CDS	666				hypothetical protein
NJKJBOEC_00083	gene	1563	amt			
