Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosomarinus_catalina_strain_SPOT01-contig1_1465	TIGR00021,9.6e-63,208.0
Nitrosomarinus_catalina_strain_SPOT01-contig1_1126	TIGR00037,6e-32,106.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_226	TIGR00042,2.7e-48,160.4
Nitrosomarinus_catalina_strain_SPOT01-contig1_1308	TIGR00064,1.4e-90,299.9
Nitrosomarinus_catalina_strain_SPOT01-contig1_111	TIGR00111,2.8e-54,181.3
Nitrosomarinus_catalina_strain_SPOT01-contig1_102	TIGR00134,1.3e-188,624.7
Nitrosomarinus_catalina_strain_SPOT01-contig1_510	TIGR00194,6e-151,500.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_1566	TIGR00240,9.3e-51,168.1
Nitrosomarinus_catalina_strain_SPOT01-contig1_1509	TIGR00264,1.2e-28,96.2
Nitrosomarinus_catalina_strain_SPOT01-contig1_1256	TIGR00279,1.3e-43,145.3
Nitrosomarinus_catalina_strain_SPOT01-contig1_442	TIGR00283,2.7e-38,127.4
Nitrosomarinus_catalina_strain_SPOT01-contig1_1276	TIGR00291,3.3e-63,209.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_1309	TIGR00293,1.1e-24,83.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_1135	TIGR00307,2.7e-24,82.3
Nitrosomarinus_catalina_strain_SPOT01-contig1_340	TIGR00308,1.7e-80,267.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_1445	TIGR00323,1.6e-53,177.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_579	TIGR00324,5.7e-31,104.3
Nitrosomarinus_catalina_strain_SPOT01-contig1_1255	TIGR00324,8.2e-19,64.7
Nitrosomarinus_catalina_strain_SPOT01-contig1_68	TIGR00335,3.3e-39,131.7
Nitrosomarinus_catalina_strain_SPOT01-contig1_1395	TIGR00336,5.5e-40,133.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_898	TIGR00337,9.2e-221,730.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_1326	TIGR03683,2e-257,853.4
Nitrosomarinus_catalina_strain_SPOT01-contig1_1514	TIGR00373,6.8e-31,103.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_65	TIGR00389,6.6e-157,520.0
Nitrosomarinus_catalina_strain_SPOT01-contig1_488	TIGR00392,2.8e-208,690.6
Nitrosomarinus_catalina_strain_SPOT01-contig1_649	TIGR00398,8e-158,523.0
Nitrosomarinus_catalina_strain_SPOT01-contig1_1318	TIGR00405,1.7e-37,125.2
Nitrosomarinus_catalina_strain_SPOT01-contig1_1017	TIGR00408,3.9e-178,589.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_243	TIGR00414,7.4e-168,555.4
Nitrosomarinus_catalina_strain_SPOT01-contig1_281	TIGR00422,1.7e-194,644.9
Nitrosomarinus_catalina_strain_SPOT01-contig1_1298	TIGR00425,2.2e-114,378.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_220	TIGR00432,8.5e-120,397.6
Nitrosomarinus_catalina_strain_SPOT01-contig1_639	TIGR00435,1.1e-155,515.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_1446	TIGR00442,7e-100,331.4
Nitrosomarinus_catalina_strain_SPOT01-contig1_428	TIGR00448,6.7e-56,185.3
Nitrosomarinus_catalina_strain_SPOT01-contig1_997	TIGR00456,1.9e-115,382.9
Nitrosomarinus_catalina_strain_SPOT01-contig1_559	TIGR00458,2.8e-142,471.2
Nitrosomarinus_catalina_strain_SPOT01-contig1_831	TIGR00458,3.1e-141,467.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_1374	TIGR00463,1.3e-135,449.6
Nitrosomarinus_catalina_strain_SPOT01-contig1_268	TIGR00468,2.6e-104,345.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_269	TIGR00471,6.4e-151,500.1
Nitrosomarinus_catalina_strain_SPOT01-contig1_682	TIGR00490,2.2e-244,809.4
Nitrosomarinus_catalina_strain_SPOT01-contig1_1455	TIGR00491,2e-204,676.9
Nitrosomarinus_catalina_strain_SPOT01-contig1_1055	TIGR00501,3.1e-91,302.5
Nitrosomarinus_catalina_strain_SPOT01-contig1_1601	TIGR00521,4.5e-117,387.9
Nitrosomarinus_catalina_strain_SPOT01-contig1_379	TIGR00522,1.4e-57,191.6
Nitrosomarinus_catalina_strain_SPOT01-contig1_1370	TIGR00549,6.6e-68,225.7
Nitrosomarinus_catalina_strain_SPOT01-contig1_508	TIGR00631,9.4e-286,945.8
Nitrosomarinus_catalina_strain_SPOT01-contig1_1307	TIGR00658,1.4e-118,392.0
