Gene Id	Top hits (Family id,e-value,bitscore)
AAA288-D22-contig24_4	TIGR00021,4.3e-49,162.2
AAA288-D22-contig40_3	TIGR00037,6e-38,125.0
AAA288-D22-contig6_6	TIGR00134,5.6e-197,651.1
AAA288-D22-contig12_5	TIGR00240,5.4e-30,99.5
AAA288-D22-contig1_38	TIGR00264,8.5e-29,95.5
AAA288-D22-contig3_17	TIGR00291,5.6e-36,119.4
AAA288-D22-contig13_14	TIGR00323,7.8e-51,167.8
AAA288-D22-contig23_3	TIGR00335,1.6e-34,115.1
AAA288-D22-contig2_31	TIGR00336,1.5e-36,121.1
AAA288-D22-contig1_33	TIGR00373,3.6e-33,109.7
AAA288-D22-contig2_53	TIGR00405,2.9e-37,123.2
AAA288-D22-contig3_38	TIGR00425,1.3e-110,364.9
AAA288-D22-contig15_3	TIGR00522,1.5e-60,200.1
AAA288-D22-contig3_47	TIGR00658,5.6e-80,264.1
AAA288-D22-contig12_7	TIGR00670,1.2e-102,338.4
AAA288-D22-contig39_8	TIGR00729,1.1e-42,141.8
AAA288-D22-contig3_42	TIGR00967,8.2e-80,264.0
AAA288-D22-contig3_45	TIGR01020,2.6e-72,238.0
AAA288-D22-contig3_21	TIGR01077,2.1e-43,143.5
AAA288-D22-contig8_7	TIGR01080,1.6e-25,85.1
AAA288-D22-contig3_44	TIGR01309,7.3e-36,119.0
AAA288-D22-contig6_5	TIGR02153,3.5e-121,400.0
AAA288-D22-contig20_8	TIGR02338,3e-29,96.6
AAA288-D22-contig3_9	TIGR02338,5.2e-18,60.4
AAA288-D22-contig6_9	TIGR02350,8.6e-213,703.3
AAA288-D22-contig8_13	TIGR03653,7.6e-57,187.2
AAA288-D22-contig7_27	TIGR03680,1.5e-175,579.6
