locus_tag	ftype	length_bp	gene	EC_number	COG	product
NKEHBEGC_00001	gene	213				
NKEHBEGC_00001	CDS	213				hypothetical protein
NKEHBEGC_00002	gene	234				
NKEHBEGC_00002	CDS	234				hypothetical protein
NKEHBEGC_00003	gene	498				
NKEHBEGC_00003	CDS	498				hypothetical protein
NKEHBEGC_00004	gene	2487	pepN			
NKEHBEGC_00004	CDS	2487	pepN	3.4.11.2	COG0308	Aminopeptidase N
NKEHBEGC_00005	gene	144				
NKEHBEGC_00005	CDS	144				hypothetical protein
NKEHBEGC_00006	gene	1281	apnhaP			
NKEHBEGC_00006	CDS	1281	apnhaP			Na(+)/H(+) antiporter ApNhaP
NKEHBEGC_00007	gene	861				
NKEHBEGC_00007	CDS	861		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase
NKEHBEGC_00008	gene	813	bepA			
NKEHBEGC_00008	CDS	813	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
NKEHBEGC_00009	gene	300				
NKEHBEGC_00009	CDS	300				hypothetical protein
NKEHBEGC_00010	gene	1386				
NKEHBEGC_00010	CDS	1386				hypothetical protein
NKEHBEGC_00011	gene	546				
NKEHBEGC_00011	CDS	546				hypothetical protein
NKEHBEGC_00012	gene	1551	vgb_1			
NKEHBEGC_00012	CDS	1551	vgb_1	4.2.99.-		Virginiamycin B lyase
NKEHBEGC_00013	gene	1200	truD			
NKEHBEGC_00013	CDS	1200	truD	5.4.99.27		tRNA pseudouridine synthase D
NKEHBEGC_00014	gene	174				
NKEHBEGC_00014	CDS	174				hypothetical protein
NKEHBEGC_00015	gene	288				
NKEHBEGC_00015	CDS	288				hypothetical protein
NKEHBEGC_00016	gene	231				
NKEHBEGC_00016	CDS	231				hypothetical protein
NKEHBEGC_00017	gene	606				
NKEHBEGC_00017	CDS	606				hypothetical protein
NKEHBEGC_00018	gene	465				
NKEHBEGC_00018	CDS	465				hypothetical protein
NKEHBEGC_00019	gene	459				
NKEHBEGC_00019	CDS	459				hypothetical protein
NKEHBEGC_00020	gene	630				
NKEHBEGC_00020	CDS	630				hypothetical protein
NKEHBEGC_00021	gene	933				
NKEHBEGC_00021	CDS	933		1.1.1.81	COG0111	Hydroxypyruvate reductase
NKEHBEGC_00022	gene	1338				
NKEHBEGC_00022	CDS	1338				hypothetical protein
NKEHBEGC_00023	gene	1401	aspA			
NKEHBEGC_00023	CDS	1401	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
NKEHBEGC_00024	gene	1269	miaB			
NKEHBEGC_00024	CDS	1269	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NKEHBEGC_00025	gene	954	ftsZ			
NKEHBEGC_00025	CDS	954	ftsZ			Cell division protein FtsZ
NKEHBEGC_00026	gene	564				
NKEHBEGC_00026	CDS	564				hypothetical protein
NKEHBEGC_00027	gene	570	nudL			
NKEHBEGC_00027	CDS	570	nudL	3.6.1.-		putative Nudix hydrolase NudL
NKEHBEGC_00028	gene	2502	metH_1			
NKEHBEGC_00028	CDS	2502	metH_1	2.1.1.13	COG0646	Methionine synthase
NKEHBEGC_00029	gene	963	metH_2			
