locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCOKCIHG_00001	gene	144				
LCOKCIHG_00001	CDS	144				hypothetical protein
LCOKCIHG_00002	gene	669	tal			
LCOKCIHG_00002	CDS	669	tal	2.2.1.2	COG0176	Transaldolase
LCOKCIHG_00003	gene	975	aptB			
LCOKCIHG_00003	CDS	975	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
LCOKCIHG_00004	gene	1668	dxs			
LCOKCIHG_00004	CDS	1668	dxs	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
LCOKCIHG_00005	gene	147				
LCOKCIHG_00005	CDS	147				hypothetical protein
LCOKCIHG_00006	gene	396				
LCOKCIHG_00006	CDS	396				hypothetical protein
LCOKCIHG_00007	gene	141				
LCOKCIHG_00007	CDS	141				hypothetical protein
LCOKCIHG_00008	gene	1467	pepA			
LCOKCIHG_00008	CDS	1467	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
LCOKCIHG_00009	gene	129				
LCOKCIHG_00009	CDS	129				hypothetical protein
LCOKCIHG_00010	gene	112				
LCOKCIHG_00010	rRNA	112				5S ribosomal RNA
LCOKCIHG_00011	gene	1788	btuD			
LCOKCIHG_00011	CDS	1788	btuD	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
LCOKCIHG_00012	gene	828				
LCOKCIHG_00012	CDS	828				hypothetical protein
LCOKCIHG_00013	gene	219				
LCOKCIHG_00013	CDS	219				hypothetical protein
LCOKCIHG_00014	gene	498	ypeA			
LCOKCIHG_00014	CDS	498	ypeA	2.3.1.-		Acetyltransferase YpeA
LCOKCIHG_00015	gene	1107				
LCOKCIHG_00015	CDS	1107				hypothetical protein
LCOKCIHG_00016	gene	1083				
LCOKCIHG_00016	CDS	1083				hypothetical protein
LCOKCIHG_00017	gene	606	pyrE			
LCOKCIHG_00017	CDS	606	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
LCOKCIHG_00018	gene	74				
LCOKCIHG_00018	tRNA	74				tRNA-Met(cat)
LCOKCIHG_00019	gene	633				
LCOKCIHG_00019	CDS	633		1.-.-.-	COG5424	putative oxidoreductase CT_610
LCOKCIHG_00020	gene	852				
LCOKCIHG_00020	CDS	852				hypothetical protein
LCOKCIHG_00021	gene	1485	ndhB_1			
LCOKCIHG_00021	CDS	1485	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
LCOKCIHG_00022	gene	2079	ndhB_2			
LCOKCIHG_00022	CDS	2079	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
LCOKCIHG_00023	gene	1554	mrpA			
LCOKCIHG_00023	CDS	1554	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
LCOKCIHG_00024	gene	306	nuoK			
LCOKCIHG_00024	CDS	306	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
LCOKCIHG_00025	gene	513				
LCOKCIHG_00025	CDS	513				hypothetical protein
LCOKCIHG_00026	gene	498	nuoI			
LCOKCIHG_00026	CDS	498	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
LCOKCIHG_00027	gene	1299	ndhA			
LCOKCIHG_00027	CDS	1299	ndhA	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic
LCOKCIHG_00028	gene	1143	nqo4			
LCOKCIHG_00028	CDS	1143	nqo4	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit 4
LCOKCIHG_00029	gene	606	ndhJ			
LCOKCIHG_00029	CDS	606	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
LCOKCIHG_00030	gene	525	ndhK			
LCOKCIHG_00030	CDS	525	ndhK	7.1.1.-	COG0377	NAD(P)H-quinone oxidoreductase subunit K
LCOKCIHG_00031	gene	333	ndhC			
LCOKCIHG_00031	CDS	333	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
LCOKCIHG_00032	gene	465	bcp_1			
LCOKCIHG_00032	CDS	465	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
LCOKCIHG_00033	gene	513				
LCOKCIHG_00033	CDS	513				hypothetical protein
LCOKCIHG_00034	gene	1488	cfiB			
LCOKCIHG_00034	CDS	1488	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
LCOKCIHG_00035	gene	1548	pccB			
LCOKCIHG_00035	CDS	1548	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
LCOKCIHG_00036	gene	291				
LCOKCIHG_00036	CDS	291				hypothetical protein
LCOKCIHG_00037	gene	1158				
LCOKCIHG_00037	CDS	1158				hypothetical protein
LCOKCIHG_00038	gene	1116				
LCOKCIHG_00038	CDS	1116				hypothetical protein
LCOKCIHG_00039	gene	801	cysQ_1			
LCOKCIHG_00039	CDS	801	cysQ_1	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
LCOKCIHG_00040	gene	843	fpr_1			
LCOKCIHG_00040	CDS	843	fpr_1	1.18.1.2	COG1018	Ferredoxin--NADP reductase
LCOKCIHG_00041	gene	168				
LCOKCIHG_00041	CDS	168				hypothetical protein
LCOKCIHG_00042	gene	1077	hemA_1			
LCOKCIHG_00042	CDS	1077	hemA_1	1.2.1.70	COG0373	Glutamyl-tRNA reductase
LCOKCIHG_00043	gene	762				
LCOKCIHG_00043	CDS	762				hypothetical protein
LCOKCIHG_00044	gene	78				
LCOKCIHG_00044	tRNA	78				tRNA-Asp(gtc)
LCOKCIHG_00045	gene	75				
LCOKCIHG_00045	tRNA	75				tRNA-Lys(ttt)
LCOKCIHG_00046	gene	1245				
LCOKCIHG_00046	CDS	1245				hypothetical protein
LCOKCIHG_00047	gene	1047				
LCOKCIHG_00047	CDS	1047				hypothetical protein
LCOKCIHG_00048	gene	1296				
LCOKCIHG_00048	CDS	1296				hypothetical protein
LCOKCIHG_00049	gene	414				
LCOKCIHG_00049	CDS	414				hypothetical protein
LCOKCIHG_00050	gene	552				
LCOKCIHG_00050	CDS	552				hypothetical protein
LCOKCIHG_00051	gene	1485				
