Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1445	TIGR00021,1.9e-49,165.7
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2506	TIGR00037,5.1e-43,143.7
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1896	TIGR00042,3.1e-47,158.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3294	TIGR00064,1.6e-88,294.3
Nitrosocosmicus_oleophilus_strain_MY3-contig1_885	TIGR00111,1.6e-48,163.5
Nitrosocosmicus_oleophilus_strain_MY3-contig1_790	TIGR00134,2.9e-179,594.9
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1888	TIGR00194,2.7e-114,380.6
Nitrosocosmicus_oleophilus_strain_MY3-contig1_410	TIGR00240,4.6e-52,173.5
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3691	TIGR00264,8.3e-26,88.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3693	TIGR00270,1.4e-24,84.3
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2976	TIGR00279,7.8e-46,153.6
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3197	TIGR00283,3e-36,121.9
Nitrosocosmicus_oleophilus_strain_MY3-contig1_736	TIGR00291,8e-64,212.9
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3295	TIGR00293,1.7e-19,67.9
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2489	TIGR00307,2.7e-31,106.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2246	TIGR00308,2.5e-79,265.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_826	TIGR00323,3.6e-52,174.5
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2347	TIGR00324,2e-29,100.5
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2977	TIGR00324,2.8e-22,77.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1950	TIGR00335,3.9e-36,122.8
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2248	TIGR00336,9.9e-36,120.8
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2459	TIGR00337,2.4e-220,730.3
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2641	TIGR03683,2.1e-245,814.8
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3725	TIGR00373,2.9e-34,115.6
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2026	TIGR00389,1.2e-159,530.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2931	TIGR00392,1.1e-182,607.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2513	TIGR00398,1.2e-145,483.9
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3281	TIGR00405,1.3e-30,104.0
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1410	TIGR00408,3.9e-177,587.6
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3532	TIGR00414,4.5e-151,501.3
Nitrosocosmicus_oleophilus_strain_MY3-contig1_445	TIGR00422,2.7e-194,645.4
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1947	TIGR00425,4.2e-110,365.6
Nitrosocosmicus_oleophilus_strain_MY3-contig1_820	TIGR00432,3.4e-111,370.3
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2511	TIGR00435,1.6e-150,499.9
Nitrosocosmicus_oleophilus_strain_MY3-contig1_936	TIGR00442,7.7e-89,296.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1461	TIGR00448,9.8e-57,189.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2329	TIGR00456,2.1e-101,337.7
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2638	TIGR00458,1.8e-136,453.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3095	TIGR00458,2.6e-133,442.8
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2124	TIGR00463,1.6e-128,427.4
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2984	TIGR00468,1.1e-101,338.0
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2983	TIGR00471,8.4e-133,441.4
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2613	TIGR00490,1.3e-251,834.4
Nitrosocosmicus_oleophilus_strain_MY3-contig1_934	TIGR00491,4e-208,690.3
