locus_tag	ftype	length_bp	gene	EC_number	COG	product
PAOLKCHC_00001	gene	237				
PAOLKCHC_00001	CDS	237				hypothetical protein
PAOLKCHC_00002	gene	627				
PAOLKCHC_00002	CDS	627				hypothetical protein
PAOLKCHC_00003	gene	645	czcD_1			
PAOLKCHC_00003	CDS	645	czcD_1		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
PAOLKCHC_00004	gene	345				
PAOLKCHC_00004	CDS	345				hypothetical protein
PAOLKCHC_00005	gene	306				
PAOLKCHC_00005	CDS	306				hypothetical protein
PAOLKCHC_00006	gene	849	rlmJ			
PAOLKCHC_00006	CDS	849	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
PAOLKCHC_00007	gene	477				
PAOLKCHC_00007	CDS	477				hypothetical protein
PAOLKCHC_00008	gene	109				
PAOLKCHC_00008	rRNA	109				5S ribosomal RNA
PAOLKCHC_00009	gene	1911				
PAOLKCHC_00009	rRNA	1911				23S ribosomal RNA (partial)
PAOLKCHC_00010	gene	1116				
PAOLKCHC_00010	rRNA	1116				23S ribosomal RNA (partial)
PAOLKCHC_00011	gene	76				
PAOLKCHC_00011	tRNA	76				tRNA-Ala(tgc)
PAOLKCHC_00012	gene	77				
PAOLKCHC_00012	tRNA	77				tRNA-Ile(gat)
PAOLKCHC_00013	gene	843				
PAOLKCHC_00013	rRNA	843				16S ribosomal RNA (partial)
PAOLKCHC_00014	gene	564				
PAOLKCHC_00014	CDS	564				hypothetical protein
PAOLKCHC_00015	gene	576				
PAOLKCHC_00015	CDS	576				hypothetical protein
PAOLKCHC_00016	gene	381				
PAOLKCHC_00016	CDS	381				hypothetical protein
PAOLKCHC_00017	gene	153				
PAOLKCHC_00017	CDS	153				hypothetical protein
PAOLKCHC_00018	gene	1197				
PAOLKCHC_00018	CDS	1197				hypothetical protein
PAOLKCHC_00019	gene	1374	gatA			
PAOLKCHC_00019	CDS	1374	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
PAOLKCHC_00020	gene	432	coxM			
PAOLKCHC_00020	CDS	432	coxM	1.9.3.1	COG1622	Alternative cytochrome c oxidase subunit 2
PAOLKCHC_00021	gene	123				
PAOLKCHC_00021	CDS	123				hypothetical protein
PAOLKCHC_00022	gene	132				
PAOLKCHC_00022	CDS	132				hypothetical protein
PAOLKCHC_00023	gene	552	pspA			
PAOLKCHC_00023	CDS	552	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
PAOLKCHC_00024	gene	672				
PAOLKCHC_00024	CDS	672				hypothetical protein
PAOLKCHC_00025	gene	231				
PAOLKCHC_00025	CDS	231				hypothetical protein
PAOLKCHC_00026	gene	192				
PAOLKCHC_00026	CDS	192				hypothetical protein
PAOLKCHC_00027	gene	177				
PAOLKCHC_00027	CDS	177				hypothetical protein
PAOLKCHC_00028	gene	465				
PAOLKCHC_00028	CDS	465		2.6.1.1		Aspartate/prephenate aminotransferase
PAOLKCHC_00029	gene	252				
PAOLKCHC_00029	CDS	252				hypothetical protein
PAOLKCHC_00030	gene	1221	ctaD			
PAOLKCHC_00030	CDS	1221	ctaD	1.9.3.1		Cytochrome c oxidase subunit 1
PAOLKCHC_00031	gene	933				
PAOLKCHC_00031	CDS	933				hypothetical protein
PAOLKCHC_00032	gene	561				
PAOLKCHC_00032	CDS	561				hypothetical protein
PAOLKCHC_00033	gene	135				
PAOLKCHC_00033	CDS	135				hypothetical protein
PAOLKCHC_00034	gene	117				
PAOLKCHC_00034	CDS	117				hypothetical protein
PAOLKCHC_00035	gene	240				
PAOLKCHC_00035	CDS	240				hypothetical protein
PAOLKCHC_00036	gene	186				
PAOLKCHC_00036	CDS	186				hypothetical protein
PAOLKCHC_00037	gene	177				
PAOLKCHC_00037	CDS	177				hypothetical protein
PAOLKCHC_00038	gene	1773	pepF1			
