locus_tag	ftype	length_bp	gene	EC_number	COG	product
ADDFNANM_00001	gene	864	folD			
ADDFNANM_00001	CDS	864	folD		COG0190	Bifunctional protein FolD protein
ADDFNANM_00002	gene	561	yqgN			
ADDFNANM_00002	CDS	561	yqgN		COG0212	putative protein YqgN
ADDFNANM_00003	gene	1263	purD			
ADDFNANM_00003	CDS	1263	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
ADDFNANM_00004	gene	720	cobB			
ADDFNANM_00004	CDS	720	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
ADDFNANM_00005	gene	3201	ileS			
ADDFNANM_00005	CDS	3201	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
ADDFNANM_00006	gene	330				
ADDFNANM_00006	CDS	330				hypothetical protein
ADDFNANM_00007	gene	1107	sucC			
ADDFNANM_00007	CDS	1107	sucC	6.2.1.4	COG0045	Succinate--CoA ligase [GDP-forming] subunit beta
ADDFNANM_00008	gene	918	sucD			
ADDFNANM_00008	CDS	918	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
ADDFNANM_00009	gene	171				
ADDFNANM_00009	CDS	171				hypothetical protein
ADDFNANM_00010	gene	624	trmR			
ADDFNANM_00010	CDS	624	trmR	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
ADDFNANM_00011	gene	678	ubiE			
ADDFNANM_00011	CDS	678	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
ADDFNANM_00012	gene	1074	ccr			
ADDFNANM_00012	CDS	1074	ccr	1.3.1.85	COG0604	Crotonyl-CoA carboxylase/reductase
ADDFNANM_00013	gene	684				
ADDFNANM_00013	CDS	684				hypothetical protein
ADDFNANM_00014	gene	2469				
ADDFNANM_00014	CDS	2469				hypothetical protein
ADDFNANM_00015	gene	399				
ADDFNANM_00015	CDS	399				hypothetical protein
ADDFNANM_00016	gene	1110	dnaJ_1			
ADDFNANM_00016	CDS	1110	dnaJ_1			Chaperone protein DnaJ
ADDFNANM_00017	gene	582				
ADDFNANM_00017	CDS	582				hypothetical protein
ADDFNANM_00018	gene	459	bcp_1			
ADDFNANM_00018	CDS	459	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
ADDFNANM_00019	gene	384				
ADDFNANM_00019	CDS	384				hypothetical protein
ADDFNANM_00020	gene	2322				
ADDFNANM_00020	CDS	2322				hypothetical protein
ADDFNANM_00021	gene	77				
ADDFNANM_00021	tRNA	77				tRNA-Val(cac)
ADDFNANM_00022	gene	258				
ADDFNANM_00022	CDS	258				hypothetical protein
ADDFNANM_00023	gene	1773				
ADDFNANM_00023	CDS	1773				hypothetical protein
ADDFNANM_00024	gene	1551				
ADDFNANM_00024	CDS	1551				hypothetical protein
ADDFNANM_00025	gene	552	pdaD			
ADDFNANM_00025	CDS	552	pdaD	4.1.1.19		Pyruvoyl-dependent arginine decarboxylase
ADDFNANM_00026	gene	219				
ADDFNANM_00026	CDS	219				hypothetical protein
ADDFNANM_00027	gene	75				
ADDFNANM_00027	tRNA	75				tRNA-Thr(tgt)
ADDFNANM_00028	gene	1305	cshA			
ADDFNANM_00028	CDS	1305	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
ADDFNANM_00029	gene	234				
ADDFNANM_00029	CDS	234				hypothetical protein
ADDFNANM_00030	gene	288				
