Gene Id	Top hits (Family id,e-value,bitscore)
HM79_Bin-contig1336_2	TIGR00019,2.5e-144,478.4
HM79_Bin-contig549_1	TIGR00021,3.3e-47,158.5
HM79_Bin-contig379_4	TIGR00037,1.6e-52,174.5
HM79_Bin-contig125_2	TIGR00042,1.2e-41,139.9
HM79_Bin-contig1061_2	TIGR00043,1.1e-28,97.3
HM79_Bin-contig703_3	TIGR00064,2.2e-99,330.0
HM79_Bin-contig241_2	TIGR00083,9e-78,259.4
HM79_Bin-contig835_3	TIGR00134,1.7e-186,618.9
HM79_Bin-contig215_1	TIGR00194,5e-124,412.8
HM79_Bin-contig239_5	TIGR00240,5.9e-50,166.8
HM79_Bin-contig1038_3	TIGR00264,1.7e-28,97.0
HM79_Bin-contig1109_5	TIGR00264,2.1e-28,96.7
HM79_Bin-contig528_2	TIGR00264,1.1e-27,94.4
HM79_Bin-contig618_7	TIGR00279,1.8e-42,142.8
HM79_Bin-contig1346_1	TIGR00283,3.1e-39,131.6
HM79_Bin-contig703_1	TIGR00293,3e-28,96.3
HM79_Bin-contig391_4	TIGR00307,1.4e-27,94.1
HM79_Bin-contig649_2	TIGR00308,5.9e-98,326.5
HM79_Bin-contig198_3	TIGR00323,4e-54,181.0
HM79_Bin-contig535_2	TIGR00324,5.4e-32,108.9
HM79_Bin-contig618_8	TIGR00324,3.2e-21,73.8
HM79_Bin-contig1239_2	TIGR00335,6e-39,132.1
HM79_Bin-contig1190_2	TIGR00336,7e-38,127.9
HM79_Bin-contig181_1	TIGR00337,9e-130,431.5
HM79_Bin-contig67_1	TIGR00362,5.5e-128,425.5
HM79_Bin-contig926_2	TIGR00373,6.5e-32,108.1
HM79_Bin-contig231_2	TIGR00382,4.8e-64,214.6
HM79_Bin-contig1040_1	TIGR00389,8e-169,560.6
HM79_Bin-contig567_2	TIGR00396,2e-108,361.4
HM79_Bin-contig461_2	TIGR00408,4e-185,614.0
HM79_Bin-contig837_5	TIGR00408,1.8e-178,592.1
HM79_Bin-contig1262_1	TIGR00408,4.7e-136,452.2
HM79_Bin-contig210_8	TIGR00414,8.3e-165,546.6
HM79_Bin-contig217_1	TIGR00416,1.9e-90,301.6
HM79_Bin-contig155_2	TIGR00422,9.2e-263,872.0
HM79_Bin-contig241_1	TIGR00431,1.5e-34,117.3
HM79_Bin-contig1291_1	TIGR00432,1.8e-100,335.0
HM79_Bin-contig198_4	TIGR00442,4.3e-99,330.0
HM79_Bin-contig1204_2	TIGR00448,6.7e-59,196.3
HM79_Bin-contig1371_1	TIGR00456,9.4e-106,352.1
HM79_Bin-contig859_5	TIGR00458,3.7e-146,485.2
HM79_Bin-contig1259_2	TIGR00458,6.4e-139,461.4
HM79_Bin-contig159_1	TIGR00459,1.6e-239,793.9
HM79_Bin-contig1156_3	TIGR00460,4.4e-89,296.5
HM79_Bin-contig722_1	TIGR00463,5.9e-120,399.2
HM79_Bin-contig1317_2	TIGR00468,1.6e-103,344.1
HM79_Bin-contig494_1	TIGR00490,5.2e-134,445.8
HM79_Bin-contig1132_3	TIGR00491,2.7e-234,776.8
HM79_Bin-contig41_1	TIGR00501,2.1e-84,281.3
HM79_Bin-contig1088_4	TIGR00501,4.1e-77,257.4
HM79_Bin-contig811_1	TIGR00521,3.1e-90,300.8
HM79_Bin-contig328_2	TIGR00580,1.8e-296,984.0
HM79_Bin-contig360_1	TIGR00631,7.6e-180,597.1
HM79_Bin-contig1434_2	TIGR00634,1.2e-90,302.9
HM79_Bin-contig232_2	TIGR00663,5.8e-73,243.7
HM79_Bin-contig1353_1	TIGR00670,3.4e-101,336.1
HM79_Bin-contig239_6	TIGR00670,5.8e-56,187.6
HM79_Bin-contig349_2	TIGR00717,2e-210,697.5
HM79_Bin-contig133_2	TIGR00729,1.4e-58,196.2
HM79_Bin-contig704_2	TIGR00936,1.4e-197,654.3
HM79_Bin-contig395_2	TIGR00982,1.9e-73,242.5
HM79_Bin-contig156_8	TIGR01008,1e-59,199.4
HM79_Bin-contig1252_2	TIGR01012,2.2e-86,286.2
HM79_Bin-contig374_2	TIGR01018,9.2e-65,215.3
HM79_Bin-contig799_1	TIGR01018,5.7e-33,111.9
HM79_Bin-contig156_6	TIGR01025,1.2e-47,158.9
HM79_Bin-contig532_1	TIGR01025,2.9e-25,86.4
HM79_Bin-contig1117_1	TIGR01028,1.4e-54,182.4
HM79_Bin-contig532_2	TIGR01038,8.7e-58,192.3
HM79_Bin-contig156_7	TIGR01038,4.7e-52,173.7
HM79_Bin-contig140_1	TIGR01060,4.9e-94,313.2
HM79_Bin-contig631_2	TIGR01071,5e-51,170.1
HM79_Bin-contig1367_3	TIGR01077,1e-39,133.9
HM79_Bin-contig1367_4	TIGR01077,1.3e-35,120.6
HM79_Bin-contig156_13	TIGR01080,1.7e-28,97.1
HM79_Bin-contig952_1	TIGR01169,2.7e-63,211.2
HM79_Bin-contig243_4	TIGR01302,1.2e-164,546.3
HM79_Bin-contig131_4	TIGR01302,1.9e-163,542.3
