Genomes	C-ARSC	N-ARSC	GC(%)	genome size(Mb)	coding density	genes number	Pseudogenes	Pseudogenes(%)	arCOG	Group
Thaumarchaeota_archaeon_strain_BS3	3.034023969	0.335946403	0.425890035	1.485748	0.981961948	2169	184	0.078198045	1041	Basal group
Thaumarchaeota_archaeon_strain_BS4	3.026056264	0.332180744	0.419208914	1.202119	0.899306142	1413	191	0.119077307	860	Basal group
Thaumarchaeota_archaeon_UBA141	2.915058702	0.34641945	0.459629895	1.688885	0.883380455	1709	124	0.067648663	940	Basal group
Thaumarchaeota_archaeon_UBA160	3.103695031	0.305601682	0.367151432	0.854732	0.874193314	922	43	0.044559585	679	Basal group
Thaumarchaeota_archaeon_UBA164	2.982528334	0.322975033	0.489997608	1.187522	0.907706131	1290	51	0.03803132	873	Basal group
Thaumarchaeota_archaeon_UBA183	2.842433627	0.342584799	0.616744096	0.80833	0.878805686	1091	216	0.165263963	619	Basal group
Thaumarchaeota_archaeon_UBA57	2.975438832	0.315214581	0.335393167	0.613362	0.891408336	661	76	0.10312076	500	Basal group
Thaumarchaeota_archaeon_strain_DS1	2.964460813	0.354040104	0.466458924	1.256683	0.901076087	1528	135	0.081178593	839	Basal group
Unclassified_Thaumarchaeota_DRTY_7_bin_36	2.957258219	0.353289053	0.465834152	1.16034	0.898904631	1431	114	0.073786408	808	Basal group
Thaumarchaeota_bin_Fn1	2.975223934	0.338999902	0.466456325	1.059544	0.891439147	1280	138	0.097320169	807	Basal group
Thaumarchaeota_archaeon_RBG_16-49-8	2.97157697	0.333243593	0.458290815	0.991501857	0.891933333	1171	110	0.086180114	732	Basal group
Nitrosocosmicus_hydrocola_strain_G61	3.026560409	0.324903748	0.339383171	2.989777	0.770469503	3206	238	0.069105691	1248	Terrestrial group
Nitrosocosmicus_oleophilus_strain_MY3	3.034467775	0.328369731	0.341388041	3.430706	0.736980377	3739	316	0.077928483	1297	Terrestrial group
Nitrososphaera_evergladensis_SR1	2.90555499	0.338924898	0.501404528	2.954373	0.83583928	3528	223	0.059450813	1485	Terrestrial group
Nitrososphaera_gargensis_Ga9	2.950890191	0.349587899	0.48347206	2.833868	0.831262783	3768	560	0.129390018	1484	Terrestrial group
Nitrososphaera_viennensis_EN76	2.903829001	0.340455069	0.527154543	2.527938	0.858581975	3015	244	0.074869592	1448	Terrestrial group
Nitrosotalea_bavarica_SbT1	2.982676556	0.319810814	0.359831472	1.553159	0.89600292	1831	123	0.062947799	1231	Terrestrial group
