Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1273	PF01157.13,5.6e-16,56.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1274	PF03874.11,1.2e-09,36.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1275	PF04919.7,8.8e-55,183.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1455	PF00827.12,1.2e-49,166.5
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1463	PF04019.7,3.9e-29,98.5
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1469	PF13685.1,3e-18,64.0
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1857	PF02006.11,6.9e-64,212.5
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1875	PF07541.7,5.1e-23,79.0
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1904	PF13685.1,4.9e-66,220.6
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1908	PF01015.13,1.1e-52,176.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1919	PF01191.14,2.1e-25,86.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_1949	PF04104.9,4e-28,96.4
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2116	PF01194.12,1.7e-27,93.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2242	PF01798.13,1.1e-48,162.3
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2243	PF01269.12,1.2e-82,274.3
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2252	PF01198.14,1.9e-24,83.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2290	PF01868.11,6.5e-14,49.4
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2294	PF00900.15,6.2e-15,52.7
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2296	PF00410.14,1.1e-24,84.7
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2331	PF01282.14,1.5e-06,26.0
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2335	PF02978.14,9.6e-27,91.3
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2390	PF00466.15,2e-18,64.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2391	PF00687.16,2.3e-43,146.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2720	PF01496.14,5.9e-41,138.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_2726	PF01990.12,2.5e-15,54.7
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3284	PF01280.15,5.8e-42,140.9
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3285	PF01655.13,2.1e-40,135.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3517	PF13656.1,3.3e-14,50.1
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3715	PF01090.14,1.8e-54,181.0
Nitrosocosmicus_oleophilus_strain_MY3-contig1_3716	PF01984.15,9.6e-25,84.7
Nitrosocosmicus_oleophilus_strain_MY3-contig1_403	PF01092.14,5e-22,75.9
Nitrosocosmicus_oleophilus_strain_MY3-contig1_492	PF01025.14,2.4e-31,106.5
Nitrosocosmicus_oleophilus_strain_MY3-contig1_732	PF00380.14,6.8e-32,108.3
Nitrosocosmicus_oleophilus_strain_MY3-contig1_735	PF01000.21,4.1e-27,92.6
Nitrosocosmicus_oleophilus_strain_MY3-contig1_747	PF00368.13,1.2e-91,305.2
Nitrosocosmicus_oleophilus_strain_MY3-contig1_910	PF01866.12,2.6e-71,238.4
Nitrosocosmicus_oleophilus_strain_MY3-contig1_932	PF01200.13,5.9e-32,107.3
