locus_tag	ftype	length_bp	gene	EC_number	COG	product
JOBFFOMB_00001	gene	879	pstA			
JOBFFOMB_00001	CDS	879	pstA		COG0581	Phosphate transport system permease protein PstA
JOBFFOMB_00002	gene	909	pstC1			
JOBFFOMB_00002	CDS	909	pstC1		COG0573	Phosphate transport system permease protein PstC 1
JOBFFOMB_00003	gene	996	sphX			
JOBFFOMB_00003	CDS	996	sphX		COG0226	Protein SphX
JOBFFOMB_00004	gene	1083				
JOBFFOMB_00004	CDS	1083				hypothetical protein
JOBFFOMB_00005	gene	837	fgd			
JOBFFOMB_00005	CDS	837	fgd	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
JOBFFOMB_00006	gene	882				
JOBFFOMB_00006	CDS	882				hypothetical protein
JOBFFOMB_00007	gene	1458	ndhB			
JOBFFOMB_00007	CDS	1458	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
JOBFFOMB_00008	gene	1482	nuoM			
JOBFFOMB_00008	CDS	1482	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
JOBFFOMB_00009	gene	2109	nuoL			
JOBFFOMB_00009	CDS	2109	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
JOBFFOMB_00010	gene	459				
JOBFFOMB_00010	CDS	459				hypothetical protein
JOBFFOMB_00011	gene	558				
JOBFFOMB_00011	CDS	558				hypothetical protein
JOBFFOMB_00012	gene	363				
JOBFFOMB_00012	CDS	363				hypothetical protein
JOBFFOMB_00013	gene	1239	thrC			
JOBFFOMB_00013	CDS	1239	thrC	4.2.3.1	COG0498	Threonine synthase
JOBFFOMB_00014	gene	543				
JOBFFOMB_00014	CDS	543				hypothetical protein
JOBFFOMB_00015	gene	1026				
JOBFFOMB_00015	CDS	1026				hypothetical protein
JOBFFOMB_00016	gene	2199	ftsH_1			
JOBFFOMB_00016	CDS	2199	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
JOBFFOMB_00017	gene	312	fixX			
JOBFFOMB_00017	CDS	312	fixX		COG2440	Ferredoxin-like protein FixX
JOBFFOMB_00018	gene	228				
JOBFFOMB_00018	CDS	228				hypothetical protein
JOBFFOMB_00019	gene	999	recA_1			
JOBFFOMB_00019	CDS	999	recA_1			Protein RecA
JOBFFOMB_00020	gene	2670				
JOBFFOMB_00020	CDS	2670				hypothetical protein
JOBFFOMB_00021	gene	1083	ino1			
JOBFFOMB_00021	CDS	1083	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
JOBFFOMB_00022	gene	183				
JOBFFOMB_00022	CDS	183				hypothetical protein
JOBFFOMB_00023	gene	285				
JOBFFOMB_00023	CDS	285				hypothetical protein
JOBFFOMB_00024	gene	312				
JOBFFOMB_00024	CDS	312				hypothetical protein
JOBFFOMB_00025	gene	144				
JOBFFOMB_00025	CDS	144				hypothetical protein
JOBFFOMB_00026	gene	1734	recF			
JOBFFOMB_00026	CDS	1734	recF			DNA replication and repair protein RecF
JOBFFOMB_00027	gene	903				
JOBFFOMB_00027	CDS	903				hypothetical protein
JOBFFOMB_00028	gene	1176				
JOBFFOMB_00028	CDS	1176				hypothetical protein
JOBFFOMB_00029	gene	474				
JOBFFOMB_00029	CDS	474				hypothetical protein
JOBFFOMB_00030	gene	906	soxB			
JOBFFOMB_00030	CDS	906	soxB	1.5.3.1		Sarcosine oxidase subunit beta
JOBFFOMB_00031	gene	435				
JOBFFOMB_00031	CDS	435				hypothetical protein
JOBFFOMB_00032	gene	1206	ychF			
JOBFFOMB_00032	CDS	1206	ychF		COG0012	Ribosome-binding ATPase YchF
JOBFFOMB_00033	gene	648				
JOBFFOMB_00033	CDS	648				hypothetical protein
JOBFFOMB_00034	gene	597				
JOBFFOMB_00034	CDS	597				hypothetical protein
JOBFFOMB_00035	gene	444				
JOBFFOMB_00035	CDS	444				hypothetical protein
JOBFFOMB_00036	gene	444	nusA			
JOBFFOMB_00036	CDS	444	nusA			Transcription termination/antitermination protein NusA
JOBFFOMB_00037	gene	351				
JOBFFOMB_00037	CDS	351				hypothetical protein
JOBFFOMB_00038	gene	3426	rpoC			
JOBFFOMB_00038	CDS	3426	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
JOBFFOMB_00039	gene	858				
JOBFFOMB_00039	CDS	858				hypothetical protein
JOBFFOMB_00040	gene	267				
JOBFFOMB_00040	CDS	267				hypothetical protein
JOBFFOMB_00041	gene	300				
JOBFFOMB_00041	CDS	300				hypothetical protein
JOBFFOMB_00042	gene	795				
JOBFFOMB_00042	CDS	795				hypothetical protein
JOBFFOMB_00043	gene	2277				
JOBFFOMB_00043	CDS	2277				hypothetical protein
JOBFFOMB_00044	gene	414				
JOBFFOMB_00044	CDS	414				hypothetical protein
JOBFFOMB_00045	gene	432				
JOBFFOMB_00045	CDS	432				hypothetical protein
JOBFFOMB_00046	gene	108				
JOBFFOMB_00046	CDS	108				hypothetical protein
JOBFFOMB_00047	gene	234				
JOBFFOMB_00047	CDS	234				hypothetical protein
JOBFFOMB_00048	gene	117				
JOBFFOMB_00048	CDS	117				hypothetical protein
JOBFFOMB_00049	gene	270				
JOBFFOMB_00049	CDS	270				hypothetical protein
JOBFFOMB_00050	gene	123				
JOBFFOMB_00050	CDS	123				hypothetical protein
JOBFFOMB_00051	gene	120				
JOBFFOMB_00051	CDS	120				hypothetical protein
JOBFFOMB_00052	gene	96				
JOBFFOMB_00052	tRNA	96				tRNA-Arg(tcg)
JOBFFOMB_00053	gene	1014	hom			
JOBFFOMB_00053	CDS	1014	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
JOBFFOMB_00054	gene	1383	thrA			
JOBFFOMB_00054	CDS	1383	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
JOBFFOMB_00055	gene	168				
JOBFFOMB_00055	CDS	168				hypothetical protein
JOBFFOMB_00056	gene	195				
JOBFFOMB_00056	CDS	195				hypothetical protein
JOBFFOMB_00057	gene	165				
JOBFFOMB_00057	CDS	165				hypothetical protein
