locus_tag	ftype	length_bp	gene	EC_number	COG	product
IOOACKGP_00001	gene	705				
IOOACKGP_00001	CDS	705				hypothetical protein
IOOACKGP_00002	gene	423				
IOOACKGP_00002	CDS	423				hypothetical protein
IOOACKGP_00003	gene	582	petC			
IOOACKGP_00003	CDS	582	petC	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
IOOACKGP_00004	gene	1014	petB_1			
IOOACKGP_00004	CDS	1014	petB_1			Cytochrome b6
IOOACKGP_00005	gene	186				
IOOACKGP_00005	CDS	186				hypothetical protein
IOOACKGP_00006	gene	402				
IOOACKGP_00006	CDS	402				hypothetical protein
IOOACKGP_00007	gene	246				
IOOACKGP_00007	CDS	246				hypothetical protein
IOOACKGP_00008	gene	249				
IOOACKGP_00008	CDS	249				hypothetical protein
IOOACKGP_00009	gene	147				
IOOACKGP_00009	CDS	147				hypothetical protein
IOOACKGP_00010	gene	285				
IOOACKGP_00010	CDS	285				hypothetical protein
IOOACKGP_00011	gene	498	pipB2			
IOOACKGP_00011	CDS	498	pipB2		COG1357	Secreted effector protein PipB2
IOOACKGP_00012	gene	558				
IOOACKGP_00012	CDS	558				hypothetical protein
IOOACKGP_00013	gene	381				
IOOACKGP_00013	CDS	381				hypothetical protein
IOOACKGP_00014	gene	351				
IOOACKGP_00014	CDS	351				hypothetical protein
IOOACKGP_00015	gene	471				
IOOACKGP_00015	CDS	471				hypothetical protein
IOOACKGP_00016	gene	240				
IOOACKGP_00016	CDS	240				hypothetical protein
IOOACKGP_00017	gene	501				
IOOACKGP_00017	CDS	501				hypothetical protein
IOOACKGP_00018	gene	237				
IOOACKGP_00018	CDS	237				hypothetical protein
IOOACKGP_00019	gene	828				
IOOACKGP_00019	CDS	828				hypothetical protein
IOOACKGP_00020	gene	456				
IOOACKGP_00020	CDS	456				hypothetical protein
IOOACKGP_00021	gene	642				
IOOACKGP_00021	CDS	642				hypothetical protein
IOOACKGP_00022	gene	513				
IOOACKGP_00022	CDS	513				hypothetical protein
IOOACKGP_00023	gene	924				
IOOACKGP_00023	CDS	924				hypothetical protein
IOOACKGP_00024	gene	933				
IOOACKGP_00024	CDS	933		1.1.1.81	COG0111	Hydroxypyruvate reductase
IOOACKGP_00025	gene	1413				
IOOACKGP_00025	CDS	1413				hypothetical protein
IOOACKGP_00026	gene	1362	aspA			
IOOACKGP_00026	CDS	1362	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
IOOACKGP_00027	gene	1269	miaB			
IOOACKGP_00027	CDS	1269	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
IOOACKGP_00028	gene	951	ftsZ			
IOOACKGP_00028	CDS	951	ftsZ			Cell division protein FtsZ
IOOACKGP_00029	gene	570				
IOOACKGP_00029	CDS	570				hypothetical protein
IOOACKGP_00030	gene	159				
IOOACKGP_00030	CDS	159				hypothetical protein
IOOACKGP_00031	gene	543	nudL			
IOOACKGP_00031	CDS	543	nudL	3.6.1.-		putative Nudix hydrolase NudL
IOOACKGP_00032	gene	753				
IOOACKGP_00032	CDS	753				hypothetical protein
IOOACKGP_00033	gene	2502	metH_1			
IOOACKGP_00033	CDS	2502	metH_1	2.1.1.13	COG0646	Methionine synthase
IOOACKGP_00034	gene	963	metH_2			
IOOACKGP_00034	CDS	963	metH_2	2.1.1.13	COG0646	Methionine synthase
IOOACKGP_00035	gene	1101				
IOOACKGP_00035	CDS	1101				hypothetical protein
IOOACKGP_00036	gene	759	ssuC			
IOOACKGP_00036	CDS	759	ssuC		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
IOOACKGP_00037	gene	759	nrtD			
IOOACKGP_00037	CDS	759	nrtD	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
IOOACKGP_00038	gene	1041				
IOOACKGP_00038	CDS	1041				hypothetical protein
IOOACKGP_00039	gene	1200	argG			
IOOACKGP_00039	CDS	1200	argG	6.3.4.5		Argininosuccinate synthase
IOOACKGP_00040	gene	168				
IOOACKGP_00040	CDS	168				hypothetical protein
IOOACKGP_00041	gene	858	lysX_1			
IOOACKGP_00041	CDS	858	lysX_1	6.3.2.43	COG0189	Alpha-aminoadipate--LysW ligase LysX
IOOACKGP_00042	gene	1047	argC			
IOOACKGP_00042	CDS	1047	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
IOOACKGP_00043	gene	804	lysZ			
IOOACKGP_00043	CDS	804	lysZ	2.7.2.-	COG0548	[LysW]-aminoadipate kinase
IOOACKGP_00044	gene	1176	lysJ			
IOOACKGP_00044	CDS	1176	lysJ	2.6.1.-	COG4992	[LysW]-aminoadipate semialdehyde transaminase
IOOACKGP_00045	gene	420				
IOOACKGP_00045	CDS	420				hypothetical protein
IOOACKGP_00046	gene	1185	leuA_1			
IOOACKGP_00046	CDS	1185	leuA_1	2.3.3.13		2-isopropylmalate synthase
IOOACKGP_00047	gene	168				
IOOACKGP_00047	CDS	168				hypothetical protein
IOOACKGP_00048	gene	849	lysX_2			
IOOACKGP_00048	CDS	849	lysX_2	6.3.2.43	COG0189	Alpha-aminoadipate--LysW ligase LysX
IOOACKGP_00049	gene	1128	lysK			
