locus_tag	ftype	length_bp	gene	EC_number	COG	product
FPCHIDEK_00001	gene	1356				
FPCHIDEK_00001	CDS	1356				hypothetical protein
FPCHIDEK_00002	gene	1476				
FPCHIDEK_00002	CDS	1476				hypothetical protein
FPCHIDEK_00003	gene	528				
FPCHIDEK_00003	CDS	528				hypothetical protein
FPCHIDEK_00004	gene	741				
FPCHIDEK_00004	CDS	741		1.-.-.-		putative oxidoreductase
FPCHIDEK_00005	gene	231				
FPCHIDEK_00005	CDS	231				hypothetical protein
FPCHIDEK_00006	gene	1368				
FPCHIDEK_00006	CDS	1368				hypothetical protein
FPCHIDEK_00007	gene	1341				
FPCHIDEK_00007	CDS	1341				hypothetical protein
FPCHIDEK_00008	gene	540				
FPCHIDEK_00008	CDS	540		3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
FPCHIDEK_00009	gene	549				
FPCHIDEK_00009	CDS	549				hypothetical protein
FPCHIDEK_00010	gene	384				
FPCHIDEK_00010	CDS	384				hypothetical protein
FPCHIDEK_00011	gene	288				
FPCHIDEK_00011	CDS	288				hypothetical protein
FPCHIDEK_00012	gene	897	rnz			
FPCHIDEK_00012	CDS	897	rnz	3.1.26.11	COG1234	Ribonuclease Z
FPCHIDEK_00013	gene	876	prs			
FPCHIDEK_00013	CDS	876	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
FPCHIDEK_00014	gene	615				
FPCHIDEK_00014	CDS	615				hypothetical protein
FPCHIDEK_00015	gene	1812				
FPCHIDEK_00015	CDS	1812				hypothetical protein
FPCHIDEK_00016	gene	1377				
FPCHIDEK_00016	CDS	1377				hypothetical protein
FPCHIDEK_00017	gene	327				
FPCHIDEK_00017	CDS	327				hypothetical protein
FPCHIDEK_00018	gene	540				
FPCHIDEK_00018	CDS	540				hypothetical protein
FPCHIDEK_00019	gene	513	cysC			
FPCHIDEK_00019	CDS	513	cysC	2.7.1.25		putative adenylyl-sulfate kinase
FPCHIDEK_00020	gene	819	cysQ_1			
FPCHIDEK_00020	CDS	819	cysQ_1	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
FPCHIDEK_00021	gene	228				
FPCHIDEK_00021	CDS	228				hypothetical protein
FPCHIDEK_00022	gene	435				
FPCHIDEK_00022	CDS	435				hypothetical protein
FPCHIDEK_00023	gene	522				
FPCHIDEK_00023	CDS	522				hypothetical protein
FPCHIDEK_00024	gene	660				
FPCHIDEK_00024	CDS	660				hypothetical protein
FPCHIDEK_00025	gene	174				
FPCHIDEK_00025	CDS	174				hypothetical protein
FPCHIDEK_00026	gene	1152				
FPCHIDEK_00026	CDS	1152				hypothetical protein
FPCHIDEK_00027	gene	1524				
FPCHIDEK_00027	CDS	1524				hypothetical protein
FPCHIDEK_00028	gene	480				
FPCHIDEK_00028	CDS	480				hypothetical protein
FPCHIDEK_00029	gene	288				
FPCHIDEK_00029	CDS	288				hypothetical protein
FPCHIDEK_00030	gene	1029				
FPCHIDEK_00030	CDS	1029				hypothetical protein
FPCHIDEK_00031	gene	1083				
FPCHIDEK_00031	CDS	1083				hypothetical protein
FPCHIDEK_00032	gene	198				
FPCHIDEK_00032	CDS	198				hypothetical protein
FPCHIDEK_00033	gene	540	folE			
FPCHIDEK_00033	CDS	540	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
FPCHIDEK_00034	gene	315				
FPCHIDEK_00034	CDS	315				hypothetical protein
FPCHIDEK_00035	gene	675	queC			
FPCHIDEK_00035	CDS	675	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
FPCHIDEK_00036	gene	921	thrB_1			
FPCHIDEK_00036	CDS	921	thrB_1	2.7.1.39	COG0083	Homoserine kinase
FPCHIDEK_00037	gene	759				
FPCHIDEK_00037	CDS	759				hypothetical protein
FPCHIDEK_00038	gene	1017				
FPCHIDEK_00038	CDS	1017				hypothetical protein
FPCHIDEK_00039	gene	801	hcaB			
FPCHIDEK_00039	CDS	801	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
FPCHIDEK_00040	gene	366				
FPCHIDEK_00040	CDS	366				hypothetical protein
FPCHIDEK_00041	gene	342				
FPCHIDEK_00041	CDS	342				hypothetical protein
FPCHIDEK_00042	gene	1230				
FPCHIDEK_00042	CDS	1230				hypothetical protein
FPCHIDEK_00043	gene	1119				
FPCHIDEK_00043	CDS	1119				hypothetical protein
FPCHIDEK_00044	gene	720	cysH			
FPCHIDEK_00044	CDS	720	cysH	1.8.4.10		Thioredoxin-dependent 5'-adenylylsulfate reductase
FPCHIDEK_00045	gene	1128	sat			
FPCHIDEK_00045	CDS	1128	sat	2.7.7.4	COG2046	Sulfate adenylyltransferase
FPCHIDEK_00046	gene	672				
FPCHIDEK_00046	CDS	672				hypothetical protein
FPCHIDEK_00047	gene	699	nth			
FPCHIDEK_00047	CDS	699	nth	4.2.99.18		Endonuclease III
FPCHIDEK_00048	gene	1164				
FPCHIDEK_00048	CDS	1164				hypothetical protein
FPCHIDEK_00049	gene	384				
FPCHIDEK_00049	CDS	384				hypothetical protein
FPCHIDEK_00050	gene	1905				
FPCHIDEK_00050	CDS	1905				hypothetical protein
FPCHIDEK_00051	gene	540				
FPCHIDEK_00051	CDS	540				hypothetical protein
FPCHIDEK_00052	gene	591	cbiT			
FPCHIDEK_00052	CDS	591	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
FPCHIDEK_00053	gene	723	cbiL			
FPCHIDEK_00053	CDS	723	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
FPCHIDEK_00054	gene	777	cbiF			
FPCHIDEK_00054	CDS	777	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
FPCHIDEK_00055	gene	744	murI			
FPCHIDEK_00055	CDS	744	murI	5.1.1.3		Glutamate racemase
FPCHIDEK_00056	gene	666				
FPCHIDEK_00056	CDS	666				hypothetical protein
FPCHIDEK_00057	gene	714				
FPCHIDEK_00057	CDS	714		2.4.1.54		Undecaprenyl-phosphate mannosyltransferase
FPCHIDEK_00058	gene	1458	glyQS			
FPCHIDEK_00058	CDS	1458	glyQS	6.1.1.14		Glycine--tRNA ligase
FPCHIDEK_00059	gene	840	nfo			
FPCHIDEK_00059	CDS	840	nfo	3.1.21.2	COG0648	putative endonuclease 4
FPCHIDEK_00060	gene	1011				
FPCHIDEK_00060	CDS	1011				hypothetical protein
FPCHIDEK_00061	gene	1122				
FPCHIDEK_00061	CDS	1122				hypothetical protein
FPCHIDEK_00062	gene	2853				
FPCHIDEK_00062	CDS	2853				hypothetical protein
FPCHIDEK_00063	gene	537	guaA_1			
FPCHIDEK_00063	CDS	537	guaA_1	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
FPCHIDEK_00064	gene	969				
FPCHIDEK_00064	CDS	969				hypothetical protein
FPCHIDEK_00065	gene	174				
FPCHIDEK_00065	CDS	174				hypothetical protein
FPCHIDEK_00066	gene	186				
FPCHIDEK_00066	CDS	186				hypothetical protein
FPCHIDEK_00067	gene	435				
FPCHIDEK_00067	CDS	435				hypothetical protein
FPCHIDEK_00068	gene	1365	phr			
FPCHIDEK_00068	CDS	1365	phr	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
FPCHIDEK_00069	gene	561				
FPCHIDEK_00069	CDS	561				hypothetical protein
FPCHIDEK_00070	gene	1056				
FPCHIDEK_00070	CDS	1056				hypothetical protein
FPCHIDEK_00071	gene	162				
FPCHIDEK_00071	CDS	162				hypothetical protein
FPCHIDEK_00072	gene	687				
FPCHIDEK_00072	CDS	687				hypothetical protein
FPCHIDEK_00073	gene	420				
FPCHIDEK_00073	CDS	420				hypothetical protein
FPCHIDEK_00074	gene	600				
FPCHIDEK_00074	CDS	600				hypothetical protein
FPCHIDEK_00075	gene	492				
FPCHIDEK_00075	CDS	492				hypothetical protein
FPCHIDEK_00076	gene	279				
FPCHIDEK_00076	CDS	279				hypothetical protein
FPCHIDEK_00077	gene	1524	phrB			
FPCHIDEK_00077	CDS	1524	phrB	4.1.99.13	COG3046	(6-4) photolyase
FPCHIDEK_00078	gene	423				
FPCHIDEK_00078	CDS	423				hypothetical protein
FPCHIDEK_00079	gene	804				
FPCHIDEK_00079	CDS	804				hypothetical protein
FPCHIDEK_00080	gene	111				
FPCHIDEK_00080	CDS	111				hypothetical protein
FPCHIDEK_00081	gene	528	relA			
FPCHIDEK_00081	CDS	528	relA			Bifunctional (p)ppGpp synthase/hydrolase RelA
FPCHIDEK_00082	gene	480				
FPCHIDEK_00082	CDS	480				hypothetical protein
FPCHIDEK_00083	gene	1695	yoaA			
FPCHIDEK_00083	CDS	1695	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
FPCHIDEK_00084	gene	300				
FPCHIDEK_00084	CDS	300				hypothetical protein
FPCHIDEK_00085	gene	1011	iolS_1			
FPCHIDEK_00085	CDS	1011	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
FPCHIDEK_00086	gene	153				
FPCHIDEK_00086	CDS	153				hypothetical protein
FPCHIDEK_00087	gene	801				
FPCHIDEK_00087	CDS	801				hypothetical protein
FPCHIDEK_00088	gene	534	cobO			
FPCHIDEK_00088	CDS	534	cobO	2.5.1.17		Corrinoid adenosyltransferase
FPCHIDEK_00089	gene	1344	cbiA			
FPCHIDEK_00089	CDS	1344	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
FPCHIDEK_00090	gene	636	cbiC			
FPCHIDEK_00090	CDS	636	cbiC	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
FPCHIDEK_00091	gene	753	cbiX			
FPCHIDEK_00091	CDS	753	cbiX	4.99.1.3	COG2138	Sirohydrochlorin cobaltochelatase
FPCHIDEK_00092	gene	1059	cbiG			
FPCHIDEK_00092	CDS	1059	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
FPCHIDEK_00093	gene	1110	cbiD			
FPCHIDEK_00093	CDS	1110	cbiD	2.1.1.195	COG1903	Cobalt-precorrin-5B C(1)-methyltransferase
FPCHIDEK_00094	gene	474	dnaJ_1			
FPCHIDEK_00094	CDS	474	dnaJ_1			Chaperone protein DnaJ
FPCHIDEK_00095	gene	816				
FPCHIDEK_00095	CDS	816				hypothetical protein
FPCHIDEK_00096	gene	1158	metK			
FPCHIDEK_00096	CDS	1158	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
FPCHIDEK_00097	gene	246				
FPCHIDEK_00097	CDS	246				hypothetical protein
FPCHIDEK_00098	gene	660	radA			
FPCHIDEK_00098	CDS	660	radA			DNA repair protein RadA
FPCHIDEK_00099	gene	120				
FPCHIDEK_00099	CDS	120				hypothetical protein
FPCHIDEK_00100	gene	2769	dbpA_1			
FPCHIDEK_00100	CDS	2769	dbpA_1	3.6.4.13		ATP-dependent RNA helicase DbpA
FPCHIDEK_00101	gene	1395				
FPCHIDEK_00101	CDS	1395				hypothetical protein
FPCHIDEK_00102	gene	945	lnrL			
FPCHIDEK_00102	CDS	945	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
FPCHIDEK_00103	gene	762				
FPCHIDEK_00103	CDS	762				hypothetical protein
FPCHIDEK_00104	gene	72				
FPCHIDEK_00104	tRNA	72				tRNA-Gln(ttg)
FPCHIDEK_00105	gene	1029				
FPCHIDEK_00105	CDS	1029				hypothetical protein
FPCHIDEK_00106	gene	1137				
FPCHIDEK_00106	CDS	1137				hypothetical protein
FPCHIDEK_00107	gene	510	grpE			
FPCHIDEK_00107	CDS	510	grpE		COG0576	Protein GrpE
FPCHIDEK_00108	gene	1896	dnaK			
FPCHIDEK_00108	CDS	1896	dnaK		COG0443	Chaperone protein DnaK
FPCHIDEK_00109	gene	1095	dnaJ_2			
FPCHIDEK_00109	CDS	1095	dnaJ_2		COG0484	Chaperone protein DnaJ
