locus_tag	ftype	length_bp	gene	EC_number	COG	product
PLGLCDFM_00001	gene	1011				
PLGLCDFM_00001	CDS	1011				hypothetical protein
PLGLCDFM_00002	gene	660				
PLGLCDFM_00002	CDS	660				hypothetical protein
PLGLCDFM_00003	gene	1722				
PLGLCDFM_00003	CDS	1722				hypothetical protein
PLGLCDFM_00004	gene	405				
PLGLCDFM_00004	CDS	405				hypothetical protein
PLGLCDFM_00005	gene	2757	vgb_1			
PLGLCDFM_00005	CDS	2757	vgb_1	4.2.99.-		Virginiamycin B lyase
PLGLCDFM_00006	gene	642				
PLGLCDFM_00006	CDS	642				hypothetical protein
PLGLCDFM_00007	gene	855				
PLGLCDFM_00007	CDS	855				hypothetical protein
PLGLCDFM_00008	gene	1557				
PLGLCDFM_00008	CDS	1557				hypothetical protein
PLGLCDFM_00009	gene	393				
PLGLCDFM_00009	CDS	393				hypothetical protein
PLGLCDFM_00010	gene	513				
PLGLCDFM_00010	CDS	513				hypothetical protein
PLGLCDFM_00011	gene	738				
PLGLCDFM_00011	CDS	738				hypothetical protein
PLGLCDFM_00012	gene	1146				
PLGLCDFM_00012	CDS	1146				hypothetical protein
PLGLCDFM_00013	gene	846				
PLGLCDFM_00013	CDS	846				hypothetical protein
PLGLCDFM_00014	gene	1146	vgb_2			
PLGLCDFM_00014	CDS	1146	vgb_2	4.2.99.-		Virginiamycin B lyase
PLGLCDFM_00015	gene	225				
PLGLCDFM_00015	CDS	225				hypothetical protein
PLGLCDFM_00016	gene	735	bdbD			
PLGLCDFM_00016	CDS	735	bdbD		COG1651	Disulfide bond formation protein D
PLGLCDFM_00017	gene	216				
PLGLCDFM_00017	CDS	216				hypothetical protein
PLGLCDFM_00018	gene	1023				
PLGLCDFM_00018	CDS	1023				hypothetical protein
PLGLCDFM_00019	gene	1035	nanM			
PLGLCDFM_00019	CDS	1035	nanM	5.1.3.24		N-acetylneuraminate epimerase
PLGLCDFM_00020	gene	504	petE_1			
PLGLCDFM_00020	CDS	504	petE_1			Plastocyanin
PLGLCDFM_00021	gene	492	mntR_1			
PLGLCDFM_00021	CDS	492	mntR_1			HTH-type transcriptional regulator MntR
PLGLCDFM_00022	gene	1074				
PLGLCDFM_00022	CDS	1074				hypothetical protein
PLGLCDFM_00023	gene	1179	zupT			
PLGLCDFM_00023	CDS	1179	zupT			Zinc transporter ZupT
PLGLCDFM_00024	gene	954				
PLGLCDFM_00024	CDS	954				hypothetical protein
PLGLCDFM_00025	gene	762				
PLGLCDFM_00025	CDS	762				hypothetical protein
PLGLCDFM_00026	gene	285				
PLGLCDFM_00026	CDS	285				hypothetical protein
PLGLCDFM_00027	gene	399				
PLGLCDFM_00027	CDS	399				hypothetical protein
PLGLCDFM_00028	gene	1059				
PLGLCDFM_00028	CDS	1059				hypothetical protein
PLGLCDFM_00029	gene	798				
PLGLCDFM_00029	CDS	798				hypothetical protein
PLGLCDFM_00030	gene	1320	deaD			
