Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig9_22	TIGR00021,6.4e-64,211.6
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig20_2	TIGR00037,5.6e-38,126.0
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig39_8	TIGR00042,6.9e-42,139.2
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig3_68	TIGR00064,2.5e-92,305.4
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig4_31	TIGR00111,8.8e-51,169.5
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig4_40	TIGR00134,2.8e-193,639.8
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig8_15	TIGR00240,1.5e-49,163.9
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig6_45	TIGR00264,3.6e-27,91.2
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig3_17	TIGR00279,3.4e-51,169.6
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig13_30	TIGR00283,2e-42,140.4
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig3_36	TIGR00291,4e-65,215.8
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig3_69	TIGR00293,2.3e-19,66.1
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig20_8	TIGR00307,9.7e-29,96.4
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig10_3	TIGR00308,2.2e-82,273.7
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig9_37	TIGR00323,5.5e-51,169.3
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig2_41	TIGR00324,8.2e-26,87.3
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig3_16	TIGR00324,1.2e-22,77.0
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig1_88	TIGR00335,9.2e-34,113.6
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig29_1	TIGR00336,6.5e-39,129.8
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig3_86	TIGR03683,9.3e-249,824.5
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig6_50	TIGR00373,3.2e-32,107.5
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig1_85	TIGR00389,4.4e-157,520.3
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig36_6	TIGR00392,1.1e-207,688.3
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig2_15	TIGR00398,2.9e-153,507.7
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig3_78	TIGR00405,1.5e-38,128.4
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig2_70	TIGR00408,4.8e-187,618.9
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig30_6	TIGR00414,1.8e-165,547.3
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig19_17	TIGR00422,2.5e-193,640.7
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig3_58	TIGR00425,3.3e-111,367.8
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig39_2	TIGR00432,1.1e-119,397.0
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1_contig2_19	TIGR00435,1.6e-153,508.4
