Gene Id	Top hits (Family id,e-value,bitscore)
HM81_Bin2-contig1008_2	PF01000.21,2.7e-26,90.0
HM81_Bin2-contig1009_2	PF13685.1,5.5e-17,59.9
HM81_Bin2-contig1035_1	PF01496.14,2.7e-14,50.0
HM81_Bin2-contig1044_2	PF01092.14,2.4e-19,67.2
HM81_Bin2-contig1085_1	PF01496.14,3e-07,26.7
HM81_Bin2-contig1138_3	PF01280.15,1.1e-21,75.2
HM81_Bin2-contig1154_2	PF01198.14,2.1e-23,79.8
HM81_Bin2-contig1193_2	PF00368.13,1.7e-81,271.8
HM81_Bin2-contig1237_1	PF01280.15,2.3e-10,38.4
HM81_Bin2-contig1342_1	PF00687.16,2.9e-46,155.5
HM81_Bin2-contig1342_2	PF00466.15,2.7e-19,67.0
HM81_Bin2-contig1493_3	PF13685.1,5.4e-56,187.7
HM81_Bin2-contig149_2	PF13685.1,1.7e-17,61.6
HM81_Bin2-contig238_3	PF01984.15,6.2e-08,30.6
HM81_Bin2-contig264_1	PF01866.12,1.9e-13,48.3
HM81_Bin2-contig337_3	PF01868.11,2e-27,92.7
HM81_Bin2-contig364_2	PF01655.13,2.5e-37,125.3
HM81_Bin2-contig364_3	PF01280.15,1e-08,33.1
HM81_Bin2-contig372_5	PF13656.1,3.5e-17,59.6
HM81_Bin2-contig455_3	PF04019.7,1.3e-35,119.4
HM81_Bin2-contig466_2	PF01191.14,9.6e-28,93.6
HM81_Bin2-contig468_1	PF04919.7,9e-47,157.1
HM81_Bin2-contig471_2	PF01015.13,2.2e-63,211.1
HM81_Bin2-contig491_1	PF04104.9,2.8e-27,93.6
HM81_Bin2-contig497_1	PF00410.14,8.9e-08,30.0
HM81_Bin2-contig527_4	PF01200.13,7.1e-29,97.4
HM81_Bin2-contig541_1	PF13685.1,8.1e-17,59.3
HM81_Bin2-contig572_1	PF02006.11,1.5e-71,237.4
HM81_Bin2-contig578_1	PF01798.13,4.7e-41,137.6
HM81_Bin2-contig589_2	PF00380.14,1.8e-34,116.6
HM81_Bin2-contig662_2	PF07541.7,2.4e-24,83.3
HM81_Bin2-contig798_2	PF02978.14,9.7e-29,97.7
HM81_Bin2-contig801_2	PF01990.12,3.9e-14,50.8
HM81_Bin2-contig862_2	PF13685.1,2.1e-57,192.3
HM81_Bin2-contig951_1	PF13685.1,8.8e-69,229.6
HM81_Bin2-contig957_2	PF01194.12,8.3e-29,97.4
HM81_Bin2-contig988_1	PF01798.13,3.4e-50,167.2
