locus_tag	ftype	length_bp	gene	EC_number	COG	product
IBDBGNFL_00001	gene	600	atpE			
IBDBGNFL_00001	CDS	600	atpE			V-type proton ATPase subunit E
IBDBGNFL_00002	gene	1779	ntpA			
IBDBGNFL_00002	CDS	1779	ntpA	7.2.2.1		V-type sodium ATPase catalytic subunit A
IBDBGNFL_00003	gene	1386	ntpB			
IBDBGNFL_00003	CDS	1386	ntpB			V-type sodium ATPase subunit B
IBDBGNFL_00004	gene	633	ntpD			
IBDBGNFL_00004	CDS	633	ntpD			V-type sodium ATPase subunit D
IBDBGNFL_00005	gene	132				
IBDBGNFL_00005	CDS	132				hypothetical protein
IBDBGNFL_00006	gene	309	atpH			
IBDBGNFL_00006	CDS	309	atpH			ATP synthase subunit c
IBDBGNFL_00007	gene	462	pyrI			
IBDBGNFL_00007	CDS	462	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
IBDBGNFL_00008	gene	930	pyrB			
IBDBGNFL_00008	CDS	930	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
IBDBGNFL_00009	gene	711				
IBDBGNFL_00009	CDS	711				hypothetical protein
IBDBGNFL_00010	gene	1377				
IBDBGNFL_00010	CDS	1377				hypothetical protein
IBDBGNFL_00011	gene	171				
IBDBGNFL_00011	CDS	171				hypothetical protein
IBDBGNFL_00012	gene	180				
IBDBGNFL_00012	CDS	180				hypothetical protein
IBDBGNFL_00013	gene	156				
IBDBGNFL_00013	CDS	156				hypothetical protein
IBDBGNFL_00014	gene	384	nikR			
IBDBGNFL_00014	CDS	384	nikR			Nickel-responsive regulator
IBDBGNFL_00015	gene	993	znuA			
IBDBGNFL_00015	CDS	993	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
IBDBGNFL_00016	gene	807	scaC			
IBDBGNFL_00016	CDS	807	scaC	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
IBDBGNFL_00017	gene	855	znuB			
IBDBGNFL_00017	CDS	855	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
IBDBGNFL_00018	gene	2772	vgb_1			
IBDBGNFL_00018	CDS	2772	vgb_1	4.2.99.-		Virginiamycin B lyase
IBDBGNFL_00019	gene	627				
IBDBGNFL_00019	CDS	627				hypothetical protein
IBDBGNFL_00020	gene	153				
IBDBGNFL_00020	CDS	153				hypothetical protein
IBDBGNFL_00021	gene	822				
IBDBGNFL_00021	CDS	822				hypothetical protein
IBDBGNFL_00022	gene	825				
IBDBGNFL_00022	CDS	825				hypothetical protein
IBDBGNFL_00023	gene	1647				
IBDBGNFL_00023	CDS	1647				hypothetical protein
IBDBGNFL_00024	gene	207				
IBDBGNFL_00024	CDS	207				hypothetical protein
IBDBGNFL_00025	gene	177				
IBDBGNFL_00025	CDS	177				hypothetical protein
IBDBGNFL_00026	gene	1296				
IBDBGNFL_00026	CDS	1296				hypothetical protein
IBDBGNFL_00027	gene	771				
IBDBGNFL_00027	CDS	771				hypothetical protein
IBDBGNFL_00028	gene	177				
IBDBGNFL_00028	CDS	177				hypothetical protein
IBDBGNFL_00029	gene	807	ybeM			
IBDBGNFL_00029	CDS	807	ybeM	3.5.1.128		Deaminated glutathione amidase
IBDBGNFL_00030	gene	456				
IBDBGNFL_00030	CDS	456				hypothetical protein
IBDBGNFL_00031	gene	1155	fadA			
IBDBGNFL_00031	CDS	1155	fadA	2.3.1.16		3-ketoacyl-CoA thiolase
IBDBGNFL_00032	gene	366				
IBDBGNFL_00032	CDS	366				hypothetical protein
IBDBGNFL_00033	gene	174				
IBDBGNFL_00033	CDS	174				hypothetical protein
IBDBGNFL_00034	gene	2094				
IBDBGNFL_00034	CDS	2094				hypothetical protein
IBDBGNFL_00035	gene	2673				
IBDBGNFL_00035	CDS	2673				hypothetical protein
IBDBGNFL_00036	gene	1140				
IBDBGNFL_00036	CDS	1140				hypothetical protein
IBDBGNFL_00037	gene	669				
IBDBGNFL_00037	CDS	669				hypothetical protein
IBDBGNFL_00038	gene	75				
IBDBGNFL_00038	tRNA	75				tRNA-Gly(tcc)
IBDBGNFL_00039	gene	303				
IBDBGNFL_00039	CDS	303				hypothetical protein
IBDBGNFL_00040	gene	453				
IBDBGNFL_00040	CDS	453				hypothetical protein
IBDBGNFL_00041	gene	279				
IBDBGNFL_00041	CDS	279				hypothetical protein
IBDBGNFL_00042	gene	1080	ccr_1			
