locus_tag	ftype	length_bp	gene	EC_number	COG	product
CDCMDIPF_00001	gene	459				
CDCMDIPF_00001	CDS	459				hypothetical protein
CDCMDIPF_00002	gene	642				
CDCMDIPF_00002	CDS	642				hypothetical protein
CDCMDIPF_00003	gene	573				
CDCMDIPF_00003	CDS	573				hypothetical protein
CDCMDIPF_00004	gene	768				
CDCMDIPF_00004	CDS	768				hypothetical protein
CDCMDIPF_00005	gene	1296	tufB			
CDCMDIPF_00005	CDS	1296	tufB		COG0050	Elongation factor Tu-B
CDCMDIPF_00006	gene	279				
CDCMDIPF_00006	CDS	279				hypothetical protein
CDCMDIPF_00007	gene	1356	rpoB			
CDCMDIPF_00007	CDS	1356	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
CDCMDIPF_00008	gene	900				
CDCMDIPF_00008	CDS	900		3.4.11.18		Methionine aminopeptidase 1, mitochondrial
CDCMDIPF_00009	gene	495				
CDCMDIPF_00009	CDS	495				hypothetical protein
CDCMDIPF_00010	gene	1530				
CDCMDIPF_00010	CDS	1530				hypothetical protein
CDCMDIPF_00011	gene	510				
CDCMDIPF_00011	CDS	510				hypothetical protein
CDCMDIPF_00012	gene	681	deoC			
CDCMDIPF_00012	CDS	681	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
CDCMDIPF_00013	gene	282				
CDCMDIPF_00013	CDS	282				hypothetical protein
CDCMDIPF_00014	gene	537				
CDCMDIPF_00014	CDS	537				hypothetical protein
CDCMDIPF_00015	gene	627				
CDCMDIPF_00015	CDS	627				hypothetical protein
CDCMDIPF_00016	gene	1128				
CDCMDIPF_00016	CDS	1128				hypothetical protein
CDCMDIPF_00017	gene	873				
CDCMDIPF_00017	CDS	873				hypothetical protein
CDCMDIPF_00018	gene	1005	lnrL_1			
CDCMDIPF_00018	CDS	1005	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
CDCMDIPF_00019	gene	759				
CDCMDIPF_00019	CDS	759				hypothetical protein
CDCMDIPF_00020	gene	810	bhbA			
CDCMDIPF_00020	CDS	810	bhbA	5.4.99.2		Methylmalonyl-CoA mutase
CDCMDIPF_00021	gene	447	mcm			
CDCMDIPF_00021	CDS	447	mcm	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
CDCMDIPF_00022	gene	924	icmF			
CDCMDIPF_00022	CDS	924	icmF	5.4.99.13		Fused isobutyryl-CoA mutase
CDCMDIPF_00023	gene	1167	lysC			
CDCMDIPF_00023	CDS	1167	lysC	2.7.2.4		Aspartokinase
CDCMDIPF_00024	gene	1302	lysA			
CDCMDIPF_00024	CDS	1302	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
CDCMDIPF_00025	gene	1170	dapL_1			
CDCMDIPF_00025	CDS	1170	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
CDCMDIPF_00026	gene	372	yabJ			
CDCMDIPF_00026	CDS	372	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
CDCMDIPF_00027	gene	342				
CDCMDIPF_00027	CDS	342			COG0316	Protein
CDCMDIPF_00028	gene	1272				
CDCMDIPF_00028	CDS	1272				hypothetical protein
CDCMDIPF_00029	gene	696				
CDCMDIPF_00029	CDS	696				hypothetical protein
CDCMDIPF_00030	gene	2688				
CDCMDIPF_00030	CDS	2688				hypothetical protein
CDCMDIPF_00031	gene	1281				
CDCMDIPF_00031	CDS	1281				hypothetical protein
CDCMDIPF_00032	gene	333				
CDCMDIPF_00032	CDS	333				hypothetical protein
CDCMDIPF_00033	gene	612				
CDCMDIPF_00033	CDS	612				hypothetical protein
CDCMDIPF_00034	gene	1323	hemA			
