locus_tag	ftype	length_bp	gene	EC_number	COG	product
IHAKNPCK_00001	gene	414				
IHAKNPCK_00001	CDS	414				hypothetical protein
IHAKNPCK_00002	gene	180				
IHAKNPCK_00002	CDS	180				hypothetical protein
IHAKNPCK_00003	gene	402				
IHAKNPCK_00003	CDS	402				hypothetical protein
IHAKNPCK_00004	gene	528				
IHAKNPCK_00004	CDS	528				hypothetical protein
IHAKNPCK_00005	gene	435				
IHAKNPCK_00005	CDS	435				hypothetical protein
IHAKNPCK_00006	gene	966				
IHAKNPCK_00006	CDS	966				hypothetical protein
IHAKNPCK_00007	gene	1914				
IHAKNPCK_00007	CDS	1914				hypothetical protein
IHAKNPCK_00008	gene	966	ghrB			
IHAKNPCK_00008	CDS	966	ghrB	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
IHAKNPCK_00009	gene	261				
IHAKNPCK_00009	CDS	261				hypothetical protein
IHAKNPCK_00010	gene	597				
IHAKNPCK_00010	CDS	597				hypothetical protein
IHAKNPCK_00011	gene	348				
IHAKNPCK_00011	CDS	348				hypothetical protein
IHAKNPCK_00012	gene	444				
IHAKNPCK_00012	CDS	444				hypothetical protein
IHAKNPCK_00013	gene	999	truB			
IHAKNPCK_00013	CDS	999	truB	5.4.99.25		tRNA pseudouridine synthase B
IHAKNPCK_00014	gene	585	cmk			
IHAKNPCK_00014	CDS	585	cmk	2.7.4.25		Cytidylate kinase
IHAKNPCK_00015	gene	633				
IHAKNPCK_00015	CDS	633				hypothetical protein
IHAKNPCK_00016	gene	591				
IHAKNPCK_00016	CDS	591				hypothetical protein
IHAKNPCK_00017	gene	1440	secY			
IHAKNPCK_00017	CDS	1440	secY			Protein translocase subunit SecY
IHAKNPCK_00018	gene	423				
IHAKNPCK_00018	CDS	423				hypothetical protein
IHAKNPCK_00019	gene	480				
IHAKNPCK_00019	CDS	480				hypothetical protein
IHAKNPCK_00020	gene	636				
IHAKNPCK_00020	CDS	636				hypothetical protein
IHAKNPCK_00021	gene	489				
IHAKNPCK_00021	CDS	489				hypothetical protein
IHAKNPCK_00022	gene	927	argF			
IHAKNPCK_00022	CDS	927	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
IHAKNPCK_00023	gene	1344	ftsY			
IHAKNPCK_00023	CDS	1344	ftsY			Signal recognition particle receptor FtsY
IHAKNPCK_00024	gene	423	pfdA			
IHAKNPCK_00024	CDS	423	pfdA			Prefoldin subunit alpha
IHAKNPCK_00025	gene	624	sodA			
IHAKNPCK_00025	CDS	624	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
IHAKNPCK_00026	gene	2025				
IHAKNPCK_00026	CDS	2025				hypothetical protein
IHAKNPCK_00027	gene	1653	pckA			
IHAKNPCK_00027	CDS	1653	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
IHAKNPCK_00028	gene	402				
